B23025_001E,B23025_002E,B23025_003E,B23025_004E,B23025_005E,B23025_006E,B23025_007E,name,county,county subdivision,state
4256.0,2459.0,2459.0,2314.0,145.0,0.0,1797.0,"Lapeer township, Lapeer County, Michigan",087,46060,26
6369.0,3761.0,3761.0,3490.0,271.0,0.0,2608.0,"Mayfield township, Lapeer County, Michigan",087,52500,26
3751.0,2141.0,2141.0,1905.0,236.0,0.0,1610.0,"Marathon township, Lapeer County, Michigan",087,51420,26
1227.0,757.0,757.0,686.0,71.0,0.0,470.0,"Rich township, Lapeer County, Michigan",087,68160,26
4293.0,2565.0,2565.0,2475.0,90.0,0.0,1728.0,"Elba township, Lapeer County, Michigan",087,25160,26
2399.0,1465.0,1465.0,1380.0,85.0,0.0,934.0,"Imlay township, Lapeer County, Michigan",087,40300,26
3522.0,2162.0,2162.0,2028.0,134.0,0.0,1360.0,"Metamora township, Lapeer County, Michigan",087,53360,26
3856.0,2264.0,2264.0,2147.0,117.0,0.0,1592.0,"Attica township, Lapeer County, Michigan",087,04040,26
1515.0,818.0,818.0,769.0,49.0,0.0,697.0,"Burnside township, Lapeer County, Michigan",087,11900,26
4.0,0.0,0.0,0.0,0.0,0.0,4.0,"Brown City city, Lapeer County, Michigan",087,11180,26
1429.0,785.0,785.0,750.0,35.0,0.0,644.0,"Goodland township, Lapeer County, Michigan",087,32960,26
3909.0,2386.0,2386.0,2261.0,125.0,0.0,1523.0,"Dryden township, Lapeer County, Michigan",087,23160,26
2854.0,1771.0,1771.0,1683.0,88.0,0.0,1083.0,"North Branch township, Lapeer County, Michigan",087,58090,26
5467.0,3518.0,3518.0,3329.0,189.0,0.0,1949.0,"Almont township, Lapeer County, Michigan",087,01680,26
2576.0,1447.0,1447.0,1265.0,182.0,0.0,1129.0,"Arcadia township, Lapeer County, Michigan",087,03280,26
4742.0,2844.0,2844.0,2664.0,180.0,0.0,1898.0,"Oregon township, Lapeer County, Michigan",087,61060,26
38437.0,24274.0,24226.0,22284.0,1942.0,48.0,14163.0,"Roseville city, Macomb County, Michigan",099,69800,26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,"County subdivisions not defined, Macomb County, Michigan",099,00000,26
