B25003D_001E,B25003D_002E,B25003D_003E,name,county,county subdivision,state
6477.0,4934.0,1543.0,"Hilo CCD, Hawaii County, Hawaii",001,90630,15
723.0,606.0,117.0,"South Kona CCD, Hawaii County, Hawaii",001,93240,15
2295.0,1531.0,764.0,"North Kona CCD, Hawaii County, Hawaii",001,92610,15
368.0,258.0,110.0,"Honokaa-Kukuihaele CCD, Hawaii County, Hawaii",001,90720,15
212.0,172.0,40.0,"Paauhau-Paauilo CCD, Hawaii County, Hawaii",001,92700,15
415.0,306.0,109.0,"Pahoa-Kalapana CCD, Hawaii County, Hawaii",001,92790,15
359.0,281.0,78.0,"North Kohala CCD, Hawaii County, Hawaii",001,92520,15
592.0,535.0,57.0,"Papaikou-Wailea CCD, Hawaii County, Hawaii",001,92880,15
536.0,459.0,77.0,"Kau CCD, Hawaii County, Hawaii",001,91170,15
883.0,690.0,193.0,"South Kohala CCD, Hawaii County, Hawaii",001,93150,15
2455.0,1955.0,500.0,"Keaau-Mountain View CCD, Hawaii County, Hawaii",001,91350,15
201.0,159.0,42.0,"North Hilo CCD, Hawaii County, Hawaii",001,92430,15
10209.0,8802.0,1407.0,"Koolaupoko CCD, Honolulu County, Hawaii",003,91800,15
3458.0,2201.0,1257.0,"Wahiawa CCD, Honolulu County, Hawaii",003,93420,15
46438.0,38006.0,8432.0,"Ewa CCD, Honolulu County, Hawaii",003,90270,15
940.0,610.0,330.0,"Waialua CCD, Honolulu County, Hawaii",003,93510,15
521.0,378.0,143.0,"Koolauloa CCD, Honolulu County, Hawaii",003,91710,15
1649.0,1135.0,514.0,"Waianae CCD, Honolulu County, Hawaii",003,93600,15
79117.0,46862.0,32255.0,"Honolulu CCD, Honolulu County, Hawaii",003,90810,15
574.0,468.0,106.0,"Kula CCD, Maui County, Hawaii",009,91890,15
1615.0,1238.0,377.0,"Makawao-Paia CCD, Maui County, Hawaii",009,92250,15
1408.0,861.0,547.0,"Kihei CCD, Maui County, Hawaii",009,91530,15
326.0,198.0,128.0,"Haiku-Pauwela CCD, Maui County, Hawaii",009,90360,15
3.0,3.0,0.0,"Hana CCD, Maui County, Hawaii",009,90450,15
2911.0,2096.0,815.0,"Wailuku CCD, Maui County, Hawaii",009,93870,15
658.0,375.0,283.0,"Lanai CCD, Maui County, Hawaii",009,92070,15
591.0,526.0,65.0,"Waihee-Waikapu CCD, Maui County, Hawaii",009,93690,15
1819.0,1204.0,615.0,"Lahaina CCD, Maui County, Hawaii",009,91980,15
133.0,87.0,46.0,"West Molokai CCD, Maui County, Hawaii",009,93960,15
303.0,247.0,56.0,"East Molokai CCD, Maui County, Hawaii",009,90090,15
4105.0,3082.0,1023.0,"Kahului CCD, Maui County, Hawaii",009,90900,15
0.0,0.0,0.0,"Puunene CCD, Maui County, Hawaii",009,93060,15
0.0,0.0,0.0,"Spreckelsville CCD, Maui County, Hawaii",009,93330,15
0.0,0.0,0.0,"Niihau CCD, Kauai County, Hawaii",007,92340,15
770.0,537.0,233.0,"Kekaha-Waimea CCD, Kauai County, Hawaii",007,91440,15
1162.0,712.0,450.0,"Lihue CCD, Kauai County, Hawaii",007,92160,15
1435.0,1123.0,312.0,"Puhi-Hanamaulu CCD, Kauai County, Hawaii",007,92970,15
660.0,400.0,260.0,"Kaumakani-Hanapepe CCD, Kauai County, Hawaii",007,91260,15
929.0,701.0,228.0,"Eleele-Kalaheo CCD, Kauai County, Hawaii",007,90180,15
942.0,560.0,382.0,"Kapaa CCD, Kauai County, Hawaii",007,91080,15
1022.0,711.0,311.0,"Wailua-Anahola CCD, Kauai County, Hawaii",007,93780,15
175.0,120.0,55.0,"Hanalei CCD, Kauai County, Hawaii",007,90540,15
516.0,328.0,188.0,"Koloa-Poipu CCD, Kauai County, Hawaii",007,91620,15
15.0,2.0,13.0,"Kalawao CCD, Kalawao County, Hawaii",005,90990,15
