B15002_001E,B15002_002E,B15002_003E,B15002_004E,B15002_005E,B15002_006E,B15002_007E,B15002_008E,B15002_009E,B15002_010E,B15002_011E,B15002_012E,B15002_013E,B15002_014E,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_019E,B15002_020E,B15002_021E,B15002_022E,B15002_023E,B15002_024E,B15002_025E,B15002_026E,B15002_027E,B15002_028E,B15002_029E,B15002_030E,B15002_031E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,name,county,county subdivision,state
376.0,201.0,1.0,0.0,0.0,3.0,5.0,5.0,4.0,9.0,98.0,23.0,19.0,16.0,10.0,7.0,0.0,1.0,175.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,6.0,80.0,19.0,16.0,23.0,7.0,20.0,0.0,0.0,"Scott town, Crawford County, Wisconsin",023,72275,55
431.0,197.0,0.0,0.0,0.0,9.0,5.0,12.0,0.0,14.0,105.0,11.0,14.0,6.0,13.0,2.0,6.0,0.0,234.0,2.0,0.0,0.0,7.0,3.0,3.0,6.0,13.0,113.0,13.0,31.0,18.0,17.0,8.0,0.0,0.0,"Soldiers Grove village, Crawford County, Wisconsin",023,74550,55
231.0,131.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,62.0,8.0,14.0,18.0,18.0,3.0,0.0,1.0,100.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,41.0,9.0,12.0,13.0,17.0,1.0,0.0,1.0,"Wauzeka town, Crawford County, Wisconsin",023,84750,55
543.0,281.0,5.0,0.0,0.0,10.0,0.0,0.0,4.0,9.0,118.0,30.0,38.0,35.0,17.0,12.0,3.0,0.0,262.0,2.0,0.0,0.0,2.0,5.0,4.0,2.0,4.0,103.0,17.0,46.0,25.0,32.0,17.0,3.0,0.0,"Freeman town, Crawford County, Wisconsin",023,27700,55
113.0,63.0,0.0,0.0,0.0,2.0,0.0,6.0,7.0,0.0,25.0,2.0,6.0,0.0,6.0,2.0,7.0,0.0,50.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,20.0,1.0,13.0,2.0,4.0,4.0,0.0,0.0,"Bell Center village, Crawford County, Wisconsin",023,06225,55
395.0,188.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,6.0,90.0,18.0,27.0,24.0,16.0,2.0,0.0,0.0,207.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,7.0,73.0,11.0,39.0,30.0,36.0,2.0,0.0,0.0,"Camp Douglas village, Juneau County, Wisconsin",057,12350,55
76.0,46.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,22.0,5.0,8.0,3.0,3.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,2.0,3.0,0.0,3.0,2.0,0.0,0.0,"Finley town, Juneau County, Wisconsin",057,25850,55
1775.0,893.0,18.0,0.0,0.0,10.0,18.0,16.0,17.0,34.0,488.0,47.0,133.0,57.0,28.0,20.0,0.0,7.0,882.0,4.0,0.0,0.0,10.0,0.0,17.0,14.0,25.0,420.0,102.0,133.0,66.0,71.0,15.0,5.0,0.0,"Necedah town, Juneau County, Wisconsin",057,55725,55
1175.0,616.0,3.0,6.0,5.0,10.0,5.0,24.0,14.0,28.0,230.0,35.0,92.0,59.0,59.0,30.0,7.0,9.0,559.0,4.0,0.0,0.0,7.0,0.0,6.0,7.0,27.0,181.0,50.0,87.0,67.0,84.0,25.0,14.0,0.0,"Germantown town, Juneau County, Wisconsin",057,28850,55
140.0,63.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,28.0,2.0,7.0,7.0,12.0,4.0,0.0,0.0,77.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,19.0,15.0,8.0,11.0,10.0,6.0,0.0,0.0,"Hustler village, Juneau County, Wisconsin",057,36675,55
