B19013B_001E,name,county,county subdivision,state
-666666666.0,"Duncan township, Mercer County, Illinois",131,20968,17
-666666666.0,"Maine township, Grundy County, Illinois",063,46175,17
-666666666.0,"Pilot township, Kankakee County, Illinois",091,59819,17
-666666666.0,"Yellowhead township, Kankakee County, Illinois",091,83856,17
41321.0,"Milton township, DuPage County, Illinois",043,49451,17
56583.0,"Winfield township, DuPage County, Illinois",043,82413,17
66118.0,"York township, DuPage County, Illinois",043,83947,17
-666666666.0,"Chicago city, DuPage County, Illinois",043,14000,17
38881.0,"Downers Grove township, DuPage County, Illinois",043,20604,17
64825.0,"Naperville township, DuPage County, Illinois",043,51635,17
-666666666.0,"Clear Lake township, Sangamon County, Illinois",167,14858,17
-666666666.0,"Cotton Hill township, Sangamon County, Illinois",167,16574,17
-666666666.0,"Maxwell township, Sangamon County, Illinois",167,47618,17
-666666666.0,"Cartwright township, Sangamon County, Illinois",167,11579,17
-666666666.0,"Chatham township, Sangamon County, Illinois",167,12697,17
-666666666.0,"Island Grove township, Sangamon County, Illinois",167,37881,17
61900.0,"Addison township, DuPage County, Illinois",043,00250,17
46298.0,"Bloomingdale township, DuPage County, Illinois",043,06600,17
60250.0,"Wayne township, DuPage County, Illinois",043,79410,17
-666666666.0,"Mechanicsburg township, Sangamon County, Illinois",167,48034,17
-666666666.0,"Gardner township, Sangamon County, Illinois",167,28651,17
-666666666.0,"New Berlin township, Sangamon County, Illinois",167,52181,17
-666666666.0,"Curran township, Sangamon County, Illinois",167,18160,17
-666666666.0,"Auburn township, Sangamon County, Illinois",167,02928,17
-666666666.0,"Buffalo Hart township, Sangamon County, Illinois",167,09486,17
-666666666.0,"Divernon township, Sangamon County, Illinois",167,20058,17
-666666666.0,"Lanesville township, Sangamon County, Illinois",167,41976,17
10417.0,"Springfield township, Sangamon County, Illinois",167,72013,17
32333.0,"Woodside township, Sangamon County, Illinois",167,83310,17
26296.0,"Capital township, Sangamon County, Illinois",167,11046,17
-666666666.0,"Fancy Creek township, Sangamon County, Illinois",167,25323,17
-666666666.0,"Illiopolis township, Sangamon County, Illinois",167,37140,17
-666666666.0,"Williams township, Sangamon County, Illinois",167,81776,17
-666666666.0,"Cooper township, Sangamon County, Illinois",167,16223,17
-666666666.0,"Loami township, Sangamon County, Illinois",167,44186,17
-666666666.0,"Pawnee township, Sangamon County, Illinois",167,58187,17
-666666666.0,"Ball township, Sangamon County, Illinois",167,03506,17
-666666666.0,"Rochester township, Sangamon County, Illinois",167,64772,17
-666666666.0,"Talkington township, Sangamon County, Illinois",167,74340,17
-666666666.0,"Concord township, Iroquois County, Illinois",075,16041,17
-666666666.0,"Ridgeland township, Iroquois County, Illinois",075,63901,17
-666666666.0,"Iroquois township, Iroquois County, Illinois",075,37725,17
-666666666.0,"Ashkum township, Iroquois County, Illinois",075,02492,17
-666666666.0,"Stockland township, Iroquois County, Illinois",075,72773,17
-666666666.0,"Prairie Green township, Iroquois County, Illinois",075,61665,17
-666666666.0,"Middleport township, Iroquois County, Illinois",075,48814,17
-666666666.0,"May township, Christian County, Illinois",021,47631,17
-666666666.0,"Jonesboro District 3 precinct, Union County, Illinois",181,91792,17
-666666666.0,"Dongola District 2 precinct, Union County, Illinois",181,90990,17
-666666666.0,"Jonesboro District 1 precinct, Union County, Illinois",181,91764,17
-666666666.0,"Jonesboro District 2 precinct, Union County, Illinois",181,91782,17
-666666666.0,"Union precinct, Union County, Illinois",181,93484,17
-666666666.0,"South Jacksonville No. 3 precinct, Morgan County, Illinois",137,93210,17
-666666666.0,"South Jacksonville No. 4 precinct, Morgan County, Illinois",137,93212,17
-666666666.0,"Blairsville precinct, Williamson County, Illinois",199,90432,17
-666666666.0,"Carterville precinct, Williamson County, Illinois",199,90648,17
-666666666.0,"Corinth precinct, Williamson County, Illinois",199,90846,17
-666666666.0,"Crab Orchard precinct, Williamson County, Illinois",199,90882,17
-666666666.0,"Creal Springs precinct, Williamson County, Illinois",199,90918,17
-666666666.0,"East Marion precinct, Williamson County, Illinois",199,91062,17
-666666666.0,"Grassy precinct, Williamson County, Illinois",199,91548,17
-666666666.0,"Herrin precinct, Williamson County, Illinois",199,91620,17
-666666666.0,"Prentice-Sinclair precinct, Morgan County, Illinois",137,92934,17
-666666666.0,"Lake Creek precinct, Williamson County, Illinois",199,91836,17
-666666666.0,"Southern precinct, Williamson County, Illinois",199,93204,17
-666666666.0,"Stonefort precinct, Williamson County, Illinois",199,93294,17
-666666666.0,"West Marion precinct, Williamson County, Illinois",199,93690,17
-666666666.0,"Murrayville precinct, Morgan County, Illinois",137,92232,17
-666666666.0,"South Jacksonville No. 1 precinct, Morgan County, Illinois",137,93206,17
-666666666.0,"South Jacksonville No. 2 precinct, Morgan County, Illinois",137,93208,17
-666666666.0,"Anna District 4 precinct, Union County, Illinois",181,90180,17
-666666666.0,"Anna District 5 precinct, Union County, Illinois",181,90198,17
-666666666.0,"Precinct 19, Monroe County, Illinois",133,92640,17
-666666666.0,"Precinct 20, Monroe County, Illinois",133,92645,17
-666666666.0,"Precinct 1, Monroe County, Illinois",133,92550,17
-666666666.0,"Precinct 2, Monroe County, Illinois",133,92555,17
-666666666.0,"Precinct 3, Monroe County, Illinois",133,92560,17
-666666666.0,"Precinct 4, Monroe County, Illinois",133,92565,17
-666666666.0,"Precinct 5, Monroe County, Illinois",133,92570,17
-666666666.0,"Precinct 6, Monroe County, Illinois",133,92575,17
-666666666.0,"Precinct 7, Monroe County, Illinois",133,92580,17
-666666666.0,"Precinct 8, Monroe County, Illinois",133,92585,17
-666666666.0,"Precinct 9, Monroe County, Illinois",133,92590,17
-666666666.0,"Precinct 10, Monroe County, Illinois",133,92595,17
-666666666.0,"Precinct 11, Monroe County, Illinois",133,92600,17
-666666666.0,"Precinct 12, Monroe County, Illinois",133,92605,17
-666666666.0,"Precinct 13, Monroe County, Illinois",133,92610,17
-666666666.0,"Precinct 14, Monroe County, Illinois",133,92615,17
-666666666.0,"Precinct 15, Monroe County, Illinois",133,92620,17
-666666666.0,"Precinct 16, Monroe County, Illinois",133,92625,17
-666666666.0,"Precinct 17, Monroe County, Illinois",133,92630,17
-666666666.0,"Precinct 18, Monroe County, Illinois",133,92635,17
-666666666.0,"Precinct 24, Monroe County, Illinois",133,92665,17
-666666666.0,"Precinct 21, Monroe County, Illinois",133,92650,17
-666666666.0,"Precinct 22, Monroe County, Illinois",133,92655,17
-666666666.0,"Precinct 23, Monroe County, Illinois",133,92660,17
-666666666.0,"Precinct 25, Monroe County, Illinois",133,92670,17
-666666666.0,"Anna District 6 precinct, Union County, Illinois",181,90216,17
-666666666.0,"Anna District 7 precinct, Union County, Illinois",181,90224,17
-666666666.0,"Precinct 27, Monroe County, Illinois",133,92680,17
-666666666.0,"Precinct 28, Monroe County, Illinois",133,92685,17
-666666666.0,"Precinct 29, Monroe County, Illinois",133,92690,17
-666666666.0,"Precinct 30, Monroe County, Illinois",133,92695,17
