B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,name,county,county subdivision,state
433.0,33.0,29.0,22.0,3.0,20.0,25.0,13.0,13.0,22.0,41.0,76.0,58.0,29.0,22.0,15.0,12.0,"Hector city, Renville County, Minnesota",129,28124,27
72.0,2.0,2.0,2.0,0.0,4.0,0.0,4.0,7.0,2.0,13.0,12.0,12.0,7.0,0.0,2.0,3.0,"Midway township, Cottonwood County, Minnesota",033,42002,27
119.0,3.0,2.0,3.0,4.0,0.0,2.0,5.0,15.0,6.0,11.0,25.0,16.0,16.0,5.0,2.0,4.0,"Carson township, Cottonwood County, Minnesota",033,10108,27
81.0,2.0,0.0,0.0,0.0,4.0,11.0,0.0,2.0,13.0,5.0,9.0,9.0,16.0,2.0,0.0,8.0,"Germantown township, Cottonwood County, Minnesota",033,23570,27
145.0,15.0,0.0,0.0,4.0,2.0,2.0,9.0,2.0,10.0,12.0,15.0,38.0,15.0,4.0,12.0,5.0,"Great Bend township, Cottonwood County, Minnesota",033,25514,27
36.0,4.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,10.0,5.0,10.0,0.0,0.0,0.0,"Springfield township, Cottonwood County, Minnesota",033,61834,27
36.0,2.0,1.0,2.0,0.0,1.0,3.0,0.0,2.0,7.0,4.0,4.0,5.0,2.0,0.0,3.0,0.0,"Amo township, Cottonwood County, Minnesota",033,01441,27
66.0,2.0,1.0,7.0,8.0,2.0,2.0,2.0,1.0,6.0,4.0,14.0,5.0,4.0,6.0,2.0,0.0,"Bingham Lake city, Cottonwood County, Minnesota",033,05896,27
111.0,5.0,0.0,1.0,2.0,4.0,3.0,0.0,0.0,0.0,29.0,11.0,25.0,13.0,6.0,3.0,9.0,"Lakeside township, Cottonwood County, Minnesota",033,35000,27
65.0,0.0,6.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,10.0,8.0,11.0,14.0,0.0,4.0,6.0,"Ann township, Cottonwood County, Minnesota",033,01666,27
160.0,7.0,13.0,14.0,17.0,4.0,14.0,8.0,21.0,1.0,10.0,17.0,20.0,2.0,8.0,3.0,1.0,"Jeffers city, Cottonwood County, Minnesota",033,31796,27
60.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,17.0,4.0,13.0,11.0,0.0,1.0,5.0,"Amboy township, Cottonwood County, Minnesota",033,01342,27
130.0,1.0,2.0,4.0,3.0,0.0,3.0,6.0,3.0,2.0,11.0,12.0,36.0,30.0,8.0,7.0,2.0,"Medo township, Blue Earth County, Minnesota",013,41498,27
100.0,9.0,19.0,1.0,3.0,3.0,0.0,1.0,8.0,5.0,5.0,3.0,23.0,12.0,7.0,1.0,0.0,"Pemberton city, Blue Earth County, Minnesota",013,50200,27
131.0,0.0,0.0,7.0,3.0,2.0,2.0,8.0,2.0,0.0,10.0,13.0,39.0,16.0,10.0,7.0,12.0,"Skyline city, Blue Earth County, Minnesota",013,60754,27
100.0,4.0,1.0,2.0,9.0,12.0,4.0,5.0,4.0,0.0,6.0,12.0,11.0,19.0,0.0,4.0,7.0,"Pleasant Mound township, Blue Earth County, Minnesota",013,51604,27
323.0,23.0,2.0,19.0,21.0,15.0,8.0,3.0,6.0,11.0,38.0,51.0,55.0,32.0,8.0,16.0,15.0,"St. Clair city, Blue Earth County, Minnesota",013,56824,27
125.0,11.0,0.0,1.0,3.0,6.0,2.0,10.0,4.0,2.0,13.0,12.0,23.0,19.0,11.0,6.0,2.0,"Butternut Valley township, Blue Earth County, Minnesota",013,09046,27
1034.0,14.0,8.0,14.0,40.0,73.0,45.0,67.0,24.0,35.0,103.0,129.0,175.0,151.0,56.0,87.0,13.0,"Eagle Lake city, Blue Earth County, Minnesota",013,17378,27
1007.0,25.0,71.0,26.0,46.0,57.0,55.0,63.0,60.0,29.0,65.0,121.0,154.0,104.0,47.0,48.0,36.0,"Lake Crystal city, Blue Earth County, Minnesota",013,34190,27
114.0,2.0,2.0,3.0,4.0,15.0,9.0,0.0,6.0,2.0,20.0,19.0,11.0,8.0,8.0,2.0,3.0,"Mapleton township, Blue Earth County, Minnesota",013,40328,27
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,"Minnesota Lake city, Blue Earth County, Minnesota",013,43198,27
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"North Mankato city, Blue Earth County, Minnesota",013,47068,27
120.0,0.0,5.0,0.0,1.0,4.0,5.0,13.0,8.0,12.0,11.0,10.0,22.0,11.0,9.0,6.0,3.0,"Cambria township, Blue Earth County, Minnesota",013,09352,27
228.0,9.0,22.0,9.0,18.0,3.0,18.0,17.0,9.0,6.0,15.0,30.0,36.0,19.0,7.0,10.0,0.0,"Good Thunder city, Blue Earth County, Minnesota",013,24506,27
319.0,13.0,14.0,4.0,15.0,8.0,12.0,11.0,14.0,0.0,22.0,32.0,54.0,40.0,26.0,31.0,23.0,"Le Ray township, Blue Earth County, Minnesota",013,36584,27
344.0,3.0,5.0,3.0,1.0,10.0,11.0,2.0,25.0,12.0,27.0,51.0,25.0,69.0,22.0,45.0,33.0,"Lime township, Blue Earth County, Minnesota",013,37052,27
86.0,0.0,0.0,0.0,7.0,0.0,3.0,9.0,5.0,3.0,8.0,15.0,15.0,8.0,1.0,9.0,3.0,"Lincoln township, Blue Earth County, Minnesota",013,37124,27
145.0,0.0,3.0,1.0,0.0,2.0,6.0,3.0,6.0,4.0,20.0,34.0,39.0,5.0,13.0,9.0,0.0,"McPherson township, Blue Earth County, Minnesota",013,39176,27
242.0,12.0,3.0,2.0,4.0,0.0,7.0,10.0,11.0,6.0,25.0,32.0,49.0,27.0,21.0,22.0,11.0,"Judson township, Blue Earth County, Minnesota",013,32210,27
610.0,13.0,5.0,5.0,11.0,7.0,23.0,21.0,9.0,17.0,40.0,74.0,116.0,64.0,46.0,92.0,67.0,"Mankato township, Blue Earth County, Minnesota",013,39896,27
635.0,33.0,36.0,17.0,30.0,70.0,27.0,11.0,41.0,28.0,84.0,82.0,92.0,45.0,28.0,4.0,7.0,"Mapleton city, Blue Earth County, Minnesota",013,40310,27
16029.0,1387.0,1009.0,1028.0,967.0,1160.0,631.0,1015.0,812.0,719.0,1288.0,1119.0,2098.0,1057.0,769.0,426.0,544.0,"Mankato city, Blue Earth County, Minnesota",013,39878,27
314.0,6.0,8.0,21.0,5.0,7.0,14.0,15.0,32.0,22.0,29.0,15.0,31.0,32.0,39.0,22.0,16.0,"Garden City township, Blue Earth County, Minnesota",013,23102,27
483.0,3.0,7.0,15.0,4.0,29.0,24.0,8.0,5.0,13.0,19.0,62.0,71.0,96.0,37.0,44.0,46.0,"Decoria township, Blue Earth County, Minnesota",013,15130,27
202.0,16.0,4.0,5.0,0.0,2.0,9.0,51.0,7.0,4.0,23.0,15.0,27.0,17.0,7.0,15.0,0.0,"Brownsville township, Houston County, Minnesota",055,08236,27
49.0,2.0,1.0,3.0,2.0,1.0,5.0,5.0,1.0,1.0,2.0,10.0,5.0,9.0,0.0,2.0,0.0,"Jefferson township, Houston County, Minnesota",055,31814,27
614.0,54.0,57.0,25.0,49.0,44.0,39.0,38.0,20.0,27.0,45.0,61.0,81.0,34.0,24.0,8.0,8.0,"Spring Grove city, Houston County, Minnesota",055,61852,27
173.0,3.0,7.0,16.0,11.0,4.0,3.0,20.0,13.0,17.0,14.0,22.0,11.0,19.0,1.0,8.0,4.0,"Spring Grove township, Houston County, Minnesota",055,61870,27
217.0,3.0,12.0,4.0,0.0,0.0,4.0,5.0,10.0,10.0,20.0,20.0,49.0,31.0,21.0,23.0,5.0,"Caledonia township, Houston County, Minnesota",055,09244,27
198.0,2.0,9.0,7.0,13.0,8.0,9.0,11.0,2.0,4.0,12.0,31.0,20.0,25.0,18.0,21.0,6.0,"Hokah township, Houston County, Minnesota",055,29528,27
459.0,50.0,33.0,31.0,33.0,34.0,20.0,12.0,17.0,14.0,33.0,69.0,47.0,47.0,7.0,9.0,3.0,"Houston city, Houston County, Minnesota",055,30230,27
472.0,13.0,6.0,18.0,4.0,6.0,16.0,13.0,28.0,32.0,29.0,69.0,76.0,60.0,30.0,34.0,38.0,"La Crescent township, Houston County, Minnesota",055,33884,27
146.0,3.0,6.0,11.0,9.0,0.0,5.0,14.0,9.0,7.0,14.0,16.0,22.0,13.0,9.0,3.0,5.0,"Wilmington township, Houston County, Minnesota",055,70564,27
93.0,1.0,7.0,2.0,6.0,4.0,3.0,8.0,6.0,0.0,8.0,9.0,12.0,10.0,10.0,4.0,3.0,"Winnebago township, Houston County, Minnesota",055,70960,27
94.0,3.0,0.0,3.0,3.0,4.0,0.0,3.0,1.0,5.0,20.0,16.0,9.0,11.0,3.0,9.0,4.0,"Black Hammer township, Houston County, Minnesota",055,06292,27
154.0,9.0,5.0,7.0,7.0,2.0,9.0,7.0,9.0,9.0,9.0,10.0,27.0,20.0,13.0,7.0,4.0,"Houston township, Houston County, Minnesota",055,30248,27
264.0,13.0,3.0,3.0,0.0,14.0,8.0,12.0,17.0,24.0,19.0,49.0,27.0,38.0,27.0,7.0,3.0,"Brownsville city, Houston County, Minnesota",055,08218,27
99.0,3.0,3.0,1.0,0.0,2.0,2.0,2.0,6.0,10.0,7.0,13.0,29.0,8.0,8.0,5.0,0.0,"Crooked Creek township, Houston County, Minnesota",055,13816,27
256.0,7.0,5.0,6.0,5.0,5.0,14.0,10.0,5.0,17.0,31.0,42.0,66.0,9.0,13.0,5.0,16.0,"Money Creek township, Houston County, Minnesota",055,43648,27
189.0,17.0,12.0,14.0,5.0,9.0,22.0,11.0,8.0,11.0,20.0,23.0,23.0,3.0,3.0,1.0,7.0,"Morton city, Renville County, Minnesota",129,44368,27
218.0,27.0,20.0,33.0,10.0,7.0,2.0,8.0,7.0,24.0,22.0,26.0,10.0,18.0,0.0,4.0,0.0,"Sacred Heart city, Renville County, Minnesota",129,56572,27
123.0,2.0,0.0,7.0,0.0,5.0,6.0,5.0,4.0,4.0,20.0,17.0,26.0,14.0,5.0,6.0,2.0,"Sacred Heart township, Renville County, Minnesota",129,56590,27
