B03002_001E,B03002_003E,B03002_004E,B03002_005E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_012E,name,county,county subdivision,state
4186.0,3460.0,323.0,0.0,13.0,0.0,0.0,114.0,276.0,"District 10, Jefferson County, Tennessee",089,91800,47
5119.0,4560.0,88.0,0.0,76.0,0.0,0.0,196.0,199.0,"District 7, Jefferson County, Tennessee",089,91230,47
4866.0,4589.0,17.0,0.0,150.0,0.0,0.0,0.0,110.0,"District 8, Jefferson County, Tennessee",089,91420,47
11588.0,10520.0,218.0,22.0,154.0,0.0,0.0,319.0,355.0,"District 2, McMinn County, Tennessee",107,90298,47
1173.0,958.0,18.0,0.0,12.0,0.0,0.0,78.0,107.0,"District 5, Decatur County, Tennessee",039,90800,47
1522.0,1522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"District 2, Decatur County, Tennessee",039,90230,47
1253.0,1175.0,32.0,0.0,0.0,0.0,0.0,8.0,38.0,"District 3, Decatur County, Tennessee",039,90420,47
1634.0,1456.0,156.0,0.0,0.0,0.0,0.0,22.0,0.0,"District 4, Decatur County, Tennessee",039,90610,47
1148.0,1016.0,4.0,0.0,1.0,0.0,0.0,48.0,79.0,"District 6, Decatur County, Tennessee",039,90990,47
1261.0,1190.0,49.0,0.0,0.0,0.0,0.0,8.0,14.0,"District 7, Decatur County, Tennessee",039,91180,47
1074.0,879.0,29.0,0.0,22.0,0.0,0.0,9.0,135.0,"District 8, Decatur County, Tennessee",039,91370,47
1459.0,1428.0,27.0,0.0,0.0,0.0,0.0,4.0,0.0,"District 9, Decatur County, Tennessee",039,91560,47
2944.0,2916.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,"District 1, DeKalb County, Tennessee",041,90042,47
2386.0,2302.0,47.0,0.0,0.0,0.0,0.0,24.0,13.0,"District 2, DeKalb County, Tennessee",041,90232,47
2780.0,2555.0,31.0,0.0,104.0,20.0,0.0,0.0,70.0,"District 3, DeKalb County, Tennessee",041,90422,47
2684.0,2411.0,48.0,0.0,4.0,0.0,0.0,0.0,221.0,"District 4, DeKalb County, Tennessee",041,90612,47
2797.0,2230.0,76.0,0.0,0.0,0.0,0.0,8.0,483.0,"District 5, DeKalb County, Tennessee",041,90802,47
2886.0,2777.0,3.0,0.0,0.0,0.0,0.0,51.0,55.0,"District 6, DeKalb County, Tennessee",041,90992,47
2903.0,2034.0,10.0,0.0,12.0,0.0,0.0,219.0,628.0,"District 7, DeKalb County, Tennessee",041,91182,47
4640.0,4289.0,209.0,9.0,0.0,0.0,0.0,42.0,91.0,"District 1, Dickson County, Tennessee",043,90044,47
4533.0,4015.0,211.0,108.0,12.0,0.0,0.0,119.0,68.0,"District 2, Dickson County, Tennessee",043,90234,47
3946.0,3832.0,2.0,0.0,0.0,0.0,0.0,22.0,90.0,"District 6, Dickson County, Tennessee",043,90994,47
4087.0,3567.0,311.0,33.0,45.0,0.0,0.0,39.0,92.0,"District 3, Dickson County, Tennessee",043,90424,47
