B07004D_001E,B07004D_002E,B07004D_003E,B07004D_004E,B07004D_005E,B07004D_006E,name,county,county subdivision,state
5.0,5.0,0.0,0.0,0.0,0.0,"Cuyama CCD, Santa Barbara County, California",083,90630,06
234.0,70.0,138.0,24.0,0.0,2.0,"Weed CCD, Siskiyou County, California",093,93600,06
0.0,0.0,0.0,0.0,0.0,0.0,"McCloud-Medicine Lake CCD, Siskiyou County, California",093,91800,06
0.0,0.0,0.0,0.0,0.0,0.0,"Hornbrook-Hilt CCD, Siskiyou County, California",093,91340,06
58.0,34.0,7.0,0.0,17.0,0.0,"Montague CCD, Siskiyou County, California",093,92010,06
51.0,51.0,0.0,0.0,0.0,0.0,"Mount Shasta CCD, Siskiyou County, California",093,92050,06
0.0,0.0,0.0,0.0,0.0,0.0,"Butte Valley CCD, Siskiyou County, California",093,90290,06
28.0,28.0,0.0,0.0,0.0,0.0,"Dunsmuir CCD, Siskiyou County, California",093,90740,06
0.0,0.0,0.0,0.0,0.0,0.0,"Tulelake CCD, Siskiyou County, California",093,93450,06
133.0,39.0,90.0,0.0,4.0,0.0,"Fort Jones CCD, Siskiyou County, California",093,91040,06
152.0,130.0,0.0,1.0,21.0,0.0,"Yreka CCD, Siskiyou County, California",093,93810,06
5.0,5.0,0.0,0.0,0.0,0.0,"Happy Camp CCD, Siskiyou County, California",093,91240,06
76.0,76.0,0.0,0.0,0.0,0.0,"Central Shasta CCD, Shasta County, California",089,90450,06
38.0,38.0,0.0,0.0,0.0,0.0,"Southwest Shasta CCD, Shasta County, California",089,93210,06
26518.0,23284.0,2137.0,777.0,76.0,244.0,"Fairfield-Suisun City CCD, Solano County, California",095,90950,06
87.0,85.0,0.0,0.0,0.0,2.0,"East Shasta CCD, Shasta County, California",089,90820,06
9.0,6.0,0.0,0.0,0.0,3.0,"Sacramento Canyon CCD, Shasta County, California",089,92700,06
816.0,436.0,0.0,380.0,0.0,0.0,"Dixon CCD, Solano County, California",095,90700,06
684.0,562.0,62.0,60.0,0.0,0.0,"Rio Vista CCD, Solano County, California",095,92610,06
7134.0,5730.0,818.0,259.0,187.0,140.0,"Vacaville CCD, Solano County, California",095,93520,06
30891.0,27069.0,1732.0,1495.0,166.0,429.0,"Vallejo CCD, Solano County, California",095,93530,06
0.0,0.0,0.0,0.0,0.0,0.0,"Klamath CCD, Del Norte County, California",015,91490,06
94.0,94.0,0.0,0.0,0.0,0.0,"Smith River-Gasquet CCD, Del Norte County, California",015,93040,06
670.0,570.0,78.0,22.0,0.0,0.0,"Crescent City CCD, Del Norte County, California",015,90620,06
209.0,204.0,5.0,0.0,0.0,0.0,"Central Colusa CCD, Colusa County, California",011,90430,06
6.0,0.0,6.0,0.0,0.0,0.0,"West Colusa CCD, Colusa County, California",011,93610,06
