B07004I_001E,B07004I_002E,B07004I_003E,B07004I_004E,B07004I_005E,B07004I_006E,name,county,county subdivision,state
59175.0,45621.0,9286.0,3511.0,414.0,343.0,"Santa Barbara CCD, Santa Barbara County, California",083,92890,06
426.0,426.0,0.0,0.0,0.0,0.0,"Cuyama CCD, Santa Barbara County, California",083,90630,06
874.0,706.0,109.0,39.0,18.0,2.0,"Weed CCD, Siskiyou County, California",093,93600,06
113.0,102.0,1.0,9.0,1.0,0.0,"McCloud-Medicine Lake CCD, Siskiyou County, California",093,91800,06
26.0,23.0,3.0,0.0,0.0,0.0,"Hornbrook-Hilt CCD, Siskiyou County, California",093,91340,06
452.0,375.0,25.0,52.0,0.0,0.0,"Montague CCD, Siskiyou County, California",093,92010,06
586.0,508.0,67.0,11.0,0.0,0.0,"Mount Shasta CCD, Siskiyou County, California",093,92050,06
608.0,507.0,41.0,22.0,38.0,0.0,"Butte Valley CCD, Siskiyou County, California",093,90290,06
215.0,165.0,20.0,30.0,0.0,0.0,"Dunsmuir CCD, Siskiyou County, California",093,90740,06
730.0,623.0,55.0,6.0,46.0,0.0,"Tulelake CCD, Siskiyou County, California",093,93450,06
192.0,192.0,0.0,0.0,0.0,0.0,"Fort Jones CCD, Siskiyou County, California",093,91040,06
990.0,761.0,184.0,43.0,2.0,0.0,"Yreka CCD, Siskiyou County, California",093,93810,06
187.0,164.0,14.0,8.0,1.0,0.0,"Happy Camp CCD, Siskiyou County, California",093,91240,06
637.0,454.0,159.0,12.0,0.0,12.0,"Central Shasta CCD, Shasta County, California",089,90450,06
151.0,151.0,0.0,0.0,0.0,0.0,"Southwest Shasta CCD, Shasta County, California",089,93210,06
40397.0,33135.0,4097.0,2112.0,608.0,445.0,"Fairfield-Suisun City CCD, Solano County, California",095,90950,06
872.0,699.0,126.0,32.0,15.0,0.0,"East Shasta CCD, Shasta County, California",089,90820,06
65.0,55.0,9.0,1.0,0.0,0.0,"Sacramento Canyon CCD, Shasta County, California",089,92700,06
9027.0,8277.0,531.0,112.0,83.0,24.0,"Dixon CCD, Solano County, California",095,90700,06
1678.0,1530.0,57.0,91.0,0.0,0.0,"Rio Vista CCD, Solano County, California",095,92610,06
24089.0,19907.0,2687.0,1135.0,141.0,219.0,"Vacaville CCD, Solano County, California",095,93520,06
35347.0,30247.0,2110.0,2674.0,215.0,101.0,"Vallejo CCD, Solano County, California",095,93530,06
167.0,104.0,13.0,50.0,0.0,0.0,"Klamath CCD, Del Norte County, California",015,91490,06
850.0,616.0,215.0,10.0,4.0,5.0,"Smith River-Gasquet CCD, Del Norte County, California",015,93040,06
4223.0,3307.0,210.0,687.0,19.0,0.0,"Crescent City CCD, Del Norte County, California",015,90620,06
7943.0,7121.0,662.0,38.0,83.0,39.0,"Central Colusa CCD, Colusa County, California",011,90430,06
76.0,47.0,9.0,20.0,0.0,0.0,"West Colusa CCD, Colusa County, California",011,93610,06
4346.0,3352.0,915.0,79.0,0.0,0.0,"East Colusa CCD, Colusa County, California",011,90770,06
8151.0,7489.0,434.0,99.0,42.0,87.0,"Orland CCD, Glenn County, California",021,92280,06
3101.0,2819.0,98.0,173.0,11.0,0.0,"Willows CCD, Glenn County, California",021,93750,06
4748.0,4238.0,486.0,24.0,0.0,0.0,"Gridley CCD, Butte County, California",007,91180,06
640.0,419.0,11.0,202.0,8.0,0.0,"Feather Falls CCD, Butte County, California",007,90970,06
1155.0,971.0,184.0,0.0,0.0,0.0,"Biggs CCD, Butte County, California",007,90230,06
