B25003B_001E,B25003B_002E,B25003B_003E,name,county,county subdivision,state
258.0,224.0,34.0,"Mount Carmel CCD, McCormick County, South Carolina",065,92262,45
1748.0,940.0,808.0,"Clinton CCD, Laurens County, South Carolina",059,90663,45
2655.0,1416.0,1239.0,"Laurens CCD, Laurens County, South Carolina",059,91924,45
104.0,58.0,46.0,"Joanna CCD, Laurens County, South Carolina",059,91690,45
358.0,222.0,136.0,"Parksville CCD, McCormick County, South Carolina",065,92561,45
1101.0,595.0,506.0,"McCormick CCD, McCormick County, South Carolina",065,92119,45
561.0,218.0,343.0,"Central CCD, Pickens County, South Carolina",077,90533,45
1315.0,705.0,610.0,"Easley CCD, Pickens County, South Carolina",077,90936,45
229.0,138.0,91.0,"Pickens CCD, Pickens County, South Carolina",077,92639,45
39.0,39.0,0.0,"Easley East CCD, Pickens County, South Carolina",077,90949,45
28.0,8.0,20.0,"Six Mile CCD, Pickens County, South Carolina",077,93146,45
400.0,173.0,227.0,"Clemson CCD, Pickens County, South Carolina",077,90650,45
257.0,118.0,139.0,"Liberty CCD, Pickens County, South Carolina",077,91950,45
355.0,271.0,84.0,"Jonesville CCD, Union County, South Carolina",087,91742,45
501.0,443.0,58.0,"Carlisle CCD, Union County, South Carolina",087,90507,45
206.0,201.0,5.0,"Cross Keys CCD, Union County, South Carolina",087,90832,45
151.0,112.0,39.0,"West Springs CCD, Union County, South Carolina",087,93679,45
164.0,103.0,61.0,"Lockhart CCD, Union County, South Carolina",087,91989,45
2326.0,1038.0,1288.0,"Union CCD, Union County, South Carolina",087,93497,45
1042.0,730.0,312.0,"Hemingway CCD, Williamsburg County, South Carolina",089,91495,45
433.0,350.0,83.0,"Trio CCD, Williamsburg County, South Carolina",089,93458,45
640.0,507.0,133.0,"Greeleyville CCD, Williamsburg County, South Carolina",089,91339,45
3686.0,2245.0,1441.0,"Kingstree CCD, Williamsburg County, South Carolina",089,91768,45
570.0,487.0,83.0,"Nesmith CCD, Williamsburg County, South Carolina",089,92353,45
747.0,532.0,215.0,"Lane CCD, Williamsburg County, South Carolina",089,91898,45
6207.0,2862.0,3345.0,"Aiken CCD, Aiken County, South Carolina",003,90026,45
327.0,263.0,64.0,"Jackson CCD, Aiken County, South Carolina",003,91651,45
804.0,586.0,218.0,"Beech Island CCD, Aiken County, South Carolina",003,90208,45
920.0,593.0,327.0,"New Ellenton CCD, Aiken County, South Carolina",003,92379,45
4469.0,2287.0,2182.0,"North Augusta CCD, Aiken County, South Carolina",003,92418,45
271.0,223.0,48.0,"Salley CCD, Aiken County, South Carolina",003,92977,45
617.0,330.0,287.0,"Wagener CCD, Aiken County, South Carolina",003,93562,45
469.0,272.0,197.0,"Monetta CCD, Aiken County, South Carolina",003,92223,45
310.0,280.0,30.0,"Windsor CCD, Aiken County, South Carolina",003,93744,45
704.0,335.0,369.0,"Fairfax CCD, Allendale County, South Carolina",005,91092,45
115.0,105.0,10.0,"Millett CCD, Allendale County, South Carolina",005,92197,45
1401.0,765.0,636.0,"Allendale CCD, Allendale County, South Carolina",005,90052,45
173.0,138.0,35.0,"Sycamore CCD, Allendale County, South Carolina",005,93367,45
354.0,206.0,148.0,"Whitmire CCD, Newberry County, South Carolina",071,93705,45
2817.0,1478.0,1339.0,"Newberry CCD, Newberry County, South Carolina",071,92366,45
340.0,281.0,59.0,"Pomaria CCD, Newberry County, South Carolina",071,92704,45
1019.0,432.0,587.0,"Barnwell CCD, Barnwell County, South Carolina",011,90143,45
0.0,0.0,0.0,"Mountain Rest CCD, Oconee County, South Carolina",073,92249,45
213.0,175.0,38.0,"Walhalla CCD, Oconee County, South Carolina",073,93575,45
10.0,10.0,0.0,"Salem CCD, Oconee County, South Carolina",073,92964,45
139.0,54.0,85.0,"Oakway CCD, Oconee County, South Carolina",073,92457,45
269.0,217.0,52.0,"Cades CCD, Williamsburg County, South Carolina",089,90442,45
1016.0,709.0,307.0,"Blackville CCD, Barnwell County, South Carolina",011,90286,45
972.0,472.0,500.0,"Williston CCD, Barnwell County, South Carolina",011,93731,45
680.0,472.0,208.0,"Kline-Snelling CCD, Barnwell County, South Carolina",011,91794,45
9532.0,5000.0,4532.0,"Goose Creek-Hanahan CCD, Berkeley County, South Carolina",015,91274,45
289.0,281.0,8.0,"Edisto Island CCD, Charleston County, South Carolina",019,90988,45
2091.0,1294.0,797.0,"James Island CCD, Charleston County, South Carolina",019,91664,45
1180.0,722.0,458.0,"Johns Island CCD, Charleston County, South Carolina",019,91703,45
2249.0,1868.0,381.0,"Mount Pleasant CCD, Charleston County, South Carolina",019,92301,45
1049.0,858.0,191.0,"McClellanville CCD, Charleston County, South Carolina",019,92080,45
572.0,444.0,128.0,"Wadmalaw Island CCD, Charleston County, South Carolina",019,93549,45
