B19013H_001E,name,county,county subdivision,state
58000.0,"New Lisbon town, Otsego County, New York",077,50485,36
67550.0,"Otsego town, Otsego County, New York",077,55695,36
50436.0,"Hartwick town, Otsego County, New York",077,32589,36
46818.0,"Springfield town, Otsego County, New York",077,70310,36
50404.0,"Athens town, Greene County, New York",039,02913,36
38333.0,"Jasper town, Steuben County, New York",101,38319,36
43833.0,"Cameron town, Steuben County, New York",101,11880,36
58596.0,"Corning town, Steuben County, New York",101,18267,36
47589.0,"Dansville town, Steuben County, New York",101,19675,36
58182.0,"Hartsville town, Steuben County, New York",101,32567,36
50729.0,"Cohocton town, Steuben County, New York",101,16738,36
61609.0,"Erwin town, Steuben County, New York",101,24647,36
39750.0,"Hornell city, Steuben County, New York",101,35672,36
50101.0,"Prattsburgh town, Steuben County, New York",101,59718,36
45795.0,"Hornellsville town, Steuben County, New York",101,35683,36
54896.0,"Greenwood town, Steuben County, New York",101,30741,36
49688.0,"Bradford town, Steuben County, New York",101,07740,36
57750.0,"Arietta town, Hamilton County, New York",041,02572,36
55875.0,"Indian Lake town, Hamilton County, New York",041,37374,36
43333.0,"Hope town, Hamilton County, New York",041,35496,36
66500.0,"Lake Pleasant town, Hamilton County, New York",041,40794,36
35625.0,"Morehouse town, Hamilton County, New York",041,48340,36
55795.0,"Long Lake town, Hamilton County, New York",041,43412,36
53125.0,"Wells town, Hamilton County, New York",041,79059,36
72500.0,"Benson town, Hamilton County, New York",041,05958,36
54375.0,"Inlet town, Hamilton County, New York",041,37495,36
52820.0,"Argyle town, Washington County, New York",115,02561,36
65083.0,"Cambridge town, Washington County, New York",115,11836,36
33250.0,"Wirt town, Allegany County, New York",003,82623,36
56875.0,"Alma town, Allegany County, New York",003,01429,36
42778.0,"Birdsall town, Allegany County, New York",003,06717,36
52955.0,"Granger town, Allegany County, New York",003,29905,36
40500.0,"Bolivar town, Allegany County, New York",003,07201,36
47125.0,"Burns town, Allegany County, New York",003,11253,36
44821.0,"Caneadea town, Allegany County, New York",003,12243,36
41346.0,"Centerville town, Allegany County, New York",003,13475,36
47941.0,"Independence town, Allegany County, New York",003,37297,36
47250.0,"New Hudson town, Allegany County, New York",003,50375,36
57813.0,"West Almond town, Allegany County, New York",003,79202,36
52639.0,"Andover town, Allegany County, New York",003,02154,36
42596.0,"Willing town, Allegany County, New York",003,82095,36
44023.0,"Rushford town, Allegany County, New York",003,64166,36
45417.0,"Scio town, Allegany County, New York",003,65772,36
44301.0,"Wellsville town, Allegany County, New York",003,79103,36
37386.0,"Alfred town, Allegany County, New York",003,01209,36
57888.0,"Almond town, Allegany County, New York",003,01451,36
37214.0,"Hume town, Allegany County, New York",003,36112,36
54561.0,"Cuba town, Allegany County, New York",003,19367,36
47632.0,"Amity town, Allegany County, New York",003,02011,36
70077.0,"Chenango town, Broome County, New York",007,15110,36
59688.0,"Maine town, Broome County, New York",007,44611,36
48138.0,"Colesville town, Broome County, New York",007,17046,36
55956.0,"Conklin town, Broome County, New York",007,17772,36
45929.0,"Spencer town, Tioga County, New York",107,70178,36
56076.0,"Candor town, Tioga County, New York",107,12221,36
53102.0,"Nichols town, Tioga County, New York",107,51121,36
46685.0,"Tioga town, Tioga County, New York",107,73968,36
69933.0,"Owego town, Tioga County, New York",107,55893,36
66484.0,"Newark Valley town, Tioga County, New York",107,49913,36
63527.0,"Cato town, Cayuga County, New York",011,12969,36
80781.0,"Fleming town, Cayuga County, New York",011,26231,36
70673.0,"Springport town, Cayuga County, New York",011,70376,36
61250.0,"Summerhill town, Cayuga County, New York",011,72037,36
55781.0,"Venice town, Cayuga County, New York",011,77024,36
51042.0,"Victory town, Cayuga County, New York",011,77420,36
56875.0,"Brutus town, Cayuga County, New York",011,10297,36
64432.0,"Niles town, Cayuga County, New York",011,51198,36
65329.0,"Throop town, Cayuga County, New York",011,73770,36
60048.0,"Scipio town, Cayuga County, New York",011,65816,36
53684.0,"Mentz town, Cayuga County, New York",011,46602,36
53861.0,"Kirkwood town, Broome County, New York",007,39837,36
49237.0,"Union town, Broome County, New York",007,76056,36
38638.0,"Binghamton city, Broome County, New York",007,06607,36
55500.0,"Nanticoke town, Broome County, New York",007,49396,36
63088.0,"Barker town, Broome County, New York",007,04429,36
52135.0,"Lisle town, Broome County, New York",007,42653,36
67951.0,"Windsor town, Broome County, New York",007,82535,36
73085.0,"Binghamton town, Broome County, New York",007,06618,36
61600.0,"Triangle town, Broome County, New York",007,75319,36
56351.0,"Dickinson town, Broome County, New York",007,20588,36
41250.0,"Sanford town, Broome County, New York",007,65112,36
48601.0,"Fenton town, Broome County, New York",007,25604,36
65162.0,"Vestal town, Broome County, New York",007,77255,36
38977.0,"Persia town, Cattaraugus County, New York",009,57331,36
46042.0,"Farmersville town, Cattaraugus County, New York",009,25340,36
51667.0,"Freedom town, Cattaraugus County, New York",009,27441,36
39464.0,"Leon town, Cattaraugus County, New York",009,41982,36
42500.0,"South Valley town, Cattaraugus County, New York",009,69870,36
42031.0,"Yorkshire town, Cattaraugus County, New York",009,84055,36
33438.0,"Allegany Reservation, Cattaraugus County, New York",009,01308,36
60682.0,"Ellicottville town, Cattaraugus County, New York",009,24031,36
65781.0,"Mansfield town, Cattaraugus County, New York",009,45161,36
63724.0,"Portville town, Cattaraugus County, New York",009,59509,36
47096.0,"Hinsdale town, Cattaraugus County, New York",009,34946,36
48500.0,"Newcomb town, Essex County, New York",031,50144,36
58177.0,"St. Armand town, Essex County, New York",031,64529,36
34524.0,"Schroon town, Essex County, New York",031,65629,36
58229.0,"Wilmington town, Essex County, New York",031,82315,36
57813.0,"Lewis town, Essex County, New York",031,42114,36
51938.0,"Minerva town, Essex County, New York",031,47669,36
60974.0,"North Elba town, Essex County, New York",031,51935,36
61500.0,"Essex town, Essex County, New York",031,24768,36
64156.0,"Willsboro town, Essex County, New York",031,82271,36
47955.0,"Westport town, Essex County, New York",031,80775,36
45938.0,"North Hudson town, Essex County, New York",031,53077,36
49934.0,"Ticonderoga town, Essex County, New York",031,73891,36
50000.0,"Elizabethtown town, Essex County, New York",031,23833,36
55545.0,"Moriah town, Essex County, New York",031,48428,36
58973.0,"Jay town, Essex County, New York",031,38396,36
54231.0,"Keene town, Essex County, New York",031,39067,36
60169.0,"Chesterfield town, Essex County, New York",031,15330,36
53547.0,"Crown Point town, Essex County, New York",031,19246,36
44570.0,"Amsterdam city, Montgomery County, New York",057,02066,36
65498.0,"Amsterdam town, Montgomery County, New York",057,02077,36
51250.0,"Palatine town, Montgomery County, New York",057,56099,36
61438.0,"Charleston town, Montgomery County, New York",057,13816,36
40938.0,"Minden town, Montgomery County, New York",057,47614,36
42955.0,"Root town, Montgomery County, New York",057,63561,36
52586.0,"Florida town, Montgomery County, New York",057,26308,36
36400.0,"St. Johnsville town, Montgomery County, New York",057,64650,36
62633.0,"Mohawk town, Montgomery County, New York",057,47834,36
50406.0,"Canajoharie town, Montgomery County, New York",057,12122,36
56061.0,"Glen town, Montgomery County, New York",057,29047,36
96307.0,"Long Beach city, Nassau County, New York",059,43335,36
109424.0,"Hempstead town, Nassau County, New York",059,34000,36
121670.0,"Oyster Bay town, Nassau County, New York",059,56000,36
112326.0,"North Hempstead town, Nassau County, New York",059,53000,36
86993.0,"Glen Cove city, Nassau County, New York",059,29113,36
84989.0,"Staten Island borough, Richmond County, New York",085,70915,36
43594.0,"De Peyster town, St. Lawrence County, New York",089,20335,36
34511.0,"Gouverneur town, St. Lawrence County, New York",089,29608,36
51016.0,"Hammond town, St. Lawrence County, New York",089,31841,36
61113.0,"Lisbon town, St. Lawrence County, New York",089,42631,36
51313.0,"Parishville town, St. Lawrence County, New York",089,56374,36
57200.0,"Pierrepont town, St. Lawrence County, New York",089,57771,36
46797.0,"Fowler town, St. Lawrence County, New York",089,27100,36
46042.0,"Hopkinton town, St. Lawrence County, New York",089,35595,36
54297.0,"Brasher town, St. Lawrence County, New York",089,07938,36
50595.0,"De Kalb town, St. Lawrence County, New York",089,20038,36
58229.0,"Dresden town, Washington County, New York",115,20885,36
52000.0,"Hampton town, Washington County, New York",115,31885,36
49670.0,"Fort Edward town, Washington County, New York",115,26781,36
59612.0,"Hartford town, Washington County, New York",115,32457,36
51364.0,"Hebron town, Washington County, New York",115,33040,36
41383.0,"Whitehall town, Washington County, New York",115,81633,36
42412.0,"Granville town, Washington County, New York",115,30037,36
56827.0,"Jackson town, Washington County, New York",115,38143,36
54333.0,"Putnam town, Washington County, New York",115,60092,36
58036.0,"Salem town, Washington County, New York",115,64782,36
51919.0,"White Creek town, Washington County, New York",115,81578,36
62372.0,"Fort Ann town, Washington County, New York",115,26715,36
75694.0,"Easton town, Washington County, New York",115,22656,36
58516.0,"Greenwich town, Washington County, New York",115,30686,36
48304.0,"Kingsbury town, Washington County, New York",115,39650,36
53790.0,"Cairo town, Greene County, New York",039,11649,36
51511.0,"Hunter town, Greene County, New York",039,36178,36
76688.0,"New Baltimore town, Greene County, New York",039,49935,36
50938.0,"Windham town, Greene County, New York",039,82480,36
68693.0,"Coxsackie town, Greene County, New York",039,18729,36
48528.0,"Greenville town, Greene County, New York",039,30620,36
55000.0,"Jewett town, Greene County, New York",039,38638,36
72813.0,"Halcott town, Greene County, New York",039,31379,36
48750.0,"Ashland town, Greene County, New York",039,02803,36
53810.0,"Durham town, Greene County, New York",039,21204,36
37250.0,"Prattsville town, Greene County, New York",039,59751,36
44177.0,"Catskill town, Greene County, New York",039,13013,36
49821.0,"Lexington town, Greene County, New York",039,42202,36
55197.0,"Galen town, Wayne County, New York",117,28013,36
44265.0,"Arcadia town, Wayne County, New York",117,02440,36
58938.0,"Macedon town, Wayne County, New York",117,44160,36
