B07004H_001E,B07004H_002E,B07004H_003E,B07004H_004E,B07004H_005E,B07004H_006E,name,county,county subdivision,state
2898.0,2675.0,66.0,82.0,75.0,0.0,"Northern district, Webster County, West Virginia",101,92360,54
2724.0,2387.0,186.0,142.0,9.0,0.0,"Southern district, Webster County, West Virginia",101,92925,54
15861.0,13761.0,831.0,138.0,1065.0,66.0,"Potomac district, Berkeley County, West Virginia",003,92526,54
11014.0,8785.0,1249.0,447.0,533.0,0.0,"Adam Stephens district, Berkeley County, West Virginia",003,90006,54
9554.0,8721.0,378.0,92.0,363.0,0.0,"Norborne district, Berkeley County, West Virginia",003,92322,54
18295.0,16600.0,1057.0,99.0,539.0,0.0,"Valley district, Berkeley County, West Virginia",003,93388,54
19095.0,16154.0,1321.0,496.0,1075.0,49.0,"Tuscarora district, Berkeley County, West Virginia",003,93171,54
19506.0,17375.0,1129.0,420.0,582.0,0.0,"Shenandoah district, Berkeley County, West Virginia",003,92754,54
13990.0,13039.0,675.0,168.0,108.0,0.0,"Plateau district, Fayette County, West Virginia",019,92472,54
12019.0,11463.0,259.0,219.0,63.0,15.0,"Valley district, Fayette County, West Virginia",019,93396,54
14734.0,13954.0,533.0,128.0,96.0,23.0,"New Haven district, Fayette County, West Virginia",019,92280,54
4739.0,4577.0,59.0,66.0,17.0,20.0,"Grant district, Grant County, West Virginia",023,91296,54
3534.0,3192.0,171.0,116.0,46.0,9.0,"Milroy district, Grant County, West Virginia",023,92208,54
2906.0,2645.0,198.0,22.0,41.0,0.0,"Union district, Grant County, West Virginia",023,93216,54
5043.0,4264.0,589.0,150.0,40.0,0.0,"Gore district, Hampshire County, West Virginia",027,91248,54
3413.0,3093.0,173.0,49.0,98.0,0.0,"Romney district, Hampshire County, West Virginia",027,92676,54
2577.0,2335.0,84.0,75.0,70.0,13.0,"Capon district, Hampshire County, West Virginia",027,90360,54
3249.0,3069.0,58.0,18.0,104.0,0.0,"Bloomery district, Hampshire County, West Virginia",027,90204,54
3873.0,3740.0,44.0,58.0,31.0,0.0,"Sherman district, Hampshire County, West Virginia",027,92820,54
3027.0,2927.0,28.0,72.0,0.0,0.0,"Springfield district, Hampshire County, West Virginia",027,92988,54
1091.0,1083.0,0.0,8.0,0.0,0.0,"Mill Creek district, Hampshire County, West Virginia",027,92184,54
4297.0,3913.0,220.0,107.0,57.0,0.0,"Greenbrier River district, Summers County, West Virginia",089,91440,54
3450.0,2818.0,81.0,339.0,211.0,1.0,"New River district, Summers County, West Virginia",089,92316,54
4260.0,3912.0,182.0,94.0,54.0,18.0,"Bluestone River district, Summers County, West Virginia",089,90216,54
6879.0,6078.0,251.0,308.0,242.0,0.0,"Weirton district, Brooke County, West Virginia",009,93552,54
7544.0,6937.0,275.0,184.0,148.0,0.0,"Wellsburg district, Brooke County, West Virginia",009,93564,54
7459.0,6947.0,237.0,53.0,201.0,21.0,"Follansbee district, Brooke County, West Virginia",009,91104,54
1940.0,1767.0,1.0,156.0,16.0,0.0,"Beech district, Doddridge County, West Virginia",017,90138,54
1839.0,1444.0,81.0,234.0,80.0,0.0,"Maple district, Doddridge County, West Virginia",017,92094,54
2151.0,2100.0,10.0,34.0,7.0,0.0,"Oak district, Doddridge County, West Virginia",017,92374,54
2183.0,1755.0,61.0,308.0,59.0,0.0,"Pine district, Doddridge County, West Virginia",017,92466,54
11928.0,10063.0,996.0,339.0,530.0,0.0,"Central district, Greenbrier County, West Virginia",025,90449,54
10742.0,9364.0,890.0,248.0,222.0,18.0,"Eastern district, Greenbrier County, West Virginia",025,90972,54
9968.0,8991.0,528.0,337.0,112.0,0.0,"Western district, Greenbrier County, West Virginia",025,93601,54
2770.0,2630.0,78.0,25.0,37.0,0.0,"Capon district, Hardy County, West Virginia",031,90372,54
2154.0,2019.0,65.0,4.0,66.0,0.0,"Lost River district, Hardy County, West Virginia",031,91968,54
2165.0,1700.0,262.0,13.0,190.0,0.0,"Moorefield district, Hardy County, West Virginia",031,92232,54
2636.0,2569.0,43.0,20.0,4.0,0.0,"South Fork district, Hardy County, West Virginia",031,92928,54
2632.0,2534.0,87.0,11.0,0.0,0.0,"Old Fields district, Hardy County, West Virginia",031,92382,54
14457.0,11549.0,1308.0,1221.0,373.0,6.0,"Middletown district, Marion County, West Virginia",049,92154,54
16089.0,14511.0,1149.0,280.0,133.0,16.0,"West Augusta district, Marion County, West Virginia",049,93594,54
21452.0,19276.0,994.0,668.0,492.0,22.0,"Palatine district, Marion County, West Virginia",049,92418,54
8179.0,7591.0,348.0,104.0,136.0,0.0,"District 2, Mineral County, West Virginia",057,90820,54
9186.0,8732.0,217.0,30.0,207.0,0.0,"District 3, Mineral County, West Virginia",057,90856,54
8115.0,7890.0,160.0,45.0,15.0,5.0,"District 1, Mineral County, West Virginia",057,90784,54
3385.0,2603.0,508.0,74.0,200.0,0.0,"Williamson district, Mingo County, West Virginia",059,93696,54
2276.0,2053.0,207.0,4.0,12.0,0.0,"Magnolia district, Mingo County, West Virginia",059,92064,54
3381.0,3202.0,129.0,43.0,7.0,0.0,"Stafford district, Mingo County, West Virginia",059,93012,54
3685.0,3445.0,192.0,19.0,21.0,8.0,"Lee district, Mingo County, West Virginia",059,91848,54
9871.0,9049.0,488.0,50.0,256.0,28.0,"Grant district, Hancock County, West Virginia",029,91308,54
9200.0,7969.0,605.0,239.0,325.0,62.0,"Butler district, Hancock County, West Virginia",029,90312,54
8863.0,7463.0,556.0,317.0,527.0,0.0,"Clay district, Hancock County, West Virginia",029,90540,54
5148.0,4479.0,405.0,193.0,71.0,0.0,"Freemans Creek district, Lewis County, West Virginia",041,91176,54
5531.0,4579.0,450.0,473.0,17.0,12.0,"Hackers Creek-Skin Creek district, Lewis County, West Virginia",041,91480,54
4967.0,4207.0,429.0,223.0,108.0,0.0,"Courthouse-Collins Settlement district, Lewis County, West Virginia",041,90676,54
