B01001_001E,B01001_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,name,county,county subdivision,state
17319,8554.0,525.0,823.0,618.0,408.0,234.0,134.0,174.0,312.0,646.0,738.0,428.0,582.0,462.0,538.0,636.0,252.0,184.0,121.0,180.0,257.0,162.0,82.0,58.0,8765.0,588.0,712.0,679.0,388.0,229.0,91.0,128.0,351.0,684.0,508.0,427.0,570.0,442.0,731.0,628.0,166.0,332.0,134.0,187.0,285.0,231.0,164.0,110.0,"Shiprock-Sanostee CCD, San Juan County, New Mexico",045,92970,35
16808,8619.0,898.0,673.0,623.0,214.0,170.0,167.0,104.0,325.0,665.0,433.0,509.0,378.0,561.0,607.0,562.0,216.0,240.0,238.0,225.0,371.0,203.0,113.0,124.0,8189.0,588.0,592.0,651.0,331.0,134.0,129.0,107.0,290.0,547.0,580.0,352.0,367.0,585.0,567.0,684.0,173.0,260.0,168.0,308.0,262.0,180.0,198.0,136.0,"Bloomfield CCD, San Juan County, New Mexico",045,90360,35
53920,26590.0,2107.0,2133.0,2390.0,1390.0,797.0,428.0,274.0,965.0,1894.0,1740.0,2180.0,1390.0,1319.0,1570.0,1827.0,579.0,805.0,415.0,572.0,656.0,469.0,276.0,414.0,27330.0,1928.0,2401.0,1936.0,1149.0,764.0,493.0,338.0,1087.0,1881.0,1750.0,1893.0,1588.0,1532.0,1567.0,1580.0,620.0,858.0,656.0,540.0,845.0,745.0,514.0,665.0,"Farmington CCD, San Juan County, New Mexico",045,91290,35
1882,972.0,60.0,59.0,80.0,37.0,33.0,0.0,4.0,40.0,76.0,52.0,50.0,45.0,40.0,72.0,98.0,6.0,50.0,20.0,50.0,34.0,35.0,16.0,15.0,910.0,33.0,68.0,58.0,50.0,10.0,11.0,4.0,48.0,37.0,38.0,77.0,17.0,56.0,64.0,59.0,19.0,44.0,28.0,25.0,37.0,44.0,51.0,32.0,"Naschitti CCD, San Juan County, New Mexico",045,92160,35
26045,12824.0,808.0,960.0,878.0,503.0,240.0,187.0,165.0,594.0,802.0,1109.0,630.0,876.0,751.0,874.0,854.0,261.0,527.0,360.0,307.0,349.0,348.0,173.0,268.0,13221.0,892.0,852.0,1028.0,614.0,212.0,56.0,185.0,474.0,817.0,1077.0,775.0,941.0,574.0,847.0,1075.0,332.0,441.0,282.0,459.0,450.0,344.0,239.0,255.0,"Aztec CCD, San Juan County, New Mexico",045,90180,35
483,213.0,0.0,29.0,16.0,19.0,12.0,0.0,0.0,0.0,0.0,26.0,3.0,3.0,7.0,11.0,17.0,15.0,7.0,9.0,6.0,17.0,6.0,3.0,7.0,270.0,20.0,17.0,26.0,7.0,0.0,0.0,0.0,0.0,0.0,42.0,18.0,13.0,10.0,14.0,25.0,10.0,9.0,9.0,2.0,20.0,10.0,7.0,11.0,"San Jon CCD, Quay County, New Mexico",037,92730,35
6600,3181.0,197.0,221.0,228.0,98.0,194.0,10.0,47.0,193.0,70.0,195.0,134.0,139.0,115.0,183.0,183.0,86.0,156.0,130.0,117.0,182.0,199.0,64.0,40.0,3419.0,285.0,261.0,141.0,81.0,33.0,66.0,64.0,83.0,100.0,170.0,155.0,159.0,253.0,226.0,255.0,68.0,196.0,91.0,201.0,199.0,131.0,119.0,82.0,"Tucumcari CCD, Quay County, New Mexico",037,93540,35
1284,575.0,44.0,53.0,7.0,24.0,39.0,0.0,0.0,0.0,0.0,11.0,56.0,54.0,16.0,47.0,56.0,0.0,6.0,36.0,70.0,29.0,18.0,0.0,9.0,709.0,26.0,52.0,38.0,43.0,51.0,0.0,0.0,34.0,0.0,16.0,95.0,51.0,50.0,85.0,23.0,23.0,14.0,0.0,23.0,37.0,26.0,0.0,22.0,"Hondo CCD, Lincoln County, New Mexico",027,91500,35
1071,511.0,8.0,24.0,19.0,11.0,0.0,0.0,0.0,35.0,0.0,79.0,0.0,24.0,6.0,50.0,87.0,15.0,25.0,19.0,28.0,33.0,19.0,15.0,14.0,560.0,5.0,24.0,54.0,13.0,53.0,8.0,0.0,0.0,14.0,15.0,18.0,28.0,18.0,63.0,33.0,0.0,38.0,13.0,10.0,52.0,64.0,21.0,16.0,"Logan-Nara Visa CCD, Quay County, New Mexico",037,91830,35
293,152.0,0.0,5.0,21.0,8.0,6.0,0.0,0.0,3.0,0.0,0.0,28.0,15.0,15.0,2.0,5.0,0.0,11.0,2.0,11.0,9.0,7.0,2.0,2.0,141.0,2.0,23.0,0.0,6.0,10.0,0.0,0.0,0.0,1.0,19.0,4.0,7.0,2.0,1.0,30.0,0.0,11.0,6.0,10.0,6.0,3.0,0.0,0.0,"House-Forrest CCD, Quay County, New Mexico",037,91530,35
