B23025_001E,B23025_002E,B23025_003E,B23025_004E,B23025_005E,B23025_006E,B23025_007E,name,county,county subdivision,state
533.0,323.0,323.0,305.0,18.0,0.0,210.0,"Vienna township, Grundy County, Illinois",063,77850,17
2160.0,908.0,908.0,891.0,17.0,0.0,1252.0,"Erienna township, Grundy County, Illinois",063,24400,17
1175.0,788.0,788.0,707.0,81.0,0.0,387.0,"Garfield township, Grundy County, Illinois",063,28677,17
1004.0,596.0,596.0,554.0,42.0,0.0,408.0,"Greenfield township, Grundy County, Illinois",063,31381,17
217.0,146.0,146.0,146.0,0.0,0.0,71.0,"Norman township, Grundy County, Illinois",063,53286,17
312.0,185.0,185.0,184.0,1.0,0.0,127.0,"Highland township, Grundy County, Illinois",063,34657,17
4838.0,2944.0,2944.0,2791.0,153.0,0.0,1894.0,"Saratoga township, Grundy County, Illinois",063,67678,17
1976.0,1335.0,1335.0,1222.0,113.0,0.0,641.0,"Wauponsee township, Grundy County, Illinois",063,79345,17
403.0,272.0,264.0,253.0,11.0,8.0,131.0,"Nettle Creek township, Grundy County, Illinois",063,52038,17
4799.0,3544.0,3544.0,3316.0,228.0,0.0,1255.0,"Braceville township, Grundy County, Illinois",063,07653,17
9337.0,7075.0,7075.0,6689.0,386.0,0.0,2262.0,"Aux Sable township, Grundy County, Illinois",063,03090,17
5837.0,3922.0,3909.0,3638.0,271.0,13.0,1915.0,"Morris township, Grundy County, Illinois",063,50504,17
1047.0,685.0,685.0,599.0,86.0,0.0,362.0,"Salina township, Kankakee County, Illinois",091,67262,17
3053.0,1611.0,1611.0,1504.0,107.0,0.0,1442.0,"Momence township, Kankakee County, Illinois",091,49906,17
1780.0,1123.0,1123.0,1071.0,52.0,0.0,657.0,"St. Anne township, Kankakee County, Illinois",091,66651,17
717.0,424.0,413.0,360.0,53.0,11.0,293.0,"Rockville township, Kankakee County, Illinois",091,65195,17
3994.0,2747.0,2747.0,2699.0,48.0,0.0,1247.0,"Limestone township, Kankakee County, Illinois",091,43497,17
1968.0,964.0,964.0,873.0,91.0,0.0,1004.0,"Otto township, Kankakee County, Illinois",091,57017,17
650.0,373.0,373.0,369.0,4.0,0.0,277.0,"Sumner township, Kankakee County, Illinois",091,73690,17
30884.0,20271.0,20212.0,19088.0,1124.0,59.0,10613.0,"Bourbonnais township, Kankakee County, Illinois",091,07484,17
1287.0,773.0,773.0,720.0,53.0,0.0,514.0,"Essex township, Kankakee County, Illinois",091,24465,17
8823.0,5665.0,5665.0,5226.0,439.0,0.0,3158.0,"Manteno township, Kankakee County, Illinois",091,46513,17
2548.0,1530.0,1530.0,1484.0,46.0,0.0,1018.0,"Ganeer township, Kankakee County, Illinois",091,28456,17
20348.0,11773.0,11773.0,10341.0,1432.0,0.0,8575.0,"Kankakee township, Kankakee County, Illinois",091,38947,17
799.0,499.0,499.0,486.0,13.0,0.0,300.0,"Norton township, Kankakee County, Illinois",091,54352,17
1642.0,743.0,743.0,626.0,117.0,0.0,899.0,"Pembroke township, Kankakee County, Illinois",091,58538,17
