B19001D_001E,B19001D_002E,B19001D_003E,B19001D_004E,B19001D_005E,B19001D_006E,B19001D_007E,B19001D_008E,B19001D_009E,B19001D_010E,B19001D_011E,B19001D_012E,B19001D_013E,B19001D_014E,B19001D_015E,B19001D_016E,B19001D_017E,name,county,county subdivision,state
1092.0,100.0,32.0,18.0,19.0,115.0,108.0,22.0,16.0,0.0,0.0,172.0,154.0,106.0,55.0,109.0,66.0,"Revere city, Suffolk County, Massachusetts",025,56585,25
498.0,25.0,24.0,9.0,67.0,64.0,27.0,0.0,31.0,29.0,32.0,43.0,76.0,17.0,26.0,13.0,15.0,"Chelsea city, Suffolk County, Massachusetts",025,13205,25
23225.0,5036.0,2128.0,1089.0,1107.0,708.0,870.0,456.0,673.0,613.0,1329.0,1502.0,1761.0,1724.0,1109.0,1445.0,1675.0,"Boston city, Suffolk County, Massachusetts",025,07000,25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"County subdivisions not defined, Suffolk County, Massachusetts",025,00000,25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Chatham town, Barnstable County, Massachusetts",001,12995,25
36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,23.0,0.0,0.0,0.0,0.0,"Eastham town, Barnstable County, Massachusetts",001,19295,25
243.0,0.0,0.0,28.0,24.0,0.0,16.0,25.0,0.0,0.0,7.0,0.0,49.0,11.0,42.0,0.0,41.0,"Falmouth town, Barnstable County, Massachusetts",001,23105,25
67.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,7.0,0.0,28.0,21.0,0.0,0.0,"Bourne town, Barnstable County, Massachusetts",001,07175,25
29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,"Dennis town, Barnstable County, Massachusetts",001,16775,25
33.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,16.0,0.0,0.0,0.0,"Mashpee town, Barnstable County, Massachusetts",001,39100,25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Truro town, Barnstable County, Massachusetts",001,70605,25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"County subdivisions not defined, Barnstable County, Massachusetts",001,00000,25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Wellfleet town, Barnstable County, Massachusetts",001,74385,25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Orleans town, Barnstable County, Massachusetts",001,51440,25
33.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,"Brewster town, Barnstable County, Massachusetts",001,07980,25
68.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0,26.0,"Sandwich town, Barnstable County, Massachusetts",001,59735,25
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,"Provincetown town, Barnstable County, Massachusetts",001,55500,25
38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,16.0,"Harwich town, Barnstable County, Massachusetts",001,29020,25
129.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,27.0,30.0,0.0,0.0,15.0,0.0,20.0,0.0,18.0,"Yarmouth town, Barnstable County, Massachusetts",001,82525,25
