B19001D_001E,B19001D_002E,B19001D_003E,B19001D_004E,B19001D_005E,B19001D_006E,B19001D_007E,B19001D_008E,B19001D_009E,B19001D_010E,B19001D_011E,B19001D_012E,B19001D_013E,B19001D_014E,B19001D_015E,B19001D_016E,B19001D_017E,name,county,county subdivision,state
76.0,0.0,0.0,12.0,0.0,0.0,0.0,6.0,0.0,0.0,8.0,22.0,22.0,6.0,0.0,0.0,0.0,"Marana CCD, Pima County, Arizona",019,92040,04
26.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,"Ajo CCD, Pima County, Arizona",019,90051,04
9906.0,1479.0,537.0,547.0,361.0,511.0,587.0,325.0,414.0,440.0,601.0,756.0,1001.0,695.0,400.0,648.0,604.0,"Tucson CCD, Pima County, Arizona",019,93570,04
346.0,62.0,0.0,18.0,17.0,9.0,14.0,29.0,0.0,12.0,48.0,30.0,7.0,37.0,43.0,20.0,0.0,"Arivaca CCD, Pima County, Arizona",019,90153,04
60.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,13.0,0.0,0.0,15.0,15.0,0.0,6.0,"Gila Bend CCD, Maricopa County, Arizona",013,91377,04
10242.0,433.0,89.0,223.0,241.0,206.0,163.0,165.0,152.0,264.0,557.0,761.0,1351.0,1507.0,1022.0,1435.0,1673.0,"Chandler CCD, Maricopa County, Arizona",013,90561,04
37719.0,3525.0,1056.0,1137.0,1732.0,1266.0,1346.0,1150.0,1295.0,1178.0,2490.0,4644.0,5577.0,3688.0,2020.0,2168.0,3447.0,"Phoenix CCD, Maricopa County, Arizona",013,92601,04
4248.0,296.0,24.0,23.0,74.0,89.0,223.0,79.0,102.0,46.0,234.0,375.0,542.0,550.0,387.0,406.0,798.0,"Deer Valley CCD, Maricopa County, Arizona",013,90867,04
51.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,17.0,"St. Johns CCD, Maricopa County, Arizona",013,93009,04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"San Carlos CCD, Graham County, Arizona",009,93111,04
453.0,0.0,13.0,0.0,0.0,30.0,0.0,32.0,19.0,9.0,0.0,31.0,45.0,102.0,57.0,59.0,56.0,"Wickenburg CCD, Maricopa County, Arizona",013,93774,04
326.0,35.0,23.0,0.0,21.0,0.0,30.0,0.0,0.0,6.0,44.0,28.0,36.0,16.0,19.0,0.0,68.0,"Buckeye CCD, Maricopa County, Arizona",013,90459,04
29.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,"Payson CCD, Gila County, Arizona",007,92570,04
6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Winkelman CCD, Gila County, Arizona",007,93927,04
53.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,16.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,"Salt River CCD, Maricopa County, Arizona",013,93060,04
