B19001I_001E,B19001I_002E,B19001I_003E,B19001I_004E,B19001I_005E,B19001I_006E,B19001I_007E,B19001I_008E,B19001I_009E,B19001I_010E,B19001I_011E,B19001I_012E,B19001I_013E,B19001I_014E,B19001I_015E,B19001I_016E,B19001I_017E,name,county,county subdivision,state
438.0,54.0,21.0,36.0,14.0,68.0,20.0,82.0,25.0,8.0,6.0,9.0,64.0,27.0,4.0,0.0,0.0,"Port Angeles CCD, Clallam County, Washington",009,92592,53
198.0,0.0,23.0,0.0,37.0,29.0,0.0,16.0,3.0,46.0,0.0,31.0,0.0,2.0,11.0,0.0,0.0,"Forks CCD, Clallam County, Washington",009,91168,53
58.0,6.0,0.0,0.0,15.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Agnew-Carlsborg CCD, Clallam County, Washington",009,90032,53
41.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,9.0,0.0,0.0,11.0,0.0,"Crescent CCD, Clallam County, Washington",009,90816,53
1707.0,107.0,185.0,99.0,239.0,176.0,110.0,131.0,108.0,76.0,142.0,166.0,99.0,8.0,61.0,0.0,0.0,"Longview-Kelso CCD, Cowlitz County, Washington",015,91664,53
3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Kalama CCD, Cowlitz County, Washington",015,91440,53
37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,"Rose Valley CCD, Cowlitz County, Washington",015,92864,53
230.0,0.0,27.0,51.0,0.0,40.0,0.0,0.0,29.0,0.0,0.0,41.0,14.0,28.0,0.0,0.0,0.0,"Woodland CCD, Cowlitz County, Washington",015,93856,53
90.0,39.0,0.0,0.0,10.0,0.0,13.0,0.0,0.0,0.0,14.0,3.0,11.0,0.0,0.0,0.0,0.0,"Castle Rock CCD, Cowlitz County, Washington",015,90464,53
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Curlew CCD, Ferry County, Washington",019,90832,53
11.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,"Colville Reservation CCD, Ferry County, Washington",019,90704,53
