C16001_001E,C16001_002E,C16001_004E,C16001_005E,C16001_007E,C16001_008E,C16001_010E,C16001_011E,C16001_013E,C16001_014E,C16001_016E,C16001_017E,C16001_019E,C16001_020E,C16001_022E,C16001_023E,C16001_025E,C16001_026E,C16001_028E,C16001_029E,C16001_031E,C16001_032E,C16001_034E,C16001_035E,C16001_037E,C16001_038E,name,county,county subdivision,state
12889.0,9787.0,1662.0,1190.0,0.0,4.0,40.0,0.0,58.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,7.0,0.0,9.0,22.0,0.0,0.0,15.0,0.0,"Burley CCD, Cassia County, Idaho",031,90460,16
320.0,282.0,9.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Holbrook CCD, Oneida County, Idaho",071,91472,16
3689.0,3510.0,30.0,102.0,0.0,0.0,16.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,21.0,0.0,"Malad City CCD, Oneida County, Idaho",071,92047,16
3061.0,2621.0,154.0,248.0,0.0,0.0,13.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,0.0,0.0,0.0,0.0,"Declo CCD, Cassia County, Idaho",031,90759,16
2611.0,1816.0,237.0,516.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,"Oakley CCD, Cassia County, Idaho",031,92645,16
11720.0,10380.0,760.0,397.0,0.0,0.0,42.0,0.0,0.0,0.0,29.0,0.0,23.0,0.0,0.0,7.0,23.0,17.0,14.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,"Emmett Valley CCD, Gem County, Idaho",045,90966,16
2856.0,2790.0,56.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Emmett Bench CCD, Gem County, Idaho",045,90943,16
1367.0,1347.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Sweet CCD, Gem County, Idaho",045,93427,16
1250.0,973.0,125.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Richfield CCD, Lincoln County, Idaho",063,92967,16
3661.0,2611.0,424.0,574.0,0.0,0.0,11.0,0.0,12.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,"Shoshone CCD, Lincoln County, Idaho",063,93243,16
