B01001_001E,B01001_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,name,county,county subdivision,state
1108,464.0,24.0,45.0,44.0,24.0,46.0,0.0,0.0,11.0,0.0,11.0,19.0,12.0,70.0,9.0,15.0,13.0,18.0,22.0,17.0,28.0,18.0,3.0,15.0,644.0,3.0,67.0,68.0,28.0,13.0,2.0,0.0,0.0,0.0,120.0,51.0,63.0,41.0,5.0,67.0,5.0,19.0,12.0,8.0,22.0,22.0,1.0,27.0,"Garden City-Laketown CCD, Rich County, Utah",033,91032,49
21,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,"Uintah and Ouray CCD, Wasatch County, Utah",051,93612,49
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Soldier Summit CCD, Wasatch County, Utah",051,93139,49
3658,1842.0,184.0,172.0,192.0,99.0,68.0,12.0,8.0,45.0,113.0,105.0,114.0,128.0,80.0,85.0,111.0,0.0,54.0,75.0,27.0,38.0,33.0,54.0,45.0,1816.0,127.0,185.0,197.0,101.0,0.0,9.0,34.0,118.0,84.0,130.0,143.0,106.0,43.0,77.0,89.0,65.0,33.0,5.0,55.0,103.0,45.0,34.0,33.0,"Beaver CCD, Beaver County, Utah",001,90086,49
2756,1454.0,111.0,137.0,100.0,84.0,89.0,14.0,19.0,43.0,55.0,112.0,65.0,81.0,66.0,109.0,124.0,43.0,47.0,28.0,29.0,54.0,29.0,11.0,4.0,1302.0,145.0,61.0,104.0,64.0,20.0,4.0,21.0,47.0,56.0,79.0,28.0,103.0,98.0,75.0,126.0,40.0,47.0,7.0,70.0,38.0,38.0,16.0,15.0,"Milford-Minersville CCD, Beaver County, Utah",001,91892,49
28139,13786.0,1074.0,1200.0,1156.0,766.0,402.0,178.0,253.0,469.0,778.0,920.0,856.0,918.0,664.0,784.0,873.0,339.0,416.0,314.0,263.0,473.0,368.0,223.0,99.0,14353.0,1073.0,1320.0,1029.0,763.0,323.0,119.0,198.0,505.0,930.0,867.0,1049.0,824.0,731.0,816.0,765.0,395.0,553.0,296.0,345.0,496.0,469.0,267.0,220.0,"Brigham City CCD, Box Elder County, Utah",003,90258,49
21124,11162.0,1154.0,1285.0,1062.0,563.0,351.0,169.0,193.0,527.0,502.0,717.0,645.0,730.0,518.0,618.0,489.0,202.0,303.0,173.0,181.0,257.0,212.0,110.0,201.0,9962.0,982.0,1252.0,777.0,463.0,247.0,78.0,134.0,387.0,555.0,701.0,543.0,640.0,539.0,653.0,516.0,178.0,238.0,135.0,150.0,227.0,250.0,154.0,163.0,"Tremonton CCD, Box Elder County, Utah",003,93440,49
181,92.0,0.0,0.0,12.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,15.0,5.0,18.0,0.0,5.0,0.0,5.0,8.0,0.0,89.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,6.0,6.0,0.0,0.0,6.0,6.0,21.0,6.0,0.0,0.0,19.0,0.0,0.0,"West Box Elder CCD, Box Elder County, Utah",003,93827,49
2738,1383.0,123.0,152.0,105.0,90.0,24.0,9.0,30.0,26.0,61.0,94.0,153.0,43.0,101.0,64.0,66.0,29.0,61.0,16.0,42.0,30.0,43.0,7.0,14.0,1355.0,120.0,99.0,216.0,68.0,26.0,15.0,0.0,19.0,68.0,76.0,100.0,112.0,48.0,72.0,108.0,21.0,37.0,19.0,26.0,38.0,30.0,29.0,8.0,"Howell-Snowville CCD, Box Elder County, Utah",003,91419,49
4010,2122.0,207.0,83.0,101.0,144.0,89.0,0.0,33.0,146.0,71.0,101.0,50.0,138.0,107.0,139.0,168.0,46.0,38.0,6.0,104.0,113.0,147.0,61.0,30.0,1888.0,90.0,51.0,166.0,65.0,25.0,2.0,42.0,102.0,24.0,57.0,69.0,74.0,155.0,185.0,136.0,35.0,77.0,20.0,129.0,162.0,78.0,137.0,7.0,"Parowan CCD, Iron County, Utah",021,92623,49
662,328.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,17.0,50.0,6.0,5.0,0.0,28.0,30.0,8.0,52.0,10.0,16.0,0.0,46.0,20.0,35.0,0.0,334.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,11.0,36.0,39.0,0.0,74.0,0.0,3.0,51.0,35.0,15.0,10.0,"Beryl-Newcastle CCD, Iron County, Utah",021,90129,49
43832,21658.0,1745.0,1970.0,1888.0,927.0,693.0,212.0,664.0,1728.0,1661.0,1551.0,1315.0,1238.0,960.0,888.0,1186.0,348.0,497.0,380.0,413.0,632.0,374.0,204.0,184.0,22174.0,2040.0,1869.0,1645.0,1113.0,1159.0,638.0,686.0,1232.0,1536.0,1343.0,1518.0,1098.0,960.0,918.0,1155.0,391.0,537.0,347.0,475.0,638.0,458.0,257.0,161.0,"Cedar City CCD, Iron County, Utah",021,90344,49
11720,5758.0,360.0,391.0,501.0,381.0,292.0,46.0,136.0,129.0,218.0,230.0,291.0,339.0,324.0,313.0,496.0,82.0,153.0,164.0,186.0,281.0,271.0,118.0,56.0,5962.0,371.0,480.0,488.0,308.0,71.0,58.0,120.0,253.0,312.0,296.0,356.0,333.0,336.0,331.0,491.0,100.0,213.0,140.0,184.0,287.0,202.0,101.0,131.0,"Mount Pleasant-Moroni CCD, Sanpete County, Utah",039,92150,49
5735,3974.0,174.0,224.0,223.0,75.0,138.0,42.0,39.0,189.0,415.0,451.0,369.0,448.0,332.0,320.0,154.0,59.0,98.0,42.0,58.0,62.0,46.0,14.0,2.0,1761.0,106.0,256.0,168.0,88.0,38.0,6.0,2.0,61.0,50.0,164.0,220.0,113.0,63.0,82.0,89.0,44.0,31.0,41.0,27.0,51.0,38.0,6.0,17.0,"Gunnison CCD, Sanpete County, Utah",039,91204,49
11437,5579.0,452.0,387.0,515.0,391.0,311.0,104.0,229.0,570.0,248.0,406.0,363.0,278.0,180.0,201.0,169.0,108.0,133.0,94.0,65.0,183.0,83.0,63.0,46.0,5858.0,425.0,359.0,381.0,314.0,721.0,185.0,226.0,395.0,380.0,321.0,237.0,281.0,268.0,236.0,166.0,113.0,159.0,101.0,78.0,218.0,137.0,60.0,97.0,"Ephraim-Manti CCD, Sanpete County, Utah",039,90860,49
11511,5815.0,463.0,702.0,496.0,335.0,154.0,53.0,70.0,254.0,346.0,392.0,531.0,297.0,236.0,255.0,212.0,92.0,187.0,98.0,106.0,201.0,118.0,124.0,93.0,5696.0,519.0,508.0,525.0,236.0,157.0,80.0,47.0,209.0,332.0,383.0,364.0,282.0,277.0,256.0,301.0,120.0,186.0,101.0,237.0,203.0,164.0,125.0,84.0,"Richfield CCD, Sevier County, Utah",041,92838,49
5076,2648.0,172.0,176.0,267.0,171.0,66.0,28.0,15.0,105.0,147.0,189.0,132.0,67.0,145.0,172.0,151.0,64.0,137.0,74.0,72.0,138.0,60.0,48.0,52.0,2428.0,135.0,166.0,146.0,104.0,59.0,12.0,33.0,48.0,140.0,146.0,140.0,145.0,151.0,213.0,139.0,48.0,126.0,51.0,113.0,118.0,113.0,51.0,31.0,"Monroe CCD, Sevier County, Utah",041,91978,49
4374,2293.0,136.0,143.0,252.0,130.0,64.0,11.0,26.0,108.0,37.0,76.0,192.0,135.0,146.0,144.0,177.0,52.0,105.0,46.0,34.0,108.0,57.0,51.0,63.0,2081.0,74.0,125.0,217.0,149.0,52.0,9.0,6.0,75.0,131.0,92.0,141.0,192.0,60.0,127.0,160.0,65.0,78.0,65.0,47.0,59.0,57.0,69.0,31.0,"Salina CCD, Sevier County, Utah",041,92967,49
4354,2340.0,276.0,261.0,308.0,109.0,63.0,14.0,36.0,55.0,132.0,109.0,191.0,130.0,93.0,95.0,111.0,45.0,69.0,13.0,40.0,120.0,60.0,6.0,4.0,2014.0,187.0,170.0,250.0,140.0,47.0,18.0,27.0,49.0,121.0,113.0,142.0,139.0,77.0,118.0,52.0,48.0,35.0,71.0,17.0,106.0,52.0,15.0,20.0,"Goshen CCD, Utah County, Utah",049,91118,49
136498,68221.0,6453.0,6974.0,8067.0,4819.0,2940.0,987.0,1076.0,3108.0,3335.0,3848.0,5015.0,4357.0,4093.0,3120.0,2728.0,933.0,1647.0,710.0,1067.0,1212.0,662.0,602.0,468.0,68277.0,5840.0,7661.0,7261.0,4719.0,2782.0,849.0,965.0,2612.0,3855.0,4296.0,5013.0,4359.0,3854.0,3011.0,2698.0,1048.0,1573.0,953.0,1221.0,1430.0,976.0,820.0,481.0,"American Fork-Pleasant Grove CCD, Utah County, Utah",049,90043,49
213598,107253.0,9579.0,8176.0,6551.0,4029.0,4082.0,2388.0,4564.0,17526.0,12362.0,7212.0,5617.0,4405.0,3572.0,3608.0,3448.0,1447.0,1476.0,1009.0,1270.0,1792.0,1384.0,853.0,903.0,106345.0,9411.0,6944.0,6748.0,3839.0,7016.0,4436.0,5857.0,13922.0,9302.0,6077.0,5431.0,4362.0,3619.0,3585.0,3981.0,1275.0,1896.0,1093.0,1534.0,2038.0,1650.0,1233.0,1096.0,"Provo-Orem CCD, Utah County, Utah",049,92709,49
95160,48484.0,7004.0,6596.0,5914.0,2639.0,1418.0,650.0,437.0,1367.0,2851.0,4432.0,4393.0,3300.0,1870.0,1505.0,1186.0,397.0,590.0,280.0,626.0,399.0,361.0,196.0,73.0,46676.0,6387.0,6546.0,5536.0,2247.0,640.0,366.0,468.0,1588.0,3469.0,4745.0,4348.0,2835.0,1591.0,1420.0,1117.0,496.0,534.0,438.0,528.0,446.0,474.0,228.0,229.0,"Lehi CCD, Utah County, Utah",049,91634,49
77854,39843.0,3677.0,4250.0,4565.0,2312.0,1713.0,729.0,635.0,1945.0,2149.0,2550.0,3177.0,2275.0,1949.0,1906.0,1702.0,472.0,798.0,335.0,616.0,883.0,588.0,308.0,309.0,38011.0,3702.0,3787.0,3961.0,2318.0,961.0,488.0,648.0,1685.0,2152.0,2864.0,2893.0,2212.0,2105.0,1950.0,1434.0,579.0,784.0,573.0,765.0,631.0,668.0,527.0,324.0,"Spanish Fork-Payson CCD, Utah County, Utah",049,93268,49
