B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,name,county,county subdivision,state
679.0,16.0,36.0,54.0,59.0,34.0,50.0,19.0,42.0,24.0,73.0,77.0,59.0,62.0,53.0,7.0,14.0,"Morris town, Otsego County, New York",077,48494,36
1994.0,94.0,135.0,21.0,175.0,50.0,73.0,100.0,86.0,84.0,201.0,238.0,221.0,199.0,94.0,139.0,84.0,"Oneonta town, Otsego County, New York",077,54892,36
956.0,43.0,55.0,90.0,50.0,70.0,48.0,47.0,25.0,58.0,99.0,92.0,157.0,47.0,39.0,11.0,25.0,"Richfield town, Otsego County, New York",077,61467,36
289.0,14.0,14.0,21.0,47.0,12.0,5.0,9.0,18.0,8.0,19.0,35.0,52.0,16.0,8.0,9.0,2.0,"Roseboom town, Otsego County, New York",077,63638,36
910.0,77.0,27.0,40.0,71.0,32.0,60.0,87.0,67.0,68.0,49.0,124.0,60.0,54.0,53.0,41.0,0.0,"Worcester town, Otsego County, New York",077,83129,36
1242.0,46.0,34.0,47.0,96.0,101.0,115.0,59.0,36.0,87.0,104.0,177.0,89.0,128.0,83.0,13.0,27.0,"Otego town, Otsego County, New York",077,55629,36
480.0,23.0,24.0,22.0,33.0,16.0,27.0,40.0,22.0,42.0,55.0,21.0,30.0,65.0,26.0,11.0,23.0,"Pittsfield town, Otsego County, New York",077,58343,36
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"County subdivisions not defined, Wayne County, New York",117,00000,36
1845.0,111.0,49.0,52.0,46.0,67.0,75.0,97.0,52.0,123.0,160.0,300.0,289.0,213.0,141.0,44.0,26.0,"Marion town, Wayne County, New York",117,45645,36
2723.0,172.0,142.0,132.0,120.0,94.0,169.0,118.0,79.0,130.0,237.0,277.0,478.0,248.0,92.0,156.0,79.0,"Williamson town, Wayne County, New York",117,82040,36
4354.0,38.0,124.0,181.0,261.0,337.0,238.0,224.0,206.0,126.0,378.0,513.0,598.0,442.0,271.0,262.0,155.0,"Ontario town, Wayne County, New York",117,55013,36
1723.0,110.0,123.0,130.0,91.0,104.0,119.0,129.0,67.0,75.0,187.0,213.0,230.0,78.0,22.0,30.0,15.0,"Wolcott town, Wayne County, New York",117,82689,36
