B19001B_001E,B19001B_002E,B19001B_003E,B19001B_004E,B19001B_005E,B19001B_006E,B19001B_007E,B19001B_008E,B19001B_009E,B19001B_010E,B19001B_011E,B19001B_012E,B19001B_013E,B19001B_014E,B19001B_015E,B19001B_016E,B19001B_017E,name,county,county subdivision,state
45.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Rockingham CCD, Bacon County, Georgia",005,92562,13
25.0,0.0,0.0,0.0,11.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Altamaha River CCD, Appling County, Georgia",001,90078,13
837.0,264.0,123.0,30.0,40.0,37.0,45.0,64.0,15.0,61.0,55.0,24.0,60.0,19.0,0.0,0.0,0.0,"Baxley CCD, Appling County, Georgia",001,90240,13
477.0,76.0,59.0,84.0,71.0,28.0,63.0,29.0,0.0,14.0,0.0,0.0,40.0,13.0,0.0,0.0,0.0,"Alma CCD, Bacon County, Georgia",005,90072,13
74.0,51.0,0.0,0.0,1.0,0.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Hoboken CCD, Brantley County, Georgia",025,91500,13
39.0,0.0,10.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,"Waynesville CCD, Brantley County, Georgia",025,93306,13
63.0,4.0,0.0,19.0,7.0,9.0,0.0,5.0,0.0,0.0,0.0,4.0,15.0,0.0,0.0,0.0,0.0,"Nahunta CCD, Brantley County, Georgia",025,92124,13
66.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,"Southeast Banks CCD, Banks County, Georgia",011,92803,13
1201.0,34.0,42.0,53.0,18.0,29.0,37.0,4.0,56.0,29.0,91.0,259.0,156.0,164.0,194.0,8.0,27.0,"North Paulding CCD, Paulding County, Georgia",223,92210,13
371.0,14.0,52.0,32.0,0.0,67.0,47.0,12.0,40.0,0.0,0.0,59.0,48.0,0.0,0.0,0.0,0.0,"LaFayette CCD, Walker County, Georgia",295,91668,13
116.0,47.0,0.0,10.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,13.0,0.0,0.0,"Queensland CCD, Ben Hill County, Georgia",017,92433,13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Redbud CCD, Gordon County, Georgia",129,92460,13
1313.0,214.0,315.0,151.0,83.0,69.0,24.0,95.0,8.0,35.0,183.0,64.0,24.0,48.0,0.0,0.0,0.0,"Washington CCD, Wilkes County, Georgia",317,93275,13
45.0,5.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,11.0,5.0,0.0,0.0,0.0,"Southeast Grady CCD, Grady County, Georgia",131,92804,13
43.0,0.0,6.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,"Northwest Grady CCD, Grady County, Georgia",131,92216,13
155.0,3.0,67.0,46.0,0.0,13.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,20.0,0.0,0.0,0.0,"West Johnson CCD, Johnson County, Georgia",167,93332,13
105.0,16.0,0.0,7.0,4.0,13.0,11.0,15.0,0.0,0.0,7.0,27.0,0.0,0.0,0.0,2.0,3.0,"Carsonville CCD, Taylor County, Georgia",269,90557,13
81.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,35.0,0.0,"Blacks Mill CCD, Dawson County, Georgia",085,90284,13
584.0,163.0,143.0,18.0,17.0,5.0,28.0,10.0,6.0,10.0,3.0,39.0,61.0,37.0,30.0,14.0,0.0,"North Twiggs CCD, Twiggs County, Georgia",289,92215,13
590.0,67.0,115.0,30.0,90.0,72.0,25.0,37.0,48.0,6.0,0.0,7.0,20.0,20.0,36.0,17.0,0.0,"South Twiggs CCD, Twiggs County, Georgia",289,92821,13
74.0,0.0,0.0,15.0,16.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,22.0,7.0,0.0,0.0,0.0,"Mount Pleasant CCD, Decatur County, Georgia",087,92104,13
113.0,0.0,0.0,0.0,29.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,"Three Sisters Mountain CCD, Lumpkin County, Georgia",187,93024,13
789.0,214.0,65.0,98.0,74.0,120.0,8.0,21.0,40.0,0.0,54.0,68.0,12.0,15.0,0.0,0.0,0.0,"Millen CCD, Jenkins County, Georgia",165,92019,13
367.0,64.0,71.0,31.0,42.0,19.0,0.0,12.0,0.0,25.0,25.0,78.0,0.0,0.0,0.0,0.0,0.0,"South Jenkins CCD, Jenkins County, Georgia",165,92806,13
318.0,57.0,19.0,16.0,39.0,17.0,40.0,0.0,7.0,29.0,10.0,57.0,10.0,6.0,7.0,0.0,4.0,"Salem CCD, Upson County, Georgia",293,92671,13
126.0,18.0,42.0,0.0,0.0,23.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,"Cedar Crossing CCD, Toombs County, Georgia",279,90591,13
397.0,41.0,66.0,26.0,44.0,5.0,11.0,35.0,44.0,19.0,40.0,55.0,11.0,0.0,0.0,0.0,0.0,"South Lincoln CCD, Lincoln County, Georgia",181,92807,13
725.0,111.0,65.0,80.0,110.0,32.0,12.0,2.0,78.0,91.0,9.0,52.0,49.0,10.0,24.0,0.0,0.0,"Crawford CCD, Oglethorpe County, Georgia",221,90814,13
5832.0,1086.0,726.0,644.0,532.0,407.0,473.0,219.0,239.0,159.0,314.0,279.0,363.0,238.0,11.0,55.0,87.0,"Macon East CCD, Bibb County, Georgia",021,91891,13
6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Vaughn CCD, Spalding County, Georgia",255,93180,13
20204.0,4740.0,2196.0,1838.0,1485.0,1658.0,1043.0,819.0,762.0,630.0,961.0,1756.0,1025.0,590.0,336.0,184.0,181.0,"Macon West CCD, Bibb County, Georgia",021,91892,13
359.0,0.0,0.0,0.0,10.0,52.0,1.0,33.0,0.0,33.0,58.0,102.0,40.0,17.0,0.0,0.0,13.0,"Towalaga CCD, Spalding County, Georgia",255,93071,13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Digbey CCD, Spalding County, Georgia",255,90942,13
2161.0,154.0,130.0,160.0,310.0,105.0,115.0,76.0,111.0,115.0,100.0,145.0,238.0,300.0,33.0,32.0,37.0,"Gray-Macon East CCD, Jones County, Georgia",169,91351,13
118.0,9.0,0.0,0.0,0.0,15.0,0.0,17.0,0.0,0.0,0.0,27.0,50.0,0.0,0.0,0.0,0.0,"Worthville CCD, Butts County, Georgia",035,93438,13
116.0,0.0,0.0,0.0,0.0,0.0,47.0,10.0,0.0,0.0,12.0,11.0,36.0,0.0,0.0,0.0,0.0,"Southwest Butts CCD, Butts County, Georgia",035,92822,13
357.0,48.0,12.0,11.0,45.0,51.0,45.0,0.0,63.0,0.0,0.0,12.0,23.0,23.0,24.0,0.0,0.0,"Eldorado CCD, Tift County, Georgia",277,91052,13
5176.0,978.0,639.0,681.0,353.0,337.0,195.0,248.0,118.0,281.0,355.0,484.0,293.0,67.0,30.0,88.0,29.0,"Milledgeville CCD, Baldwin County, Georgia",009,92015,13
171.0,18.0,0.0,30.0,11.0,48.0,3.0,17.0,0.0,0.0,34.0,0.0,10.0,0.0,0.0,0.0,0.0,"Martin-Avalon CCD, Stephens County, Georgia",257,91934,13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Trenton CCD, Dade County, Georgia",083,93084,13
2764.0,231.0,96.0,29.0,95.0,7.0,164.0,7.0,23.0,67.0,271.0,270.0,651.0,351.0,255.0,131.0,116.0,"Grovetown-Harlem CCD, Columbia County, Georgia",073,91383,13
543.0,77.0,0.0,36.0,26.0,23.0,20.0,81.0,0.0,47.0,99.0,39.0,52.0,43.0,0.0,0.0,0.0,"East Baldwin CCD, Baldwin County, Georgia",009,90992,13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Lookout Mountain CCD, Walker County, Georgia",295,91810,13
