B07004I_001E,B07004I_002E,B07004I_003E,B07004I_004E,B07004I_005E,B07004I_006E,name,county,county subdivision,state
0.0,0.0,0.0,0.0,0.0,0.0,"District 1, Cameron Parish, Louisiana",023,94033,22
208.0,208.0,0.0,0.0,0.0,0.0,"District 3, Cameron Parish, Louisiana",023,94411,22
8.0,8.0,0.0,0.0,0.0,0.0,"District 2, East Feliciana Parish, Louisiana",037,94252,22
78.0,26.0,0.0,31.0,21.0,0.0,"District 4A, East Feliciana Parish, Louisiana",037,94738,22
54.0,54.0,0.0,0.0,0.0,0.0,"District 4B, East Feliciana Parish, Louisiana",037,94750,22
25.0,25.0,0.0,0.0,0.0,0.0,"District 1B, East Feliciana Parish, Louisiana",037,94177,22
0.0,0.0,0.0,0.0,0.0,0.0,"District 3, East Feliciana Parish, Louisiana",037,94432,22
91.0,91.0,0.0,0.0,0.0,0.0,"District 6, East Feliciana Parish, Louisiana",037,94978,22
40.0,40.0,0.0,0.0,0.0,0.0,"District 7, East Feliciana Parish, Louisiana",037,95131,22
2812.0,2632.0,98.0,0.0,82.0,0.0,"District B, Lafayette Parish, Louisiana",055,95752,22
767.0,465.0,74.0,113.0,0.0,115.0,"District D, Lafayette Parish, Louisiana",055,95782,22
693.0,646.0,0.0,9.0,25.0,13.0,"District C, Lafayette Parish, Louisiana",055,95767,22
8.0,6.0,0.0,0.0,0.0,2.0,"District 1, Evangeline Parish, Louisiana",039,94051,22
24.0,20.0,4.0,0.0,0.0,0.0,"District 3, Evangeline Parish, Louisiana",039,94435,22
94.0,94.0,0.0,0.0,0.0,0.0,"District 7, Evangeline Parish, Louisiana",039,95134,22
0.0,0.0,0.0,0.0,0.0,0.0,"District 13, Evangeline Parish, Louisiana",039,95674,22
450.0,218.0,5.0,27.0,37.0,163.0,"District 2, Evangeline Parish, Louisiana",039,94255,22
380.0,192.0,15.0,36.0,49.0,88.0,"District 4, Evangeline Parish, Louisiana",039,94612,22
46.0,46.0,0.0,0.0,0.0,0.0,"District 11, Evangeline Parish, Louisiana",039,95560,22
0.0,0.0,0.0,0.0,0.0,0.0,"District 12, Evangeline Parish, Louisiana",039,95626,22
37.0,37.0,0.0,0.0,0.0,0.0,"District 10, Evangeline Parish, Louisiana",039,95485,22
80.0,10.0,0.0,0.0,0.0,70.0,"District 6, Evangeline Parish, Louisiana",039,94981,22
19.0,19.0,0.0,0.0,0.0,0.0,"District 9, Evangeline Parish, Louisiana",039,95389,22
0.0,0.0,0.0,0.0,0.0,0.0,"District 1A, East Feliciana Parish, Louisiana",037,94168,22
0.0,0.0,0.0,0.0,0.0,0.0,"District 5, East Feliciana Parish, Louisiana",037,94810,22
1.0,1.0,0.0,0.0,0.0,0.0,"District 5, Evangeline Parish, Louisiana",039,94813,22
23.0,8.0,15.0,0.0,0.0,0.0,"District 8, Evangeline Parish, Louisiana",039,95272,22
247.0,247.0,0.0,0.0,0.0,0.0,"District 1, Iberia Parish, Louisiana",045,94060,22
353.0,318.0,0.0,0.0,0.0,35.0,"District 11, Iberia Parish, Louisiana",045,95566,22
367.0,159.0,208.0,0.0,0.0,0.0,"District 3, Iberia Parish, Louisiana",045,94444,22
0.0,0.0,0.0,0.0,0.0,0.0,"District 6, Iberia Parish, Louisiana",045,94990,22
66.0,66.0,0.0,0.0,0.0,0.0,"District 5, Iberia Parish, Louisiana",045,94822,22
277.0,241.0,36.0,0.0,0.0,0.0,"District 10, Iberia Parish, Louisiana",045,95491,22
23.0,21.0,0.0,2.0,0.0,0.0,"District 14, Iberia Parish, Louisiana",045,95707,22
249.0,226.0,23.0,0.0,0.0,0.0,"District 7, Iberia Parish, Louisiana",045,95143,22
143.0,143.0,0.0,0.0,0.0,0.0,"District 9, Iberia Parish, Louisiana",045,95395,22
86.0,28.0,5.0,33.0,20.0,0.0,"District 4, Iberia Parish, Louisiana",045,94621,22
0.0,0.0,0.0,0.0,0.0,0.0,"District 8, Iberia Parish, Louisiana",045,95281,22
147.0,88.0,59.0,0.0,0.0,0.0,"District 12, Iberia Parish, Louisiana",045,95629,22
723.0,489.0,97.0,0.0,38.0,99.0,"District 13, Iberia Parish, Louisiana",045,95677,22
219.0,130.0,58.0,0.0,0.0,31.0,"District 2, Iberia Parish, Louisiana",045,94264,22
0.0,0.0,0.0,0.0,0.0,0.0,"District 4, Lincoln Parish, Louisiana",061,94642,22
69.0,69.0,0.0,0.0,0.0,0.0,"District 5, Lincoln Parish, Louisiana",061,94840,22
340.0,332.0,0.0,4.0,4.0,0.0,"District 3, Lincoln Parish, Louisiana",061,94465,22
1409.0,1148.0,22.0,230.0,0.0,9.0,"District B, St. Bernard Parish, Louisiana",087,95761,22
582.0,566.0,0.0,0.0,16.0,0.0,"District E, St. Bernard Parish, Louisiana",087,95806,22
681.0,635.0,0.0,44.0,0.0,2.0,"District A, St. Bernard Parish, Louisiana",087,95746,22
799.0,743.0,27.0,29.0,0.0,0.0,"District D, St. Bernard Parish, Louisiana",087,95791,22
866.0,670.0,25.0,0.0,18.0,153.0,"District C, St. Bernard Parish, Louisiana",087,95776,22
0.0,0.0,0.0,0.0,0.0,0.0,"District 2, St. Helena Parish, Louisiana",091,94315,22
1.0,1.0,0.0,0.0,0.0,0.0,"District 4, St. Helena Parish, Louisiana",091,94675,22
0.0,0.0,0.0,0.0,0.0,0.0,"District 6, St. Helena Parish, Louisiana",091,95038,22
0.0,0.0,0.0,0.0,0.0,0.0,"District 1, St. Helena Parish, Louisiana",091,94111,22
23.0,23.0,0.0,0.0,0.0,0.0,"District 3, St. Helena Parish, Louisiana",091,94498,22
0.0,0.0,0.0,0.0,0.0,0.0,"District 5, St. Helena Parish, Louisiana",091,94873,22
102.0,102.0,0.0,0.0,0.0,0.0,"District 7, Webster Parish, Louisiana",119,95227,22
226.0,190.0,0.0,36.0,0.0,0.0,"District 11, Webster Parish, Louisiana",119,95602,22
10.0,10.0,0.0,0.0,0.0,0.0,"District 1, Webster Parish, Louisiana",119,94150,22
30.0,30.0,0.0,0.0,0.0,0.0,"District 6, Webster Parish, Louisiana",119,95077,22
44.0,44.0,0.0,0.0,0.0,0.0,"District 12, Webster Parish, Louisiana",119,95659,22
24.0,12.0,12.0,0.0,0.0,0.0,"District 5, Webster Parish, Louisiana",119,94912,22
75.0,24.0,5.0,0.0,46.0,0.0,"District 8, Webster Parish, Louisiana",119,95353,22
7.0,0.0,7.0,0.0,0.0,0.0,"District 9, Webster Parish, Louisiana",119,95458,22
0.0,0.0,0.0,0.0,0.0,0.0,"District 10, Webster Parish, Louisiana",119,95536,22
0.0,0.0,0.0,0.0,0.0,0.0,"District 4, Webster Parish, Louisiana",119,94714,22
0.0,0.0,0.0,0.0,0.0,0.0,"District 2, Webster Parish, Louisiana",119,94354,22
129.0,117.0,0.0,0.0,12.0,0.0,"District 3, Webster Parish, Louisiana",119,94537,22
106.0,106.0,0.0,0.0,0.0,0.0,"District 4, West Baton Rouge Parish, Louisiana",121,94717,22
52.0,52.0,0.0,0.0,0.0,0.0,"District 3, West Baton Rouge Parish, Louisiana",121,94540,22
190.0,102.0,88.0,0.0,0.0,0.0,"District 1, West Baton Rouge Parish, Louisiana",121,94153,22
21.0,21.0,0.0,0.0,0.0,0.0,"District 2, West Baton Rouge Parish, Louisiana",121,94357,22
27.0,4.0,15.0,8.0,0.0,0.0,"District 5, West Baton Rouge Parish, Louisiana",121,94915,22
311.0,223.0,0.0,84.0,4.0,0.0,"District 6, West Baton Rouge Parish, Louisiana",121,95080,22
12.0,12.0,0.0,0.0,0.0,0.0,"District 7, West Baton Rouge Parish, Louisiana",121,95230,22
19.0,19.0,0.0,0.0,0.0,0.0,"District 4A, De Soto Parish, Louisiana",031,94735,22
181.0,170.0,0.0,11.0,0.0,0.0,"District 1A, De Soto Parish, Louisiana",031,94165,22
165.0,94.0,0.0,71.0,0.0,0.0,"District 3, De Soto Parish, Louisiana",031,94423,22
45.0,45.0,0.0,0.0,0.0,0.0,"District 4B, De Soto Parish, Louisiana",031,94747,22
117.0,117.0,0.0,0.0,0.0,0.0,"District 1B, De Soto Parish, Louisiana",031,94174,22
56.0,56.0,0.0,0.0,0.0,0.0,"District 2, De Soto Parish, Louisiana",031,94243,22
79.0,79.0,0.0,0.0,0.0,0.0,"District 1C, De Soto Parish, Louisiana",031,94183,22
14.0,14.0,0.0,0.0,0.0,0.0,"District 6, De Soto Parish, Louisiana",031,94969,22
16.0,16.0,0.0,0.0,0.0,0.0,"District 4C, De Soto Parish, Louisiana",031,94753,22
43.0,43.0,0.0,0.0,0.0,0.0,"District 5, De Soto Parish, Louisiana",031,94801,22
16.0,16.0,0.0,0.0,0.0,0.0,"District 4D, De Soto Parish, Louisiana",031,94756,22
91.0,91.0,0.0,0.0,0.0,0.0,"District 3, Iberville Parish, Louisiana",047,94447,22
0.0,0.0,0.0,0.0,0.0,0.0,"District 6, Iberville Parish, Louisiana",047,94993,22
93.0,21.0,0.0,0.0,72.0,0.0,"District 9, Iberville Parish, Louisiana",047,95398,22
74.0,74.0,0.0,0.0,0.0,0.0,"District 1, Iberville Parish, Louisiana",047,94063,22
115.0,81.0,0.0,34.0,0.0,0.0,"District 2, Iberville Parish, Louisiana",047,94267,22
50.0,50.0,0.0,0.0,0.0,0.0,"District 10, Iberville Parish, Louisiana",047,95494,22
200.0,146.0,0.0,0.0,54.0,0.0,"District 8, Iberville Parish, Louisiana",047,95284,22
0.0,0.0,0.0,0.0,0.0,0.0,"District 11, Iberville Parish, Louisiana",047,95569,22
35.0,35.0,0.0,0.0,0.0,0.0,"District 5, Iberville Parish, Louisiana",047,94825,22
54.0,34.0,0.0,7.0,0.0,13.0,"District 4, Iberville Parish, Louisiana",047,94624,22
0.0,0.0,0.0,0.0,0.0,0.0,"District 12, Iberville Parish, Louisiana",047,95632,22
54.0,36.0,0.0,8.0,0.0,10.0,"District 13, Iberville Parish, Louisiana",047,95678,22
71.0,71.0,0.0,0.0,0.0,0.0,"District 7, Iberville Parish, Louisiana",047,95146,22
48.0,48.0,0.0,0.0,0.0,0.0,"District 6, Claiborne Parish, Louisiana",027,94966,22
0.0,0.0,0.0,0.0,0.0,0.0,"District 10, Claiborne Parish, Louisiana",027,95479,22
15.0,15.0,0.0,0.0,0.0,0.0,"District 3, Claiborne Parish, Louisiana",027,94417,22
13.0,13.0,0.0,0.0,0.0,0.0,"District 8, Claiborne Parish, Louisiana",027,95263,22
12.0,0.0,0.0,0.0,12.0,0.0,"District 7, Claiborne Parish, Louisiana",027,95122,22
87.0,35.0,0.0,52.0,0.0,0.0,"District 2, Claiborne Parish, Louisiana",027,94237,22
0.0,0.0,0.0,0.0,0.0,0.0,"District 6, Red River Parish, Louisiana",081,95026,22
58.0,55.0,3.0,0.0,0.0,0.0,"District 5, Red River Parish, Louisiana",081,94861,22
0.0,0.0,0.0,0.0,0.0,0.0,"District 10, Vermilion Parish, Louisiana",113,95527,22
69.0,64.0,0.0,5.0,0.0,0.0,"District 13, Vermilion Parish, Louisiana",113,95692,22
244.0,219.0,0.0,0.0,25.0,0.0,"District 3, Vermilion Parish, Louisiana",113,94528,22
62.0,38.0,0.0,0.0,24.0,0.0,"District 7, Vermilion Parish, Louisiana",113,95218,22
234.0,116.0,117.0,1.0,0.0,0.0,"District 5, Vermilion Parish, Louisiana",113,94903,22
62.0,62.0,0.0,0.0,0.0,0.0,"District 6, Vermilion Parish, Louisiana",113,95068,22
118.0,117.0,0.0,1.0,0.0,0.0,"District 11, Vermilion Parish, Louisiana",113,95593,22
20.0,20.0,0.0,0.0,0.0,0.0,"District 14, Vermilion Parish, Louisiana",113,95716,22
84.0,68.0,0.0,0.0,16.0,0.0,"District 8, Vermilion Parish, Louisiana",113,95344,22
2086.0,1426.0,133.0,44.0,457.0,26.0,"District 4, Vernon Parish, Louisiana",115,94708,22
296.0,240.0,18.0,2.0,24.0,12.0,"District 8, Vernon Parish, Louisiana",115,95347,22
0.0,0.0,0.0,0.0,0.0,0.0,"District 1, Winn Parish, Louisiana",127,94162,22
54.0,54.0,0.0,0.0,0.0,0.0,"District 4, Winn Parish, Louisiana",127,94726,22
0.0,0.0,0.0,0.0,0.0,0.0,"District 6, Winn Parish, Louisiana",127,95083,22
112.0,59.0,0.0,0.0,53.0,0.0,"District 7, Winn Parish, Louisiana",127,95233,22
40.0,40.0,0.0,0.0,0.0,0.0,"District 2, Winn Parish, Louisiana",127,94366,22
53.0,43.0,0.0,0.0,0.0,10.0,"District 5, Winn Parish, Louisiana",127,94924,22
22.0,8.0,1.0,13.0,0.0,0.0,"District 3, Winn Parish, Louisiana",127,94549,22
1421.0,1169.0,175.0,34.0,43.0,0.0,"District 8, East Baton Rouge Parish, Louisiana",033,95266,22
