B01002_001E,B01002_002E,B01002_003E,name,county,county subdivision,state
41.9,42.4,41.8,"Tabernacle township, Randolph County, North Carolina",151,93208,37
43.6,47.2,42.4,"Huntsville township, Rockingham County, North Carolina",157,91564,37
41.0,38.5,44.1,"Leaksville township, Rockingham County, North Carolina",157,91752,37
46.4,46.7,46.2,"New Bethel township, Rockingham County, North Carolina",157,92232,37
42.0,41.4,43.3,"Price township, Rockingham County, North Carolina",157,92568,37
42.5,41.6,43.4,"Simpsonville township, Rockingham County, North Carolina",157,92960,37
45.5,42.8,47.5,"Wentworth township, Rockingham County, North Carolina",157,93936,37
44.8,44.3,45.2,"Mayo township, Rockingham County, North Carolina",157,92020,37
45.4,44.5,46.6,"Reidsville township, Rockingham County, North Carolina",157,92652,37
45.6,44.9,46.4,"Madison township, Rockingham County, North Carolina",157,91956,37
41.4,38.9,45.1,"Williamsburg township, Rockingham County, North Carolina",157,94032,37
44.7,42.3,46.9,"Ruffin township, Rockingham County, North Carolina",157,92772,37
48.9,46.2,56.2,"Danbury township, Stokes County, North Carolina",169,90876,37
42.8,41.3,43.6,"Yadkin township, Stokes County, North Carolina",169,94108,37
43.8,42.8,44.0,"Beaver Island township, Stokes County, North Carolina",169,90208,37
49.6,48.6,51.3,"Sauratown township, Stokes County, North Carolina",169,92852,37
54.4,51.6,58.1,"Big Creek township, Stokes County, North Carolina",169,90260,37
44.9,46.7,44.1,"Meadows township, Stokes County, North Carolina",169,92028,37
45.8,44.9,47.0,"Quaker Gap township, Stokes County, North Carolina",169,92588,37
46.9,45.7,48.0,"Peters Creek township, Stokes County, North Carolina",169,92480,37
49.1,47.5,50.5,"Snow Creek township, Stokes County, North Carolina",169,93016,37
40.1,34.6,44.1,"Spring Hill township, Scotland County, North Carolina",165,93080,37
41.9,41.8,42.0,"Williamson township, Scotland County, North Carolina",165,94036,37
40.9,39.8,40.9,"Laurel Hill township, Scotland County, North Carolina",165,91748,37
37.5,36.3,39.2,"Stewartsville township, Scotland County, North Carolina",165,93132,37
41.0,45.2,39.8,"North Fork township, Watauga County, North Carolina",189,92320,37
41.0,41.4,40.4,"Dallas township, Gaston County, North Carolina",071,90872,37
40.3,39.5,41.1,"Riverbend township, Gaston County, North Carolina",071,92692,37
42.2,40.3,44.5,"Cherryville township, Gaston County, North Carolina",071,90644,37
48.5,46.2,49.6,"Madison township, Guilford County, North Carolina",081,91952,37
