B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,name,county,county subdivision,state
902.0,19.0,79.0,32.0,34.0,29.0,30.0,33.0,23.0,34.0,61.0,157.0,110.0,96.0,78.0,62.0,25.0,"Marine township, Madison County, Illinois",119,46877,17
965.0,31.0,31.0,45.0,61.0,35.0,33.0,24.0,43.0,22.0,62.0,115.0,186.0,121.0,62.0,87.0,7.0,"Omphghent township, Madison County, Illinois",119,56068,17
2327.0,464.0,220.0,237.0,277.0,173.0,98.0,196.0,54.0,26.0,157.0,156.0,110.0,49.0,49.0,58.0,3.0,"Venice township, Madison County, Illinois",119,77486,17
3164.0,188.0,124.0,306.0,133.0,161.0,197.0,228.0,222.0,109.0,334.0,320.0,394.0,251.0,89.0,50.0,58.0,"Chouteau township, Madison County, Illinois",119,14260,17
5232.0,153.0,130.0,40.0,136.0,150.0,158.0,300.0,182.0,181.0,465.0,497.0,942.0,728.0,457.0,394.0,319.0,"Jarvis township, Madison County, Illinois",119,38245,17
4913.0,361.0,264.0,140.0,186.0,299.0,360.0,293.0,216.0,240.0,390.0,533.0,734.0,440.0,259.0,152.0,46.0,"Nameoki township, Madison County, Illinois",119,51583,17
11492.0,1095.0,883.0,858.0,566.0,605.0,675.0,585.0,523.0,534.0,1201.0,1188.0,1386.0,632.0,157.0,477.0,127.0,"Granite City township, Madison County, Illinois",119,30939,17
3448.0,171.0,151.0,258.0,158.0,96.0,163.0,272.0,152.0,126.0,301.0,318.0,445.0,344.0,219.0,149.0,125.0,"Helvetia township, Madison County, Illinois",119,33981,17
1556.0,126.0,8.0,27.0,36.0,62.0,104.0,81.0,25.0,86.0,140.0,111.0,256.0,154.0,198.0,63.0,79.0,"Foster township, Madison County, Illinois",119,27182,17
1389.0,10.0,44.0,0.0,9.0,30.0,34.0,54.0,12.0,117.0,123.0,238.0,295.0,131.0,96.0,154.0,42.0,"Moro township, Madison County, Illinois",119,50465,17
1388.0,0.0,29.0,64.0,13.0,49.0,35.0,35.0,32.0,67.0,47.0,55.0,206.0,172.0,125.0,223.0,236.0,"Pin Oak township, Madison County, Illinois",119,60014,17
945.0,15.0,8.0,25.0,13.0,23.0,49.0,46.0,9.0,16.0,68.0,126.0,166.0,145.0,88.0,104.0,44.0,"Hamel township, Madison County, Illinois",119,32421,17
13846.0,544.0,422.0,467.0,525.0,721.0,670.0,343.0,421.0,320.0,1275.0,1319.0,1908.0,1814.0,1033.0,1055.0,1009.0,"Edwardsville township, Madison County, Illinois",119,22710,17
185.0,5.0,4.0,6.0,9.0,8.0,3.0,13.0,6.0,4.0,7.0,24.0,25.0,13.0,36.0,8.0,14.0,"New Douglas township, Madison County, Illinois",119,52428,17
2483.0,81.0,94.0,69.0,67.0,58.0,150.0,122.0,133.0,72.0,133.0,262.0,278.0,354.0,214.0,194.0,202.0,"Saline township, Madison County, Illinois",119,67275,17
269.0,3.0,17.0,2.0,26.0,2.0,4.0,5.0,6.0,0.0,44.0,26.0,39.0,48.0,4.0,3.0,40.0,"Leef township, Madison County, Illinois",119,42652,17
743.0,12.0,53.0,40.0,20.0,57.0,54.0,54.0,24.0,45.0,62.0,91.0,70.0,119.0,9.0,32.0,1.0,"Olive township, Madison County, Illinois",119,55834,17
3597.0,187.0,64.0,187.0,189.0,113.0,137.0,171.0,136.0,94.0,274.0,445.0,431.0,357.0,332.0,238.0,242.0,"Fort Russell township, Madison County, Illinois",119,27130,17
7331.0,223.0,136.0,179.0,313.0,480.0,310.0,260.0,364.0,290.0,602.0,839.0,1227.0,709.0,565.0,456.0,378.0,"Godfrey township, Madison County, Illinois",119,30107,17
1643.0,92.0,30.0,69.0,104.0,69.0,61.0,117.0,64.0,108.0,107.0,82.0,210.0,205.0,82.0,147.0,96.0,"Felix township, Grundy County, Illinois",063,25778,17
150.0,28.0,0.0,10.0,18.0,0.0,22.0,4.0,8.0,0.0,2.0,0.0,46.0,0.0,7.0,5.0,0.0,"Goodfarm township, Grundy County, Illinois",063,30432,17
593.0,31.0,12.0,26.0,13.0,24.0,26.0,19.0,32.0,7.0,73.0,65.0,90.0,50.0,43.0,52.0,30.0,"Mazon township, Grundy County, Illinois",063,47800,17
548.0,11.0,24.0,38.0,25.0,11.0,32.0,17.0,30.0,2.0,34.0,104.0,73.0,30.0,56.0,43.0,18.0,"Alhambra township, Madison County, Illinois",119,00750,17
614.0,0.0,3.0,17.0,40.0,0.0,0.0,33.0,38.0,15.0,26.0,38.0,110.0,128.0,15.0,34.0,117.0,"Goose Lake township, Grundy County, Illinois",063,30549,17
265.0,15.0,6.0,0.0,7.0,13.0,17.0,4.0,20.0,11.0,11.0,18.0,72.0,37.0,14.0,8.0,12.0,"Vienna township, Grundy County, Illinois",063,77850,17
977.0,29.0,19.0,20.0,44.0,30.0,5.0,23.0,14.0,18.0,82.0,35.0,171.0,171.0,116.0,102.0,98.0,"Erienna township, Grundy County, Illinois",063,24400,17
553.0,36.0,20.0,20.0,10.0,27.0,23.0,14.0,34.0,42.0,44.0,38.0,73.0,48.0,39.0,47.0,38.0,"Garfield township, Grundy County, Illinois",063,28677,17
496.0,8.0,7.0,18.0,9.0,24.0,33.0,19.0,15.0,30.0,42.0,63.0,75.0,73.0,39.0,34.0,7.0,"Greenfield township, Grundy County, Illinois",063,31381,17
100.0,5.0,0.0,0.0,7.0,0.0,5.0,0.0,0.0,8.0,0.0,0.0,25.0,12.0,0.0,33.0,5.0,"Norman township, Grundy County, Illinois",063,53286,17
146.0,1.0,0.0,5.0,20.0,0.0,17.0,11.0,10.0,6.0,0.0,13.0,40.0,0.0,13.0,0.0,10.0,"Highland township, Grundy County, Illinois",063,34657,17
2507.0,260.0,55.0,87.0,49.0,102.0,86.0,66.0,42.0,143.0,232.0,194.0,214.0,340.0,234.0,180.0,223.0,"Saratoga township, Grundy County, Illinois",063,67678,17
894.0,20.0,17.0,0.0,15.0,41.0,11.0,38.0,51.0,53.0,82.0,94.0,149.0,113.0,99.0,78.0,33.0,"Wauponsee township, Grundy County, Illinois",063,79345,17
172.0,5.0,8.0,6.0,0.0,4.0,3.0,5.0,3.0,0.0,9.0,20.0,25.0,18.0,21.0,24.0,21.0,"Nettle Creek township, Grundy County, Illinois",063,52038,17
2363.0,106.0,103.0,51.0,77.0,81.0,56.0,71.0,93.0,83.0,244.0,298.0,410.0,251.0,237.0,183.0,19.0,"Braceville township, Grundy County, Illinois",063,07653,17
4175.0,84.0,195.0,66.0,24.0,57.0,156.0,163.0,185.0,103.0,363.0,517.0,747.0,599.0,274.0,531.0,111.0,"Aux Sable township, Grundy County, Illinois",063,03090,17
3268.0,198.0,316.0,296.0,159.0,82.0,252.0,103.0,88.0,112.0,320.0,326.0,517.0,173.0,156.0,124.0,46.0,"Morris township, Grundy County, Illinois",063,50504,17
