B01002_001E,B01002_002E,B01002_003E,name,county,county subdivision,state
43.5,41.7,45.8,"South Windsor town, Hartford County, Connecticut",003,71390,09
41.1,39.2,42.6,"West Hartford town, Hartford County, Connecticut",003,82590,09
43.6,42.3,45.7,"Windsor town, Hartford County, Connecticut",003,87000,09
44.0,41.4,46.8,"Windsor Locks town, Hartford County, Connecticut",003,87070,09
43.7,42.1,44.5,"East Windsor town, Hartford County, Connecticut",003,24800,09
34.4,33.1,36.1,"New Britain town, Hartford County, Connecticut",003,50440,09
40.4,38.6,42.1,"Bristol town, Hartford County, Connecticut",003,08490,09
43.8,42.7,44.9,"Farmington town, Hartford County, Connecticut",003,27600,09
45.0,42.9,46.6,"Southington town, Hartford County, Connecticut",003,70550,09
43.6,44.3,43.2,"East Granby town, Hartford County, Connecticut",003,22070,09
45.1,43.5,47.1,"Avon town, Hartford County, Connecticut",003,02060,09
44.8,42.9,46.3,"Wethersfield town, Hartford County, Connecticut",003,84900,09
48.6,47.6,49.5,"Berlin town, Hartford County, Connecticut",003,04300,09
44.0,44.1,43.7,"Burlington town, Hartford County, Connecticut",003,10100,09
47.7,47.6,47.7,"Granby town, Hartford County, Connecticut",003,32640,09
46.7,46.0,47.0,"Hartland town, Hartford County, Connecticut",003,37140,09
37.9,35.5,40.1,"East Hartford town, Hartford County, Connecticut",003,22630,09
30.9,29.3,32.1,"Hartford town, Hartford County, Connecticut",003,37070,09
35.4,34.2,36.9,"Manchester town, Hartford County, Connecticut",003,44700,09
50.2,45.3,53.6,"Bloomfield town, Hartford County, Connecticut",003,05910,09
45.8,44.5,47.0,"Glastonbury town, Hartford County, Connecticut",003,31240,09
42.1,40.4,44.7,"Suffield town, Hartford County, Connecticut",003,74540,09
44.3,45.0,43.9,"Marlborough town, Hartford County, Connecticut",003,45820,09
44.7,43.5,45.3,"Rocky Hill town, Hartford County, Connecticut",003,65370,09
44.6,45.2,44.3,"Chaplin town, Windham County, Connecticut",015,13810,09
43.9,44.7,43.4,"Canterbury town, Windham County, Connecticut",015,12130,09
43.0,41.7,43.7,"Plainfield town, Windham County, Connecticut",015,59980,09
44.1,41.4,45.9,"Thompson town, Windham County, Connecticut",015,75870,09
46.0,45.6,46.6,"Woodstock town, Windham County, Connecticut",015,88190,09
44.1,44.0,44.3,"Scotland town, Windham County, Connecticut",015,67400,09
44.0,44.0,44.0,"Pomfret town, Windham County, Connecticut",015,61030,09
30.0,28.8,31.7,"Windham town, Windham County, Connecticut",015,86790,09
45.0,37.9,47.7,"Ashford town, Windham County, Connecticut",015,01430,09
44.8,43.3,47.3,"Brooklyn town, Windham County, Connecticut",015,09190,09
41.2,39.9,42.4,"Killingly town, Windham County, Connecticut",015,40500,09
44.3,44.8,43.7,"Putnam town, Windham County, Connecticut",015,62710,09
40.1,38.7,40.3,"Sterling town, Windham County, Connecticut",015,73420,09
48.4,47.6,48.9,"Eastford town, Windham County, Connecticut",015,21860,09
48.9,48.4,49.7,"Hampton town, Windham County, Connecticut",015,36000,09
40.9,40.5,41.4,"Colchester town, New London County, Connecticut",011,15910,09
40.5,38.3,43.4,"Ledyard town, New London County, Connecticut",011,42600,09
30.9,28.9,33.6,"New London town, New London County, Connecticut",011,52350,09
47.1,46.9,47.3,"Bozrah town, New London County, Connecticut",011,06820,09
47.0,47.9,46.5,"Preston town, New London County, Connecticut",011,62150,09
