B25003I_001E,B25003I_002E,B25003I_003E,name,county,county subdivision,state
4.0,4.0,0.0,"Oakdale village, Monroe County, Wisconsin",081,58850,55
0.0,0.0,0.0,"Glendale town, Monroe County, Wisconsin",081,29450,55
83.0,26.0,57.0,"Sparta city, Monroe County, Wisconsin",081,75325,55
0.0,0.0,0.0,"Elmwood village, Pierce County, Wisconsin",093,23700,55
0.0,0.0,0.0,"Trenton town, Pierce County, Wisconsin",093,80550,55
6.0,0.0,6.0,"Gilman town, Pierce County, Wisconsin",093,29150,55
3.0,2.0,1.0,"Hartland town, Pierce County, Wisconsin",093,33050,55
13.0,13.0,0.0,"Maiden Rock town, Pierce County, Wisconsin",093,48200,55
0.0,0.0,0.0,"Trimbelle town, Pierce County, Wisconsin",093,80700,55
3.0,3.0,0.0,"Bay City village, Pierce County, Wisconsin",093,05325,55
1.0,1.0,0.0,"Isabelle town, Pierce County, Wisconsin",093,37350,55
2.0,2.0,0.0,"Diamond Bluff town, Pierce County, Wisconsin",093,20150,55
0.0,0.0,0.0,"Ellsworth town, Pierce County, Wisconsin",093,23550,55
0.0,0.0,0.0,"Aniwa village, Shawano County, Wisconsin",115,02075,55
11.0,4.0,7.0,"Bowler village, Shawano County, Wisconsin",115,09025,55
2.0,2.0,0.0,"Hartland town, Shawano County, Wisconsin",115,33075,55
8.0,0.0,8.0,"Wittenberg town, Shawano County, Wisconsin",115,88350,55
17.0,17.0,0.0,"Belle Plaine town, Shawano County, Wisconsin",115,06275,55
0.0,0.0,0.0,"Fairbanks town, Shawano County, Wisconsin",115,24775,55
1.0,1.0,0.0,"Germania town, Shawano County, Wisconsin",115,28825,55
2.0,2.0,0.0,"Herman town, Shawano County, Wisconsin",115,34025,55
3.0,0.0,3.0,"Richmond town, Shawano County, Wisconsin",115,67675,55
27.0,27.0,0.0,"Washington town, Shawano County, Wisconsin",115,83725,55
5.0,0.0,5.0,"Red Springs town, Shawano County, Wisconsin",115,66750,55
12.0,0.0,12.0,"Aniwa town, Shawano County, Wisconsin",115,02100,55
8.0,0.0,8.0,"Birnamwood village, Shawano County, Wisconsin",115,07600,55
