B25003H_001E,B25003H_002E,B25003H_003E,name,county,county subdivision,state
138.0,134.0,4.0,"District 2, East Carroll Parish, Louisiana",035,94249,22
46.0,46.0,0.0,"District 3, East Carroll Parish, Louisiana",035,94429,22
116.0,59.0,57.0,"District 5, East Carroll Parish, Louisiana",035,94807,22
0.0,0.0,0.0,"District 8, East Carroll Parish, Louisiana",035,95269,22
6.0,0.0,6.0,"District 6, East Carroll Parish, Louisiana",035,94975,22
7.0,7.0,0.0,"District 7, East Carroll Parish, Louisiana",035,95128,22
3359.0,3049.0,310.0,"District 11, Ascension Parish, Louisiana",005,95544,22
959.0,836.0,123.0,"District 1, Ascension Parish, Louisiana",005,94006,22
1240.0,824.0,416.0,"District 3, Ascension Parish, Louisiana",005,94387,22
3626.0,3172.0,454.0,"District 5, Ascension Parish, Louisiana",005,94765,22
4230.0,3433.0,797.0,"District 8, Ascension Parish, Louisiana",005,95244,22
2402.0,2077.0,325.0,"District 2, Ascension Parish, Louisiana",005,94206,22
3481.0,3075.0,406.0,"District 4, Ascension Parish, Louisiana",005,94572,22
3128.0,2650.0,478.0,"District 6, Ascension Parish, Louisiana",005,94938,22
2008.0,1599.0,409.0,"District 10, Ascension Parish, Louisiana",005,95466,22
3634.0,3242.0,392.0,"District 7, Ascension Parish, Louisiana",005,95097,22
2704.0,2372.0,332.0,"District 9, Ascension Parish, Louisiana",005,95361,22
11521.0,8939.0,2582.0,"District F, Lafayette Parish, Louisiana",055,95812,22
5446.0,4223.0,1223.0,"District A, Lafayette Parish, Louisiana",055,95737,22
6882.0,3650.0,3232.0,"District E, Lafayette Parish, Louisiana",055,95797,22
19912.0,15826.0,4086.0,"District G, Lafayette Parish, Louisiana",055,95827,22
962.0,708.0,254.0,"District 4, Grant Parish, Louisiana",043,94618,22
213.0,129.0,84.0,"District 3, Grant Parish, Louisiana",043,94441,22
23942.0,16612.0,7330.0,"District 2, Jefferson Parish, Louisiana",051,94273,22
6288.0,5195.0,1093.0,"District 3, Jefferson Parish, Louisiana",051,94453,22
23151.0,18370.0,4781.0,"District 4, Jefferson Parish, Louisiana",051,94630,22
16003.0,12774.0,3229.0,"District 1, Jefferson Parish, Louisiana",051,94069,22
30596.0,20689.0,9907.0,"District 5, Jefferson Parish, Louisiana",051,94829,22
817.0,713.0,104.0,"District 1, Beauregard Parish, Louisiana",011,94015,22
451.0,293.0,158.0,"District 3A, Beauregard Parish, Louisiana",011,94552,22
660.0,470.0,190.0,"District 3B, Beauregard Parish, Louisiana",011,94555,22
698.0,399.0,299.0,"District 3D, Beauregard Parish, Louisiana",011,94561,22
1022.0,767.0,255.0,"District 3E, Beauregard Parish, Louisiana",011,94564,22
1978.0,1732.0,246.0,"District 4A, Beauregard Parish, Louisiana",011,94732,22
1080.0,909.0,171.0,"District 2, Beauregard Parish, Louisiana",011,94213,22
1629.0,1426.0,203.0,"District 5, Beauregard Parish, Louisiana",011,94774,22
1653.0,1346.0,307.0,"District 4B, Beauregard Parish, Louisiana",011,94744,22
989.0,743.0,246.0,"District 3C, Beauregard Parish, Louisiana",011,94558,22
461.0,401.0,60.0,"District 4, Bienville Parish, Louisiana",013,94579,22
695.0,590.0,105.0,"District 5, Bienville Parish, Louisiana",013,94777,22
181.0,168.0,13.0,"District 2, Bienville Parish, Louisiana",013,94216,22
774.0,599.0,175.0,"District 6, Bienville Parish, Louisiana",013,94945,22
393.0,363.0,30.0,"District 7, Bienville Parish, Louisiana",013,95104,22
