B07003_001E,B07003_002E,B07003_003E,B07003_004E,B07003_005E,B07003_006E,B07003_007E,B07003_008E,B07003_009E,B07003_010E,B07003_011E,B07003_012E,B07003_013E,B07003_014E,B07003_015E,B07003_016E,B07003_017E,B07003_018E,name,county,county subdivision,state
5.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Rose Hill township, McHenry County, North Dakota",049,68310,38
36.0,23.0,13.0,36.0,23.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Spring Grove township, McHenry County, North Dakota",049,75020,38
44.0,23.0,21.0,42.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,"Bjornson township, McHenry County, North Dakota",049,07300,38
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Falsen township, McHenry County, North Dakota",049,25620,38
70.0,51.0,19.0,56.0,37.0,19.0,8.0,8.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Hendrickson township, McHenry County, North Dakota",049,37260,38
91.0,44.0,47.0,91.0,44.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Northeast McHenry UT, McHenry County, North Dakota",049,57727,38
53.0,19.0,34.0,42.0,19.0,23.0,0.0,0.0,0.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,"Schiller township, McHenry County, North Dakota",049,71180,38
61.0,41.0,20.0,61.0,41.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Wagar township, McHenry County, North Dakota",049,82580,38
10.0,5.0,5.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Gilmore township, McHenry County, North Dakota",049,30300,38
1278.0,574.0,704.0,1051.0,470.0,581.0,50.0,20.0,30.0,88.0,29.0,59.0,89.0,55.0,34.0,0.0,0.0,0.0,"Velva city, McHenry County, North Dakota",049,81620,38
280.0,140.0,140.0,251.0,122.0,129.0,5.0,2.0,3.0,22.0,15.0,7.0,2.0,1.0,1.0,0.0,0.0,0.0,"Anamoose city, McHenry County, North Dakota",049,02220,38
16.0,8.0,8.0,16.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Balfour city, McHenry County, North Dakota",049,04460,38
8.0,4.0,4.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Bergen city, McHenry County, North Dakota",049,06180,38
68.0,33.0,35.0,68.0,33.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Deering township, McHenry County, North Dakota",049,18660,38
52.0,30.0,22.0,50.0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,"Egg Creek township, McHenry County, North Dakota",049,22580,38
80.0,53.0,27.0,72.0,53.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,"Granville township, McHenry County, North Dakota",049,32700,38
28.0,10.0,18.0,28.0,10.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Land township, McHenry County, North Dakota",049,44660,38
116.0,40.0,76.0,116.0,40.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Lebanon township, McHenry County, North Dakota",049,45500,38
29.0,12.0,17.0,25.0,10.0,15.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,"Meadow township, McHenry County, North Dakota",049,51660,38
140.0,76.0,64.0,139.0,75.0,64.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Norwich township, McHenry County, North Dakota",049,58660,38
70.0,38.0,32.0,70.0,38.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Pratt township, McHenry County, North Dakota",049,64420,38
547.0,299.0,248.0,474.0,244.0,230.0,27.0,19.0,8.0,43.0,34.0,9.0,3.0,2.0,1.0,0.0,0.0,0.0,"Towner city, McHenry County, North Dakota",049,79420,38
131.0,78.0,53.0,108.0,72.0,36.0,0.0,0.0,0.0,23.0,6.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,"Velva township, McHenry County, North Dakota",049,81660,38
34.0,10.0,24.0,34.0,10.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Willow Creek township, McHenry County, North Dakota",049,86420,38
71.0,41.0,30.0,61.0,34.0,27.0,0.0,0.0,0.0,2.0,2.0,0.0,6.0,3.0,3.0,2.0,2.0,0.0,"Karlsruhe city, McHenry County, North Dakota",049,41380,38
11.0,5.0,6.0,11.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Kief city, McHenry County, North Dakota",049,42660,38
45.0,20.0,25.0,45.0,20.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Normal township, McHenry County, North Dakota",049,57500,38
107.0,63.0,44.0,107.0,63.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Brown township, McHenry County, North Dakota",049,09860,38
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Mouse River township, McHenry County, North Dakota",049,54980,38
120.0,64.0,56.0,91.0,53.0,38.0,28.0,11.0,17.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"Deering city, McHenry County, North Dakota",049,18620,38
73.0,35.0,38.0,73.0,35.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Kottke Valley township, McHenry County, North Dakota",049,43460,38
32.0,10.0,22.0,32.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Layton township, McHenry County, North Dakota",049,45380,38
28.0,14.0,14.0,23.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,"Sauter township, Walsh County, North Dakota",099,70940,38
45.0,25.0,20.0,45.0,25.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Medford township, Walsh County, North Dakota",099,51780,38
175.0,99.0,76.0,175.0,99.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Oakwood township, Walsh County, North Dakota",099,58980,38
342.0,180.0,162.0,342.0,180.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"North Creel township, Ramsey County, North Dakota",071,57722,38
61.0,52.0,9.0,30.0,21.0,9.0,13.0,13.0,0.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,"Liberty UT, Kidder County, North Dakota",043,46320,38
23.0,14.0,9.0,23.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Central Hettinger UT, Hettinger County, North Dakota",041,13282,38
28.0,14.0,14.0,28.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Harriet-Lein township, Burleigh County, North Dakota",015,35670,38
156.0,122.0,34.0,130.0,96.0,34.0,4.0,4.0,0.0,4.0,4.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,"Tri township, McKenzie County, North Dakota",053,79520,38
21.0,11.0,10.0,21.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Vesta township, Walsh County, North Dakota",099,81980,38
40.0,25.0,15.0,40.0,25.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"St. Andrews township, Walsh County, North Dakota",099,69620,38
102.0,56.0,46.0,102.0,56.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Golden township, Walsh County, North Dakota",099,31060,38
