B23025_001E,B23025_002E,B23025_003E,B23025_004E,B23025_005E,B23025_006E,B23025_007E,name,county,county subdivision,state
584.0,403.0,403.0,377.0,26.0,0.0,181.0,"West Fairlee town, Orange County, Vermont",017,79975,50
2792.0,1965.0,1965.0,1924.0,41.0,0.0,827.0,"Williamstown town, Orange County, Vermont",017,84175,50
854.0,565.0,565.0,554.0,11.0,0.0,289.0,"Topsham town, Orange County, Vermont",017,73075,50
880.0,563.0,563.0,543.0,20.0,0.0,317.0,"Orange town, Orange County, Vermont",017,53425,50
986.0,648.0,648.0,608.0,40.0,0.0,338.0,"Washington town, Orange County, Vermont",017,76750,50
1200.0,749.0,749.0,742.0,7.0,0.0,451.0,"Brookfield town, Orange County, Vermont",017,09325,50
890.0,616.0,616.0,613.0,3.0,0.0,274.0,"Fairlee town, Orange County, Vermont",017,25675,50
2114.0,1552.0,1552.0,1504.0,48.0,0.0,562.0,"Thetford town, Orange County, Vermont",017,72400,50
1115.0,699.0,699.0,689.0,10.0,0.0,416.0,"Corinth town, Orange County, Vermont",017,15700,50
4022.0,2733.0,2733.0,2542.0,191.0,0.0,1289.0,"Randolph town, Orange County, Vermont",017,58075,50
934.0,654.0,654.0,637.0,17.0,0.0,280.0,"Strafford town, Orange County, Vermont",017,70675,50
14689.0,10418.0,10401.0,10142.0,259.0,17.0,4271.0,"Colchester town, Chittenden County, Vermont",007,14875,50
16639.0,12621.0,12581.0,12113.0,468.0,40.0,4018.0,"Essex town, Chittenden County, Vermont",007,24175,50
8686.0,6601.0,6581.0,6148.0,433.0,20.0,2085.0,"Milton town, Chittenden County, Vermont",007,45250,50
6251.0,4071.0,4054.0,3807.0,247.0,17.0,2180.0,"Winooski city, Chittenden County, Vermont",007,85150,50
22.0,22.0,22.0,22.0,0.0,0.0,0.0,"Buels gore, Chittenden County, Vermont",007,10300,50
37774.0,24661.0,24638.0,23207.0,1431.0,23.0,13113.0,"Burlington city, Chittenden County, Vermont",007,10675,50
572.0,379.0,379.0,353.0,26.0,0.0,193.0,"St. George town, Chittenden County, Vermont",007,62050,50
3992.0,3104.0,3101.0,3066.0,35.0,3.0,888.0,"Jericho town, Chittenden County, Vermont",007,36700,50
16005.0,10706.0,10666.0,10342.0,324.0,40.0,5299.0,"South Burlington city, Chittenden County, Vermont",007,66175,50
1104.0,917.0,907.0,880.0,27.0,10.0,187.0,"Bolton town, Chittenden County, Vermont",007,06550,50
3402.0,2414.0,2414.0,2375.0,39.0,0.0,988.0,"Hinesburg town, Chittenden County, Vermont",007,33475,50
6255.0,4058.0,4058.0,3983.0,75.0,0.0,2197.0,"Shelburne town, Chittenden County, Vermont",007,64300,50
3085.0,2052.0,2052.0,2004.0,48.0,0.0,1033.0,"Charlotte town, Chittenden County, Vermont",007,13300,50
1610.0,1239.0,1227.0,1190.0,37.0,12.0,371.0,"Westford town, Chittenden County, Vermont",007,80350,50
1567.0,1208.0,1203.0,1169.0,34.0,5.0,359.0,"Huntington town, Chittenden County, Vermont",007,34600,50
3303.0,2589.0,2569.0,2547.0,22.0,20.0,714.0,"Richmond town, Chittenden County, Vermont",007,59275,50
2564.0,1893.0,1893.0,1836.0,57.0,0.0,671.0,"Underhill town, Chittenden County, Vermont",007,73975,50
7475.0,5135.0,5135.0,4870.0,265.0,0.0,2340.0,"Williston town, Chittenden County, Vermont",007,84475,50
335.0,237.0,237.0,228.0,9.0,0.0,98.0,"Belvidere town, Lamoille County, Vermont",015,04375,50
3644.0,2365.0,2365.0,2325.0,40.0,0.0,1279.0,"Stowe town, Lamoille County, Vermont",015,70525,50
4491.0,2911.0,2911.0,2747.0,164.0,0.0,1580.0,"Morristown town, Lamoille County, Vermont",015,46675,50
581.0,383.0,383.0,368.0,15.0,0.0,198.0,"Waterville town, Lamoille County, Vermont",015,77425,50
3116.0,2380.0,2378.0,2319.0,59.0,2.0,736.0,"Cambridge town, Lamoille County, Vermont",015,11500,50
1285.0,948.0,948.0,908.0,40.0,0.0,337.0,"Wolcott town, Lamoille County, Vermont",015,85375,50
999.0,714.0,714.0,659.0,55.0,0.0,285.0,"Eden town, Lamoille County, Vermont",015,23500,50
3001.0,1927.0,1927.0,1847.0,80.0,0.0,1074.0,"Johnson town, Lamoille County, Vermont",015,37075,50
704.0,514.0,514.0,478.0,36.0,0.0,190.0,"Elmore town, Lamoille County, Vermont",015,23725,50
2323.0,1586.0,1586.0,1558.0,28.0,0.0,737.0,"Hyde Park town, Lamoille County, Vermont",015,35050,50
1753.0,1038.0,1038.0,992.0,46.0,0.0,715.0,"Ludlow town, Windsor County, Vermont",027,41275,50
1143.0,727.0,727.0,700.0,27.0,0.0,416.0,"Cavendish town, Windsor County, Vermont",027,12250,50
2247.0,1444.0,1444.0,1381.0,63.0,0.0,803.0,"Royalton town, Windsor County, Vermont",027,60850,50
463.0,270.0,270.0,265.0,5.0,0.0,193.0,"Weston town, Windsor County, Vermont",027,82000,50
2611.0,1748.0,1748.0,1708.0,40.0,0.0,863.0,"Woodstock town, Windsor County, Vermont",027,85975,50
467.0,305.0,305.0,295.0,10.0,0.0,162.0,"Andover town, Windsor County, Vermont",027,01300,50
7661.0,4201.0,4201.0,3954.0,247.0,0.0,3460.0,"Springfield town, Windsor County, Vermont",027,69550,50
2324.0,1457.0,1457.0,1368.0,89.0,0.0,867.0,"Weathersfield town, Windsor County, Vermont",027,77500,50
624.0,452.0,452.0,438.0,14.0,0.0,172.0,"Stockbridge town, Windsor County, Vermont",027,70375,50
2635.0,1833.0,1817.0,1735.0,82.0,16.0,802.0,"Norwich town, Windsor County, Vermont",027,52900,50
879.0,550.0,550.0,540.0,10.0,0.0,329.0,"Pomfret town, Windsor County, Vermont",027,56350,50
1173.0,773.0,773.0,748.0,25.0,0.0,400.0,"Sharon town, Windsor County, Vermont",027,63775,50
853.0,596.0,596.0,575.0,21.0,0.0,257.0,"West Windsor town, Windsor County, Vermont",027,83050,50
233.0,173.0,173.0,171.0,2.0,0.0,60.0,"Baltimore town, Windsor County, Vermont",027,02575,50
643.0,372.0,372.0,365.0,7.0,0.0,271.0,"Barnard town, Windsor County, Vermont",027,02725,50
2810.0,1870.0,1870.0,1826.0,44.0,0.0,940.0,"Hartland town, Windsor County, Vermont",027,32425,50
8126.0,5421.0,5421.0,5115.0,306.0,0.0,2705.0,"Hartford town, Windsor County, Vermont",027,32275,50
484.0,337.0,337.0,328.0,9.0,0.0,147.0,"Reading town, Windsor County, Vermont",027,58375,50
2938.0,1760.0,1760.0,1710.0,50.0,0.0,1178.0,"Windsor town, Windsor County, Vermont",027,84925,50
444.0,266.0,266.0,261.0,5.0,0.0,178.0,"Plymouth town, Windsor County, Vermont",027,56050,50
790.0,551.0,551.0,511.0,40.0,0.0,239.0,"Bridgewater town, Windsor County, Vermont",027,08275,50
2508.0,1442.0,1442.0,1424.0,18.0,0.0,1066.0,"Chester town, Windsor County, Vermont",027,13675,50
918.0,580.0,580.0,538.0,42.0,0.0,338.0,"Rochester town, Windsor County, Vermont",027,60100,50
1782.0,1264.0,1264.0,1151.0,113.0,0.0,518.0,"Bethel town, Windsor County, Vermont",027,05800,50
1149.0,884.0,878.0,861.0,17.0,6.0,265.0,"Fletcher town, Franklin County, Vermont",011,26500,50
984.0,702.0,702.0,635.0,67.0,0.0,282.0,"Bakersfield town, Franklin County, Vermont",011,02500,50
3530.0,2763.0,2763.0,2668.0,95.0,0.0,767.0,"Fairfax town, Franklin County, Vermont",011,24925,50
3792.0,2791.0,2783.0,2708.0,75.0,8.0,1001.0,"Georgia town, Franklin County, Vermont",011,27700,50
5265.0,3582.0,3577.0,3487.0,90.0,5.0,1683.0,"Swanton town, Franklin County, Vermont",011,71725,50
5193.0,3293.0,3293.0,3066.0,227.0,0.0,1900.0,"St. Albans town, Franklin County, Vermont",011,61750,50
1297.0,945.0,945.0,893.0,52.0,0.0,352.0,"Berkshire town, Franklin County, Vermont",011,05425,50
5418.0,3719.0,3699.0,3457.0,242.0,20.0,1699.0,"St. Albans city, Franklin County, Vermont",011,61675,50
1132.0,838.0,838.0,800.0,38.0,0.0,294.0,"Franklin town, Franklin County, Vermont",011,27100,50
818.0,505.0,505.0,483.0,22.0,0.0,313.0,"Montgomery town, Franklin County, Vermont",011,45850,50
1840.0,1387.0,1382.0,1366.0,16.0,5.0,453.0,"Sheldon town, Franklin County, Vermont",011,64600,50
2928.0,1946.0,1916.0,1892.0,24.0,30.0,982.0,"Highgate town, Franklin County, Vermont",011,33025,50
1970.0,1172.0,1172.0,1053.0,119.0,0.0,798.0,"Richford town, Franklin County, Vermont",011,59125,50
1563.0,1162.0,1155.0,1122.0,33.0,7.0,401.0,"Fairfield town, Franklin County, Vermont",011,25225,50
2379.0,1319.0,1319.0,1276.0,43.0,0.0,1060.0,"Hardwick town, Caledonia County, Vermont",005,31825,50
804.0,538.0,538.0,511.0,27.0,0.0,266.0,"Sutton town, Caledonia County, Vermont",005,71575,50
1881.0,1211.0,1211.0,1190.0,21.0,0.0,670.0,"Danville town, Caledonia County, Vermont",005,17125,50
819.0,522.0,522.0,497.0,25.0,0.0,297.0,"Ryegate town, Caledonia County, Vermont",005,61525,50
6086.0,3501.0,3501.0,3350.0,151.0,0.0,2585.0,"St. Johnsbury town, Caledonia County, Vermont",005,62200,50
