B19001I_001E,B19001I_002E,B19001I_003E,B19001I_004E,B19001I_005E,B19001I_006E,B19001I_007E,B19001I_008E,B19001I_009E,B19001I_010E,B19001I_011E,B19001I_012E,B19001I_013E,B19001I_014E,B19001I_015E,B19001I_016E,B19001I_017E,name,county,county subdivision,state
63.0,6.0,18.0,8.0,2.0,6.0,0.0,19.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,"Granite CCD, Greer County, Oklahoma",055,91196,40
217.0,22.0,6.0,8.0,15.0,8.0,6.0,32.0,0.0,0.0,49.0,52.0,14.0,0.0,0.0,5.0,0.0,"Kingfisher CCD, Kingfisher County, Oklahoma",073,91586,40
386.0,32.0,8.0,21.0,12.0,26.0,5.0,0.0,12.0,54.0,59.0,88.0,0.0,37.0,0.0,0.0,32.0,"Hennessey CCD, Kingfisher County, Oklahoma",073,91326,40
11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,"Okarche-Cashion CCD, Kingfisher County, Oklahoma",073,92379,40
477.0,37.0,29.0,15.0,23.0,11.0,32.0,8.0,37.0,29.0,27.0,144.0,79.0,0.0,1.0,0.0,5.0,"Purcell CCD, McClain County, Oklahoma",087,92626,40
12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,"East McClain CCD, McClain County, Oklahoma",087,90929,40
112.0,0.0,0.0,10.0,11.0,0.0,10.0,12.0,0.0,27.0,17.0,6.0,0.0,19.0,0.0,0.0,0.0,"Checotah CCD, McIntosh County, Oklahoma",091,90520,40
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Hitchita-Pierce CCD, McIntosh County, Oklahoma",091,91352,40
28.0,8.0,0.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,"Eufaula CCD, McIntosh County, Oklahoma",091,91079,40
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Hanna CCD, McIntosh County, Oklahoma",091,91248,40
100.0,7.0,20.0,24.0,0.0,9.0,8.0,8.0,2.0,0.0,12.0,0.0,8.0,0.0,0.0,2.0,0.0,"South Marshall CCD, Marshall County, Oklahoma",095,93081,40
635.0,6.0,11.0,19.0,44.0,17.0,31.0,78.0,67.0,64.0,75.0,105.0,47.0,34.0,3.0,34.0,0.0,"North Marshall CCD, Marshall County, Oklahoma",095,92210,40
19.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,"West Murray CCD, Murray County, Oklahoma",099,93770,40
189.0,33.0,0.0,0.0,17.0,0.0,0.0,23.0,0.0,0.0,18.0,78.0,12.0,0.0,8.0,0.0,0.0,"East Murray CCD, Murray County, Oklahoma",099,90962,40
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Billings CCD, Noble County, Oklahoma",103,90234,40
38.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,"Perry CCD, Noble County, Oklahoma",103,92522,40
30.0,0.0,3.0,0.0,0.0,12.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,"East Noble CCD, Noble County, Oklahoma",103,90975,40
13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Nowata CCD, Nowata County, Oklahoma",105,92353,40
4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"South Coffeyville-Wann CCD, Nowata County, Oklahoma",105,92912,40
20.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Lenapah-Delaware CCD, Nowata County, Oklahoma",105,91664,40
22.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,6.0,1.0,2.0,1.0,0.0,0.0,0.0,"Wyandotte CCD, Ottawa County, Oklahoma",115,93913,40
314.0,39.0,11.0,44.0,44.0,18.0,25.0,37.0,18.0,18.0,27.0,19.0,10.0,4.0,0.0,0.0,0.0,"Miami CCD, Ottawa County, Oklahoma",115,91846,40
19.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,3.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,"Afton-Fairland CCD, Ottawa County, Oklahoma",115,90039,40
29.0,22.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,"Chelsea CCD, Rogers County, Oklahoma",131,90533,40
570.0,51.0,8.0,20.0,50.0,8.0,25.0,3.0,42.0,32.0,63.0,86.0,61.0,23.0,44.0,33.0,21.0,"Claremore CCD, Rogers County, Oklahoma",131,90585,40
24.0,0.0,6.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,"Inola CCD, Rogers County, Oklahoma",131,91482,40
417.0,5.0,6.0,0.0,23.0,22.0,15.0,15.0,29.0,35.0,5.0,46.0,65.0,15.0,29.0,85.0,22.0,"Catoosa CCD, Rogers County, Oklahoma",131,90468,40
75.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,19.0,7.0,4.0,36.0,0.0,0.0,0.0,0.0,"Roland CCD, Sequoyah County, Oklahoma",135,92678,40
70.0,9.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0,5.0,8.0,0.0,0.0,6.0,0.0,0.0,0.0,"Muldrow CCD, Sequoyah County, Oklahoma",135,91911,40
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"Sallisaw North CCD, Sequoyah County, Oklahoma",135,92730,40
64.0,27.0,0.0,0.0,11.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,21.0,0.0,0.0,0.0,"Vian CCD, Sequoyah County, Oklahoma",135,93445,40
113.0,40.0,0.0,36.0,0.0,12.0,0.0,3.0,3.0,12.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,"Sallisaw CCD, Sequoyah County, Oklahoma",135,92717,40
