B03002_001E,B03002_003E,B03002_004E,B03002_005E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_012E,name,county,county subdivision,state
109250.0,42046.0,19555.0,17.0,2873.0,41.0,893.0,3226.0,40599.0,"Waterbury town, New Haven County, Connecticut",009,80070,09
23877.0,19746.0,844.0,0.0,1729.0,0.0,24.0,299.0,1235.0,"North Haven town, New Haven County, Connecticut",009,54870,09
53867.0,45032.0,1553.0,9.0,2810.0,0.0,92.0,751.0,3620.0,"Milford town, New Haven County, Connecticut",009,47535,09
5526.0,5316.0,23.0,0.0,107.0,0.0,0.0,27.0,53.0,"Harwinton town, Litchfield County, Connecticut",005,37280,09
2367.0,2256.0,0.0,0.0,13.0,0.0,0.0,21.0,77.0,"Morris town, Litchfield County, Connecticut",005,49460,09
11888.0,10708.0,258.0,44.0,12.0,0.0,14.0,144.0,708.0,"Plymouth town, Litchfield County, Connecticut",005,60750,09
2733.0,2520.0,30.0,0.0,47.0,0.0,0.0,111.0,25.0,"Sharon town, Litchfield County, Connecticut",005,67960,09
7668.0,7342.0,38.0,0.0,56.0,0.0,7.0,39.0,186.0,"Thomaston town, Litchfield County, Connecticut",005,75730,09
3658.0,3409.0,37.0,0.0,21.0,0.0,2.0,18.0,171.0,"Salisbury town, Litchfield County, Connecticut",005,66420,09
35078.0,28928.0,879.0,12.0,1232.0,0.0,16.0,632.0,3379.0,"Torrington town, Litchfield County, Connecticut",005,76570,09
1364.0,1212.0,0.0,0.0,24.0,0.0,0.0,34.0,94.0,"Cornwall town, Litchfield County, Connecticut",005,17240,09
2914.0,2652.0,23.0,0.0,11.0,0.0,21.0,26.0,181.0,"Goshen town, Litchfield County, Connecticut",005,32290,09
27380.0,23483.0,342.0,0.0,809.0,0.0,26.0,436.0,2284.0,"New Milford town, Litchfield County, Connecticut",005,52630,09
21976.0,20235.0,422.0,0.0,302.0,0.0,32.0,127.0,858.0,"Watertown town, Litchfield County, Connecticut",005,80490,09
1471.0,1429.0,0.0,0.0,12.0,0.0,0.0,0.0,30.0,"Colebrook town, Litchfield County, Connecticut",005,16050,09
9686.0,8712.0,35.0,31.0,378.0,0.0,0.0,48.0,482.0,"Woodbury town, Litchfield County, Connecticut",005,87910,09
1681.0,1528.0,65.0,0.0,13.0,0.0,2.0,32.0,41.0,"Bridgewater town, Litchfield County, Connecticut",005,08210,09
1128.0,1067.0,35.0,0.0,3.0,0.0,0.0,13.0,10.0,"Canaan town, Litchfield County, Connecticut",005,10940,09
3490.0,3357.0,34.0,0.0,11.0,0.0,0.0,56.0,32.0,"Bethlehem town, Litchfield County, Connecticut",005,04930,09
8252.0,7636.0,55.0,16.0,83.0,0.0,0.0,79.0,383.0,"Litchfield town, Litchfield County, Connecticut",005,43370,09
1467.0,1360.0,0.0,0.0,21.0,0.0,0.0,21.0,65.0,"Warren town, Litchfield County, Connecticut",005,79510,09
1442.0,1365.0,3.0,0.0,5.0,0.0,0.0,18.0,51.0,"Norfolk town, Litchfield County, Connecticut",005,53470,09
3331.0,3075.0,25.0,0.0,8.0,0.0,0.0,7.0,216.0,"North Canaan town, Litchfield County, Connecticut",005,54030,09
2231.0,2132.0,0.0,0.0,41.0,6.0,0.0,0.0,52.0,"Roxbury town, Litchfield County, Connecticut",005,65930,09
10894.0,9648.0,239.0,144.0,83.0,0.0,0.0,151.0,629.0,"Winchester town, Litchfield County, Connecticut",005,86440,09
6794.0,6446.0,54.0,20.0,0.0,0.0,0.0,18.0,256.0,"New Hartford town, Litchfield County, Connecticut",005,51350,09
3489.0,3186.0,51.0,0.0,81.0,0.0,9.0,15.0,147.0,"Washington town, Litchfield County, Connecticut",005,79720,09
3693.0,3549.0,2.0,0.0,83.0,0.0,21.0,10.0,28.0,"Barkhamsted town, Litchfield County, Connecticut",005,02760,09
10339.0,8882.0,209.0,0.0,446.0,0.0,11.0,160.0,631.0,"Canton town, Hartford County, Connecticut",003,12270,09
44608.0,35666.0,2501.0,269.0,1132.0,0.0,56.0,1149.0,3835.0,"Enfield town, Hartford County, Connecticut",003,25990,09
30603.0,23630.0,1504.0,75.0,1800.0,0.0,94.0,508.0,2992.0,"Newington town, Hartford County, Connecticut",003,52140,09
17805.0,14859.0,645.0,19.0,373.0,0.0,0.0,224.0,1685.0,"Plainville town, Hartford County, Connecticut",003,60120,09
24307.0,21243.0,487.0,214.0,921.0,18.0,10.0,236.0,1178.0,"Simsbury town, Hartford County, Connecticut",003,68940,09
25802.0,20736.0,693.0,29.0,2627.0,0.0,0.0,324.0,1393.0,"South Windsor town, Hartford County, Connecticut",003,71390,09
63360.0,46363.0,3888.0,79.0,4784.0,0.0,374.0,1184.0,6688.0,"West Hartford town, Hartford County, Connecticut",003,82590,09
29037.0,13998.0,10278.0,10.0,1416.0,17.0,79.0,445.0,2794.0,"Windsor town, Hartford County, Connecticut",003,87000,09
12563.0,10107.0,795.0,27.0,622.0,0.0,36.0,276.0,700.0,"Windsor Locks town, Hartford County, Connecticut",003,87070,09
11409.0,8764.0,1090.0,1.0,555.0,0.0,1.0,259.0,739.0,"East Windsor town, Hartford County, Connecticut",003,24800,09
73069.0,30917.0,8369.0,40.0,2177.0,117.0,128.0,1449.0,29872.0,"New Britain town, Hartford County, Connecticut",003,50440,09
