B03002_001E,B03002_003E,B03002_004E,B03002_005E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_012E,name,county,county subdivision,state
1014.0,426.0,73.0,300.0,37.0,36.0,0.0,42.0,100.0,"West End CCD, Jefferson County, Washington",031,93728,53
110501.0,79348.0,4589.0,523.0,7520.0,1094.0,117.0,8541.0,8769.0,"Bremerton CCD, Kitsap County, Washington",035,90288,53
13009.0,10688.0,16.0,612.0,246.0,2.0,0.0,999.0,446.0,"Kingston CCD, Kitsap County, Washington",035,91488,53
44588.0,35933.0,379.0,586.0,1281.0,199.0,11.0,2253.0,3946.0,"Poulsbo CCD, Kitsap County, Washington",035,92624,53
23689.0,20631.0,227.0,15.0,803.0,22.0,75.0,985.0,931.0,"Bainbridge Island CCD, Kitsap County, Washington",035,90120,53
67116.0,53898.0,1196.0,664.0,2396.0,595.0,60.0,3445.0,4862.0,"Port Orchard CCD, Kitsap County, Washington",035,92608,53
67062.0,50784.0,1239.0,1514.0,3682.0,281.0,125.0,3249.0,6188.0,"Enumclaw Plateau CCD, King County, Washington",033,91056,53
68498.0,51711.0,2271.0,191.0,5793.0,404.0,82.0,3542.0,4504.0,"Tahoma-Maple Valley CCD, King County, Washington",033,93392,53
1067829.0,635273.0,87888.0,5730.0,163343.0,8695.0,2351.0,60158.0,104391.0,"Seattle CCD, King County, Washington",033,92928,53
9635.0,8844.0,21.0,49.0,199.0,0.0,0.0,61.0,461.0,"Vashon Island CCD, King County, Washington",033,93616,53
80647.0,52883.0,1515.0,8.0,19155.0,55.0,130.0,2769.0,4132.0,"Issaquah Plateau CCD, King County, Washington",033,91392,53
52493.0,44600.0,608.0,141.0,2244.0,35.0,59.0,1778.0,3028.0,"Snoqualmie Valley CCD, King County, Washington",033,93078,53
2000.0,1517.0,55.0,56.0,4.0,0.0,0.0,80.0,288.0,"Naselle CCD, Pacific County, Washington",049,92128,53
1625.0,1524.0,0.0,9.0,17.0,0.0,0.0,49.0,26.0,"Willapa Valley CCD, Pacific County, Washington",049,93776,53
8036.0,6049.0,7.0,146.0,311.0,0.0,13.0,397.0,1113.0,"Raymond CCD, Pacific County, Washington",049,92736,53
10861.0,9567.0,29.0,458.0,92.0,1.0,12.0,290.0,412.0,"Newport CCD, Pend Oreille County, Washington",051,92160,53
2205.0,2045.0,0.0,24.0,0.0,30.0,0.0,51.0,55.0,"Ione-Metaline Falls CCD, Pend Oreille County, Washington",051,91376,53
5481.0,4911.0,56.0,31.0,83.0,0.0,0.0,96.0,304.0,"Orcas CCD, San Juan County, Washington",055,92432,53
2930.0,2626.0,26.0,35.0,33.0,21.0,9.0,40.0,140.0,"Lopez CCD, San Juan County, Washington",055,91696,53
