B19001I_001E,B19001I_002E,B19001I_003E,B19001I_004E,B19001I_005E,B19001I_006E,B19001I_007E,B19001I_008E,B19001I_009E,B19001I_010E,B19001I_011E,B19001I_012E,B19001I_013E,B19001I_014E,B19001I_015E,B19001I_016E,B19001I_017E,name,county,county subdivision,state
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,"Sweetwater CCD, Apache County, Arizona",001,93315,04
19.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,4.0,0.0,"Chinle CCD, Apache County, Arizona",001,90612,04
68.0,8.0,6.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,23.0,0.0,0.0,11.0,0.0,"Fort Defiance CCD, Apache County, Arizona",001,91326,04
407.0,43.0,81.0,13.0,19.0,13.0,0.0,6.0,36.0,20.0,4.0,36.0,51.0,5.0,49.0,31.0,0.0,"Eagar-Springerville CCD, Apache County, Arizona",001,91071,04
17.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Puerco CCD, Apache County, Arizona",001,92805,04
491.0,47.0,45.0,102.0,64.0,6.0,10.0,82.0,38.0,0.0,19.0,5.0,39.0,34.0,0.0,0.0,0.0,"St. Johns CCD, Apache County, Arizona",001,92958,04
221.0,41.0,29.0,2.0,0.0,0.0,0.0,23.0,0.0,0.0,78.0,35.0,0.0,0.0,10.0,0.0,3.0,"Tuba City CCD, Coconino County, Arizona",005,93519,04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Havasupai CCD, Coconino County, Arizona",005,91530,04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Hualapai CCD, Coconino County, Arizona",005,91683,04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Hopi CCD, Coconino County, Arizona",005,91581,04
628.0,45.0,0.0,73.0,28.0,118.0,22.0,24.0,82.0,18.0,30.0,35.0,56.0,38.0,59.0,0.0,0.0,"Williams CCD, Coconino County, Arizona",005,93876,04
5043.0,475.0,205.0,162.0,399.0,249.0,213.0,366.0,373.0,68.0,479.0,551.0,528.0,351.0,403.0,133.0,88.0,"Prescott CCD, Yavapai County, Arizona",025,92754,04
149.0,25.0,0.0,33.0,4.0,13.0,6.0,8.0,16.0,0.0,4.0,19.0,7.0,7.0,7.0,0.0,0.0,"Congress CCD, Yavapai County, Arizona",025,90765,04
1929.0,253.0,51.0,52.0,166.0,249.0,179.0,119.0,121.0,67.0,113.0,265.0,175.0,98.0,0.0,0.0,21.0,"Mingus Mountain CCD, Yavapai County, Arizona",025,92193,04
22251.0,1919.0,1473.0,1633.0,1338.0,1506.0,1391.0,1389.0,1385.0,1010.0,1874.0,2318.0,2510.0,1120.0,760.0,456.0,169.0,"Yuma CCD, Yuma County, Arizona",027,93978,04
999.0,45.0,46.0,6.0,119.0,98.0,32.0,133.0,95.0,24.0,121.0,155.0,70.0,45.0,10.0,0.0,0.0,"Wellton CCD, Yuma County, Arizona",027,93672,04
14038.0,1254.0,1137.0,1429.0,1006.0,1139.0,1316.0,624.0,910.0,489.0,1386.0,1446.0,950.0,518.0,146.0,162.0,126.0,"Somerton CCD, Yuma County, Arizona",027,93264,04
1235.0,42.0,20.0,56.0,30.0,73.0,100.0,59.0,172.0,73.0,100.0,149.0,251.0,55.0,25.0,30.0,0.0,"Clifton CCD, Greenlee County, Arizona",011,90663,04
294.0,23.0,40.0,19.0,21.0,28.0,3.0,39.0,14.0,17.0,2.0,7.0,19.0,54.0,0.0,0.0,8.0,"Duncan CCD, Greenlee County, Arizona",011,91020,04
3478.0,432.0,300.0,219.0,280.0,253.0,195.0,227.0,161.0,119.0,382.0,343.0,279.0,168.0,64.0,44.0,12.0,"Eloy CCD, Pinal County, Arizona",021,91173,04
