B19013H_001E,name,county,county subdivision,state
108393.0,"Broadland town, Beadle County, South Dakota",005,07420,46
38333.0,"Nisland town, Butte County, South Dakota",019,45180,46
49623.0,"West Butte UT, Butte County, South Dakota",019,70290,46
-666666666.0,"Union township, Butte County, South Dakota",019,64980,46
44495.0,"Belle Fourche city, Butte County, South Dakota",019,04380,46
46625.0,"Newell city, Butte County, South Dakota",019,44860,46
63125.0,"Fruitdale town, Butte County, South Dakota",019,23140,46
65341.0,"East Butte UT, Butte County, South Dakota",019,17720,46
31736.0,"Vale township, Butte County, South Dakota",019,65940,46
-666666666.0,"Sherman township, Corson County, South Dakota",031,58500,46
40625.0,"Morristown town, Corson County, South Dakota",031,43860,46
70833.0,"Watauga township, Corson County, South Dakota",031,69260,46
-666666666.0,"Wakpala township, Corson County, South Dakota",031,68180,46
37083.0,"McIntosh city, Corson County, South Dakota",031,39940,46
43750.0,"McLaughlin city, Corson County, South Dakota",031,40020,46
-666666666.0,"Rolling Green township, Corson County, South Dakota",031,55700,46
184063.0,"Clifton township, Spink County, South Dakota",115,12940,46
99643.0,"Prairie Center township, Spink County, South Dakota",115,51620,46
-666666666.0,"Turton township, Spink County, South Dakota",115,64580,46
64375.0,"Ashton city, Spink County, South Dakota",115,02540,46
-666666666.0,"Conde township, Spink County, South Dakota",115,13740,46
73750.0,"Lincoln township, Spink County, South Dakota",115,37660,46
81875.0,"Northville town, Spink County, South Dakota",115,45740,46
-666666666.0,"Spring township, Spink County, South Dakota",115,60420,46
109100.0,"Three Rivers township, Spink County, South Dakota",115,63420,46
39583.0,"Antelope township, Spink County, South Dakota",115,01700,46
-666666666.0,"Exline township, Spink County, South Dakota",115,20260,46
89688.0,"Harrison township, Spink County, South Dakota",115,27380,46
41933.0,"Redfield city, Spink County, South Dakota",115,53460,46
39375.0,"Frankfort city, Spink County, South Dakota",115,22580,46
-666666666.0,"Sumner township, Spink County, South Dakota",115,62300,46
62750.0,"Turton town, Spink County, South Dakota",115,64540,46
52083.0,"Beotia township, Spink County, South Dakota",115,04940,46
51250.0,"Frankfort township, Spink County, South Dakota",115,22620,46
-666666666.0,"Groveland township, Spink County, South Dakota",115,26460,46
89000.0,"Lodi township, Spink County, South Dakota",115,38140,46
75625.0,"Northville township, Spink County, South Dakota",115,45780,46
-666666666.0,"Olean township, Spink County, South Dakota",115,46860,46
77500.0,"Redfield township, Spink County, South Dakota",115,53500,46
77917.0,"Tulare township, Spink County, South Dakota",115,64340,46
-666666666.0,"Brentford town, Spink County, South Dakota",115,07060,46
177768.0,"Benton township, Spink County, South Dakota",115,04900,46
45313.0,"Doland city, Spink County, South Dakota",115,16820,46
93750.0,"Jefferson township, Spink County, South Dakota",115,32660,46
230577.0,"Lake township, Spink County, South Dakota",115,35020,46
109375.0,"Mellette township, Spink County, South Dakota",115,41900,46
-666666666.0,"Tetonka township, Spink County, South Dakota",115,63260,46
46944.0,"Union township, Spink County, South Dakota",115,65500,46
151875.0,"Cornwall township, Spink County, South Dakota",115,13900,46
-666666666.0,"La Prairie township, Spink County, South Dakota",115,35980,46
-666666666.0,"Great Bend township, Spink County, South Dakota",115,25780,46
62750.0,"Mellette city, Spink County, South Dakota",115,41860,46
55417.0,"Belmont township, Spink County, South Dakota",115,04580,46
-666666666.0,"Richfield township, Spink County, South Dakota",115,54380,46
36667.0,"Ridgeland township, Corson County, South Dakota",031,54860,46
-666666666.0,"Custer township, Corson County, South Dakota",031,15100,46
155313.0,"Pleasant Ridge township, Corson County, South Dakota",031,50660,46
-666666666.0,"Prairie View township, Corson County, South Dakota",031,51700,46
52500.0,"West Corson UT, Corson County, South Dakota",031,70310,46
52000.0,"Blendon township, Davison County, South Dakota",035,05980,46
51406.0,"Rome township, Davison County, South Dakota",035,55740,46
47015.0,"Mitchell city, Davison County, South Dakota",035,43100,46
-666666666.0,"Badger township, Davison County, South Dakota",035,03020,46
65170.0,"Prosper township, Davison County, South Dakota",035,52100,46
-666666666.0,"Lisbon township, Davison County, South Dakota",035,37820,46
48958.0,"Beulah township, Davison County, South Dakota",035,05220,46
