B25003H_001E,B25003H_002E,B25003H_003E,name,county,county subdivision,state
374.0,360.0,14.0,"New Hope township, Randolph County, North Carolina",151,92252,37
2125.0,1756.0,369.0,"Grant township, Randolph County, North Carolina",151,91276,37
2964.0,1902.0,1062.0,"Randleman township, Randolph County, North Carolina",151,92620,37
2243.0,1803.0,440.0,"Tabernacle township, Randolph County, North Carolina",151,93208,37
2026.0,1695.0,331.0,"Huntsville township, Rockingham County, North Carolina",157,91564,37
6014.0,3911.0,2103.0,"Leaksville township, Rockingham County, North Carolina",157,91752,37
2156.0,1760.0,396.0,"New Bethel township, Rockingham County, North Carolina",157,92232,37
610.0,548.0,62.0,"Price township, Rockingham County, North Carolina",157,92568,37
1369.0,1073.0,296.0,"Simpsonville township, Rockingham County, North Carolina",157,92960,37
2913.0,2331.0,582.0,"Wentworth township, Rockingham County, North Carolina",157,93936,37
2277.0,1887.0,390.0,"Mayo township, Rockingham County, North Carolina",157,92020,37
5273.0,3611.0,1662.0,"Reidsville township, Rockingham County, North Carolina",157,92652,37
2785.0,1986.0,799.0,"Madison township, Rockingham County, North Carolina",157,91956,37
1167.0,836.0,331.0,"Williamsburg township, Rockingham County, North Carolina",157,94032,37
1689.0,1249.0,440.0,"Ruffin township, Rockingham County, North Carolina",157,92772,37
396.0,325.0,71.0,"Danbury township, Stokes County, North Carolina",169,90876,37
8637.0,6717.0,1920.0,"Yadkin township, Stokes County, North Carolina",169,94108,37
1243.0,1121.0,122.0,"Beaver Island township, Stokes County, North Carolina",169,90208,37
1756.0,1173.0,583.0,"Sauratown township, Stokes County, North Carolina",169,92852,37
852.0,718.0,134.0,"Big Creek township, Stokes County, North Carolina",169,90260,37
2161.0,1833.0,328.0,"Meadows township, Stokes County, North Carolina",169,92028,37
1075.0,765.0,310.0,"Quaker Gap township, Stokes County, North Carolina",169,92588,37
686.0,550.0,136.0,"Peters Creek township, Stokes County, North Carolina",169,92480,37
1029.0,913.0,116.0,"Snow Creek township, Stokes County, North Carolina",169,93016,37
749.0,603.0,146.0,"Spring Hill township, Scotland County, North Carolina",165,93080,37
1651.0,1298.0,353.0,"Williamson township, Scotland County, North Carolina",165,94036,37
693.0,502.0,191.0,"Laurel Hill township, Scotland County, North Carolina",165,91748,37
3398.0,2347.0,1051.0,"Stewartsville township, Scotland County, North Carolina",165,93132,37
66.0,51.0,15.0,"North Fork township, Watauga County, North Carolina",189,92320,37
7235.0,5265.0,1970.0,"Dallas township, Gaston County, North Carolina",071,90872,37
9056.0,7098.0,1958.0,"Riverbend township, Gaston County, North Carolina",071,92692,37
5488.0,3960.0,1528.0,"Cherryville township, Gaston County, North Carolina",071,90644,37
1417.0,1221.0,196.0,"Madison township, Guilford County, North Carolina",081,91952,37
2661.0,2235.0,426.0,"Clay township, Guilford County, North Carolina",081,90672,37
5665.0,4325.0,1340.0,"Deep River township, Guilford County, North Carolina",081,90896,37
1161.0,1013.0,148.0,"Greene township, Guilford County, North Carolina",081,91304,37
5542.0,3144.0,2398.0,"Gilmer township, Guilford County, North Carolina",081,91228,37
2702.0,2461.0,241.0,"Monroe township, Guilford County, North Carolina",081,92104,37
3624.0,3092.0,532.0,"Fentress township, Guilford County, North Carolina",081,91096,37
2674.0,2290.0,384.0,"Sumner township, Guilford County, North Carolina",081,93176,37
14125.0,9659.0,4466.0,"High Point township, Guilford County, North Carolina",081,91484,37
3535.0,3155.0,380.0,"Oak Ridge township, Guilford County, North Carolina",081,92360,37
3505.0,3086.0,419.0,"Bruce township, Guilford County, North Carolina",081,90396,37
2336.0,2098.0,238.0,"Center Grove township, Guilford County, North Carolina",081,90600,37
2610.0,1740.0,870.0,"Friendship township, Guilford County, North Carolina",081,91184,37
3729.0,2751.0,978.0,"Rock Creek township, Guilford County, North Carolina",081,92716,37
953.0,818.0,135.0,"Washington township, Guilford County, North Carolina",081,93908,37
2547.0,1939.0,608.0,"Jefferson township, Guilford County, North Carolina",081,91656,37
4033.0,3535.0,498.0,"Jamestown township, Guilford County, North Carolina",081,91640,37
51364.0,33735.0,17629.0,"Morehead township, Guilford County, North Carolina",081,92124,37
695.0,506.0,189.0,"Dillsboro township, Jackson County, North Carolina",099,90900,37
240.0,172.0,68.0,"Canada township, Jackson County, North Carolina",099,90484,37
356.0,302.0,54.0,"Caney Fork township, Jackson County, North Carolina",099,90500,37
2355.0,1629.0,726.0,"Sylva township, Jackson County, North Carolina",099,93204,37
830.0,595.0,235.0,"Barkers Creek township, Jackson County, North Carolina",099,90156,37
1020.0,852.0,168.0,"Scott Creek township, Jackson County, North Carolina",099,92868,37
1004.0,750.0,254.0,"Cashiers township, Jackson County, North Carolina",099,90540,37
2062.0,882.0,1180.0,"Cullowhee township, Jackson County, North Carolina",099,90848,37
1109.0,647.0,462.0,"Qualla township, Jackson County, North Carolina",099,92596,37
577.0,256.0,321.0,"River township, Jackson County, North Carolina",099,92684,37
670.0,566.0,104.0,"Greens Creek township, Jackson County, North Carolina",099,91320,37
682.0,446.0,236.0,"Savannah township, Jackson County, North Carolina",099,92856,37
1096.0,944.0,152.0,"Webster township, Jackson County, North Carolina",099,93924,37
260.0,170.0,90.0,"Mountain township, Jackson County, North Carolina",099,92148,37
886.0,611.0,275.0,"Hamburg township, Jackson County, North Carolina",099,91384,37
554.0,455.0,99.0,"Beaverdam township, Watauga County, North Carolina",189,90204,37
1097.0,975.0,122.0,"Cove Creek township, Watauga County, North Carolina",189,90788,37
877.0,655.0,222.0,"Laurel Creek township, Watauga County, North Carolina",189,91744,37
277.0,225.0,52.0,"Bald Mountain township, Watauga County, North Carolina",189,90132,37
327.0,290.0,37.0,"Elk township, Watauga County, North Carolina",189,91008,37
