B07003_001E,B07003_002E,B07003_003E,B07003_004E,B07003_005E,B07003_006E,B07003_007E,B07003_008E,B07003_009E,B07003_010E,B07003_011E,B07003_012E,B07003_013E,B07003_014E,B07003_015E,B07003_016E,B07003_017E,B07003_018E,name,county,county subdivision,state
1515.0,744.0,771.0,1402.0,686.0,716.0,58.0,22.0,36.0,28.0,18.0,10.0,10.0,5.0,5.0,17.0,13.0,4.0,"Bowie CCD, Cochise County, Arizona",003,90408,04
648.0,349.0,299.0,614.0,334.0,280.0,5.0,2.0,3.0,25.0,9.0,16.0,4.0,4.0,0.0,0.0,0.0,0.0,"Fort Apache CCD, Apache County, Arizona",001,91275,04
1523.0,719.0,804.0,1521.0,719.0,802.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Dennehotso CCD, Apache County, Arizona",001,90918,04
4602.0,2304.0,2298.0,4549.0,2271.0,2278.0,22.0,14.0,8.0,7.0,7.0,0.0,24.0,12.0,12.0,0.0,0.0,0.0,"Sweetwater CCD, Apache County, Arizona",001,93315,04
21214.0,10165.0,11049.0,19744.0,9426.0,10318.0,927.0,523.0,404.0,347.0,156.0,191.0,149.0,26.0,123.0,47.0,34.0,13.0,"Chinle CCD, Apache County, Arizona",001,90612,04
23714.0,11647.0,12067.0,22809.0,11175.0,11634.0,449.0,206.0,243.0,145.0,61.0,84.0,201.0,126.0,75.0,110.0,79.0,31.0,"Fort Defiance CCD, Apache County, Arizona",001,91326,04
7892.0,3994.0,3898.0,6914.0,3482.0,3432.0,482.0,213.0,269.0,385.0,214.0,171.0,111.0,85.0,26.0,0.0,0.0,0.0,"Eagar-Springerville CCD, Apache County, Arizona",001,91071,04
2768.0,1299.0,1469.0,2679.0,1221.0,1458.0,29.0,18.0,11.0,1.0,1.0,0.0,59.0,59.0,0.0,0.0,0.0,0.0,"Puerco CCD, Apache County, Arizona",001,92805,04
8283.0,4411.0,3872.0,7282.0,3762.0,3520.0,324.0,125.0,199.0,630.0,485.0,145.0,47.0,39.0,8.0,0.0,0.0,0.0,"St. Johns CCD, Apache County, Arizona",001,92958,04
32445.0,15638.0,16807.0,30143.0,14494.0,15649.0,1051.0,568.0,483.0,597.0,284.0,313.0,597.0,274.0,323.0,57.0,18.0,39.0,"Tuba City CCD, Coconino County, Arizona",005,93519,04
13.0,7.0,6.0,13.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Havasupai CCD, Coconino County, Arizona",005,91530,04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Hualapai CCD, Coconino County, Arizona",005,91683,04
49.0,20.0,29.0,49.0,20.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Hopi CCD, Coconino County, Arizona",005,91581,04
9090.0,5024.0,4066.0,7582.0,4209.0,3373.0,574.0,353.0,221.0,380.0,189.0,191.0,507.0,244.0,263.0,47.0,29.0,18.0,"Williams CCD, Coconino County, Arizona",005,93876,04
124653.0,60949.0,63704.0,102206.0,49178.0,53028.0,11571.0,6122.0,5449.0,4729.0,2370.0,2359.0,5867.0,3090.0,2777.0,280.0,189.0,91.0,"Prescott CCD, Yavapai County, Arizona",025,92754,04
8990.0,4488.0,4502.0,8044.0,4089.0,3955.0,295.0,149.0,146.0,400.0,143.0,257.0,237.0,97.0,140.0,14.0,10.0,4.0,"Congress CCD, Yavapai County, Arizona",025,90765,04
36795.0,17424.0,19371.0,30113.0,14020.0,16093.0,3393.0,1612.0,1781.0,1633.0,831.0,802.0,1531.0,884.0,647.0,125.0,77.0,48.0,"Mingus Mountain CCD, Yavapai County, Arizona",025,92193,04
138921.0,70920.0,68001.0,110786.0,55726.0,55060.0,15710.0,7968.0,7742.0,2482.0,1403.0,1079.0,7591.0,4323.0,3268.0,2352.0,1500.0,852.0,"Yuma CCD, Yuma County, Arizona",027,93978,04
7297.0,3693.0,3604.0,5562.0,2971.0,2591.0,1285.0,496.0,789.0,72.0,33.0,39.0,272.0,124.0,148.0,106.0,69.0,37.0,"Wellton CCD, Yuma County, Arizona",027,93672,04
54943.0,28803.0,26140.0,48772.0,25022.0,23750.0,4425.0,2361.0,2064.0,652.0,620.0,32.0,344.0,294.0,50.0,750.0,506.0,244.0,"Somerton CCD, Yuma County, Arizona",027,93264,04
6514.0,3533.0,2981.0,5281.0,2817.0,2464.0,518.0,289.0,229.0,458.0,267.0,191.0,247.0,150.0,97.0,10.0,10.0,0.0,"Clifton CCD, Greenlee County, Arizona",011,90663,04
2689.0,1358.0,1331.0,2386.0,1181.0,1205.0,158.0,101.0,57.0,105.0,53.0,52.0,27.0,16.0,11.0,13.0,7.0,6.0,"Duncan CCD, Greenlee County, Arizona",011,91020,04
34153.0,21107.0,13046.0,27805.0,17027.0,10778.0,3000.0,1603.0,1397.0,1592.0,1189.0,403.0,1336.0,910.0,426.0,420.0,378.0,42.0,"Eloy CCD, Pinal County, Arizona",021,91173,04
