B19001H_001E,B19001H_002E,B19001H_003E,B19001H_004E,B19001H_005E,B19001H_006E,B19001H_007E,B19001H_008E,B19001H_009E,B19001H_010E,B19001H_011E,B19001H_012E,B19001H_013E,B19001H_014E,B19001H_015E,B19001H_016E,B19001H_017E,name,county,county subdivision,state
871.0,19.0,79.0,31.0,34.0,29.0,30.0,33.0,23.0,34.0,61.0,148.0,110.0,96.0,78.0,41.0,25.0,"Marine township, Madison County, Illinois",119,46877,17
950.0,31.0,31.0,45.0,61.0,35.0,31.0,24.0,43.0,22.0,60.0,108.0,182.0,121.0,62.0,87.0,7.0,"Omphghent township, Madison County, Illinois",119,56068,17
707.0,62.0,60.0,100.0,56.0,68.0,41.0,46.0,7.0,0.0,89.0,37.0,54.0,5.0,27.0,55.0,0.0,"Venice township, Madison County, Illinois",119,77486,17
2962.0,152.0,114.0,275.0,82.0,161.0,197.0,228.0,222.0,103.0,332.0,269.0,383.0,251.0,89.0,50.0,54.0,"Chouteau township, Madison County, Illinois",119,14260,17
4968.0,140.0,130.0,40.0,105.0,150.0,158.0,277.0,182.0,150.0,448.0,476.0,894.0,708.0,438.0,353.0,319.0,"Jarvis township, Madison County, Illinois",119,38245,17
4360.0,339.0,215.0,132.0,160.0,219.0,276.0,245.0,216.0,228.0,299.0,533.0,686.0,393.0,229.0,144.0,46.0,"Nameoki township, Madison County, Illinois",119,51583,17
9969.0,822.0,690.0,689.0,468.0,521.0,564.0,475.0,395.0,477.0,1099.0,1163.0,1267.0,604.0,142.0,466.0,127.0,"Granite City township, Madison County, Illinois",119,30939,17
3251.0,147.0,139.0,239.0,127.0,49.0,163.0,254.0,152.0,118.0,301.0,318.0,445.0,306.0,219.0,149.0,125.0,"Helvetia township, Madison County, Illinois",119,33981,17
1454.0,119.0,0.0,27.0,36.0,50.0,104.0,81.0,25.0,70.0,118.0,100.0,256.0,145.0,181.0,63.0,79.0,"Foster township, Madison County, Illinois",119,27182,17
1377.0,10.0,44.0,0.0,9.0,30.0,34.0,54.0,12.0,117.0,123.0,238.0,283.0,131.0,96.0,154.0,42.0,"Moro township, Madison County, Illinois",119,50465,17
1276.0,0.0,29.0,64.0,13.0,49.0,20.0,35.0,32.0,55.0,47.0,55.0,204.0,161.0,100.0,176.0,236.0,"Pin Oak township, Madison County, Illinois",119,60014,17
935.0,15.0,8.0,25.0,13.0,23.0,49.0,38.0,9.0,16.0,68.0,126.0,164.0,145.0,88.0,104.0,44.0,"Hamel township, Madison County, Illinois",119,32421,17
12197.0,447.0,390.0,370.0,491.0,670.0,443.0,278.0,349.0,312.0,1083.0,1166.0,1621.0,1693.0,990.0,982.0,912.0,"Edwardsville township, Madison County, Illinois",119,22710,17
182.0,5.0,4.0,6.0,9.0,8.0,3.0,13.0,6.0,4.0,7.0,23.0,24.0,13.0,35.0,8.0,14.0,"New Douglas township, Madison County, Illinois",119,52428,17
2403.0,81.0,94.0,57.0,67.0,57.0,138.0,116.0,133.0,72.0,133.0,229.0,262.0,354.0,214.0,194.0,202.0,"Saline township, Madison County, Illinois",119,67275,17
261.0,3.0,17.0,2.0,26.0,2.0,4.0,5.0,6.0,0.0,44.0,26.0,39.0,40.0,4.0,3.0,40.0,"Leef township, Madison County, Illinois",119,42652,17
725.0,12.0,53.0,40.0,20.0,57.0,50.0,54.0,24.0,45.0,61.0,91.0,68.0,108.0,9.0,32.0,1.0,"Olive township, Madison County, Illinois",119,55834,17
3519.0,187.0,58.0,187.0,179.0,108.0,129.0,171.0,129.0,94.0,274.0,417.0,422.0,357.0,327.0,238.0,242.0,"Fort Russell township, Madison County, Illinois",119,27130,17
6790.0,223.0,136.0,179.0,313.0,412.0,270.0,240.0,364.0,194.0,537.0,815.0,1187.0,683.0,487.0,388.0,362.0,"Godfrey township, Madison County, Illinois",119,30107,17
1570.0,92.0,30.0,69.0,93.0,69.0,51.0,90.0,64.0,108.0,86.0,82.0,208.0,203.0,82.0,147.0,96.0,"Felix township, Grundy County, Illinois",063,25778,17
107.0,15.0,0.0,10.0,0.0,0.0,10.0,4.0,8.0,0.0,2.0,0.0,46.0,0.0,7.0,5.0,0.0,"Goodfarm township, Grundy County, Illinois",063,30432,17
547.0,28.0,10.0,26.0,10.0,24.0,24.0,13.0,29.0,7.0,73.0,65.0,83.0,50.0,23.0,52.0,30.0,"Mazon township, Grundy County, Illinois",063,47800,17
542.0,11.0,24.0,32.0,25.0,11.0,32.0,17.0,30.0,2.0,34.0,104.0,73.0,30.0,56.0,43.0,18.0,"Alhambra township, Madison County, Illinois",119,00750,17
584.0,0.0,3.0,17.0,40.0,0.0,0.0,33.0,38.0,15.0,26.0,38.0,110.0,113.0,15.0,34.0,102.0,"Goose Lake township, Grundy County, Illinois",063,30549,17
255.0,12.0,6.0,0.0,7.0,13.0,17.0,4.0,16.0,11.0,11.0,15.0,72.0,37.0,14.0,8.0,12.0,"Vienna township, Grundy County, Illinois",063,77850,17
965.0,26.0,19.0,20.0,44.0,30.0,5.0,23.0,14.0,18.0,82.0,31.0,171.0,171.0,116.0,102.0,93.0,"Erienna township, Grundy County, Illinois",063,24400,17
532.0,32.0,20.0,20.0,10.0,27.0,23.0,14.0,34.0,42.0,30.0,38.0,70.0,48.0,39.0,47.0,38.0,"Garfield township, Grundy County, Illinois",063,28677,17
485.0,8.0,7.0,18.0,9.0,24.0,33.0,19.0,15.0,30.0,42.0,63.0,75.0,62.0,39.0,34.0,7.0,"Greenfield township, Grundy County, Illinois",063,31381,17
100.0,5.0,0.0,0.0,7.0,0.0,5.0,0.0,0.0,8.0,0.0,0.0,25.0,12.0,0.0,33.0,5.0,"Norman township, Grundy County, Illinois",063,53286,17
144.0,1.0,0.0,5.0,20.0,0.0,17.0,9.0,10.0,6.0,0.0,13.0,40.0,0.0,13.0,0.0,10.0,"Highland township, Grundy County, Illinois",063,34657,17
2168.0,130.0,55.0,87.0,49.0,83.0,15.0,56.0,42.0,143.0,211.0,194.0,214.0,301.0,221.0,180.0,187.0,"Saratoga township, Grundy County, Illinois",063,67678,17
886.0,20.0,17.0,0.0,15.0,41.0,11.0,38.0,51.0,53.0,82.0,94.0,149.0,113.0,99.0,70.0,33.0,"Wauponsee township, Grundy County, Illinois",063,79345,17
