B01001_001E,B01001_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,name,county,county subdivision,state
22434,11327.0,496.0,729.0,869.0,508.0,305.0,123.0,66.0,416.0,454.0,427.0,456.0,738.0,917.0,1077.0,1129.0,496.0,553.0,400.0,322.0,443.0,221.0,67.0,115.0,11107.0,408.0,673.0,736.0,590.0,303.0,118.0,85.0,295.0,388.0,525.0,563.0,702.0,980.0,1127.0,1137.0,460.0,481.0,315.0,394.0,357.0,178.0,88.0,204.0,"Elizabeth CCD, Elbert County, Colorado",039,91190,08
620,363.0,17.0,44.0,27.0,0.0,6.0,2.0,4.0,13.0,2.0,10.0,23.0,20.0,10.0,75.0,28.0,7.0,2.0,5.0,30.0,21.0,9.0,8.0,0.0,257.0,8.0,21.0,14.0,2.0,0.0,2.0,6.0,0.0,10.0,18.0,12.0,30.0,9.0,20.0,44.0,4.0,15.0,10.0,12.0,14.0,3.0,3.0,0.0,"Agate CCD, Elbert County, Colorado",039,90019,08
340,179.0,0.0,8.0,12.0,13.0,10.0,1.0,0.0,1.0,11.0,1.0,6.0,12.0,7.0,12.0,16.0,2.0,2.0,9.0,17.0,16.0,17.0,3.0,3.0,161.0,10.0,5.0,9.0,9.0,0.0,0.0,0.0,2.0,7.0,6.0,4.0,14.0,9.0,9.0,18.0,2.0,7.0,7.0,7.0,20.0,6.0,3.0,7.0,"Kim CCD, Las Animas County, Colorado",071,91976,08
1499,752.0,41.0,48.0,31.0,63.0,5.0,4.0,6.0,0.0,19.0,49.0,55.0,39.0,53.0,79.0,74.0,15.0,31.0,58.0,19.0,24.0,13.0,8.0,18.0,747.0,37.0,42.0,54.0,21.0,0.0,0.0,0.0,7.0,53.0,49.0,49.0,65.0,29.0,77.0,95.0,17.0,25.0,33.0,21.0,24.0,3.0,4.0,42.0,"Simla CCD, Elbert County, Colorado",039,93325,08
548,495.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,118.0,43.0,78.0,26.0,92.0,34.0,39.0,15.0,16.0,16.0,3.0,5.0,6.0,0.0,0.0,53.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,12.0,0.0,5.0,12.0,2.0,0.0,0.0,0.0,0.0,"Model CCD, Las Animas County, Colorado",071,92508,08
188,106.0,0.0,11.0,17.0,3.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,12.0,5.0,4.0,6.0,0.0,18.0,0.0,11.0,6.0,1.0,2.0,1.0,82.0,0.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,1.0,2.0,3.0,1.0,11.0,1.0,8.0,4.0,1.0,5.0,4.0,"Branson CCD, Las Animas County, Colorado",071,90361,08
1019,548.0,8.0,52.0,43.0,16.0,16.0,0.0,0.0,12.0,24.0,6.0,22.0,46.0,39.0,44.0,35.0,10.0,22.0,31.0,20.0,59.0,35.0,6.0,2.0,471.0,5.0,19.0,29.0,12.0,0.0,0.0,25.0,4.0,4.0,9.0,26.0,53.0,11.0,51.0,45.0,8.0,16.0,19.0,24.0,56.0,33.0,22.0,0.0,"Aguilar CCD, Las Animas County, Colorado",071,90038,08
1237,631.0,19.0,18.0,49.0,31.0,1.0,0.0,0.0,15.0,15.0,42.0,17.0,13.0,62.0,33.0,62.0,24.0,65.0,38.0,44.0,57.0,17.0,3.0,6.0,606.0,14.0,23.0,23.0,9.0,6.0,0.0,0.0,0.0,5.0,33.0,26.0,22.0,38.0,68.0,66.0,61.0,39.0,18.0,11.0,98.0,16.0,7.0,23.0,"Weston CCD, Las Animas County, Colorado",071,93838,08
10819,5364.0,299.0,258.0,299.0,155.0,271.0,11.0,160.0,210.0,363.0,312.0,247.0,290.0,205.0,432.0,376.0,175.0,254.0,167.0,197.0,262.0,226.0,127.0,68.0,5455.0,278.0,318.0,268.0,186.0,181.0,79.0,63.0,198.0,342.0,299.0,260.0,253.0,319.0,307.0,445.0,148.0,253.0,137.0,211.0,268.0,232.0,209.0,201.0,"Trinidad CCD, Las Animas County, Colorado",071,93648,08
5101,2517.0,162.0,203.0,45.0,71.0,0.0,40.0,74.0,172.0,194.0,229.0,184.0,124.0,123.0,191.0,118.0,55.0,90.0,28.0,36.0,173.0,61.0,49.0,95.0,2584.0,179.0,107.0,189.0,56.0,62.0,48.0,28.0,66.0,156.0,173.0,65.0,197.0,151.0,179.0,213.0,13.0,84.0,110.0,35.0,226.0,84.0,107.0,56.0,"Yuma CCD, Yuma County, Colorado",125,93952,08
