B01001_001E,B01001_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,name,county,county subdivision,state
378,217.0,11.0,0.0,10.0,12.0,0.0,4.0,0.0,2.0,7.0,27.0,10.0,30.0,14.0,14.0,24.0,9.0,18.0,0.0,17.0,6.0,2.0,0.0,0.0,161.0,6.0,3.0,19.0,8.0,0.0,0.0,2.0,18.0,0.0,18.0,18.0,8.0,4.0,8.0,17.0,7.0,12.0,2.0,4.0,2.0,5.0,0.0,0.0,"Wamsutter CCD, Sweetwater County, Wyoming",037,93575,56
129,68.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,5.0,0.0,7.0,21.0,7.0,5.0,0.0,0.0,0.0,61.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,17.0,0.0,5.0,0.0,0.0,11.0,0.0,0.0,7.0,0.0,12.0,0.0,0.0,0.0,0.0,"Rock Springs South CCD, Sweetwater County, Wyoming",037,92805,56
6105,3182.0,182.0,132.0,316.0,180.0,86.0,8.0,0.0,122.0,204.0,148.0,129.0,184.0,211.0,243.0,172.0,104.0,126.0,147.0,122.0,68.0,95.0,158.0,45.0,2923.0,154.0,109.0,205.0,52.0,105.0,0.0,58.0,61.0,97.0,192.0,220.0,91.0,168.0,255.0,194.0,105.0,176.0,61.0,99.0,175.0,109.0,156.0,81.0,"Wheatland CCD, Platte County, Wyoming",031,93630,56
481,242.0,4.0,2.0,0.0,14.0,4.0,0.0,0.0,4.0,33.0,28.0,0.0,2.0,4.0,24.0,5.0,22.0,0.0,18.0,0.0,58.0,15.0,1.0,4.0,239.0,0.0,16.0,4.0,1.0,3.0,0.0,0.0,0.0,2.0,17.0,6.0,33.0,19.0,16.0,10.0,4.0,19.0,2.0,5.0,53.0,29.0,0.0,0.0,"Chugwater CCD, Platte County, Wyoming",031,90880,56
601,308.0,28.0,23.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,17.0,4.0,7.0,3.0,10.0,53.0,61.0,28.0,10.0,0.0,31.0,1.0,8.0,16.0,293.0,0.0,10.0,6.0,7.0,17.0,8.0,0.0,3.0,3.0,12.0,2.0,0.0,15.0,68.0,63.0,0.0,22.0,7.0,4.0,18.0,14.0,0.0,14.0,"Glendo CCD, Platte County, Wyoming",031,91320,56
1516,803.0,72.0,16.0,71.0,52.0,8.0,6.0,0.0,20.0,32.0,61.0,27.0,41.0,23.0,70.0,86.0,29.0,20.0,45.0,15.0,72.0,8.0,23.0,6.0,713.0,52.0,44.0,39.0,16.0,13.0,14.0,28.0,34.0,0.0,26.0,35.0,40.0,56.0,33.0,37.0,16.0,18.0,29.0,75.0,37.0,26.0,12.0,33.0,"Guernsey CCD, Platte County, Wyoming",031,91595,56
6062,3023.0,192.0,91.0,261.0,72.0,71.0,56.0,0.0,25.0,93.0,159.0,147.0,153.0,186.0,279.0,246.0,156.0,207.0,114.0,91.0,219.0,133.0,47.0,25.0,3039.0,207.0,106.0,94.0,198.0,58.0,83.0,0.0,0.0,49.0,177.0,193.0,157.0,251.0,396.0,177.0,81.0,177.0,106.0,108.0,213.0,40.0,0.0,168.0,"Sheridan South CCD, Sheridan County, Wyoming",033,92970,56
2725,1444.0,88.0,145.0,102.0,54.0,26.0,6.0,6.0,70.0,34.0,49.0,105.0,87.0,110.0,86.0,96.0,113.0,62.0,31.0,60.0,64.0,44.0,0.0,6.0,1281.0,74.0,74.0,97.0,89.0,31.0,38.0,0.0,11.0,32.0,49.0,129.0,65.0,124.0,65.0,146.0,25.0,46.0,28.0,51.0,44.0,29.0,29.0,5.0,"Sheridan West CCD, Sheridan County, Wyoming",033,93025,56
21177,10349.0,518.0,597.0,745.0,481.0,274.0,189.0,135.0,365.0,660.0,666.0,545.0,750.0,573.0,580.0,555.0,433.0,437.0,222.0,453.0,409.0,327.0,224.0,211.0,10828.0,547.0,593.0,755.0,377.0,245.0,121.0,129.0,396.0,751.0,732.0,706.0,551.0,527.0,532.0,767.0,515.0,481.0,203.0,333.0,568.0,281.0,356.0,362.0,"Sheridan CCD, Sheridan County, Wyoming",033,92915,56
3343,1802.0,169.0,121.0,120.0,89.0,30.0,30.0,38.0,40.0,82.0,154.0,81.0,71.0,97.0,170.0,152.0,121.0,32.0,41.0,58.0,70.0,14.0,22.0,0.0,1541.0,116.0,68.0,170.0,104.0,36.0,38.0,17.0,75.0,79.0,87.0,46.0,119.0,39.0,132.0,166.0,51.0,30.0,40.0,55.0,35.0,31.0,5.0,2.0,"Moorcroft CCD, Crook County, Wyoming",011,92200,56
