B15002_001E,B15002_002E,B15002_003E,B15002_004E,B15002_005E,B15002_006E,B15002_007E,B15002_008E,B15002_009E,B15002_010E,B15002_011E,B15002_012E,B15002_013E,B15002_014E,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_019E,B15002_020E,B15002_021E,B15002_022E,B15002_023E,B15002_024E,B15002_025E,B15002_026E,B15002_027E,B15002_028E,B15002_029E,B15002_030E,B15002_031E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,name,county,county subdivision,state
21858.0,10499.0,36.0,0.0,18.0,94.0,53.0,86.0,230.0,215.0,2957.0,748.0,1656.0,1414.0,1725.0,844.0,312.0,111.0,11359.0,31.0,25.0,0.0,0.0,37.0,138.0,142.0,153.0,3132.0,974.0,1834.0,1386.0,2136.0,1131.0,145.0,95.0,"Deer Park CCD, Spokane County, Washington",063,90880,53
2012.0,1051.0,0.0,0.0,0.0,3.0,4.0,25.0,7.0,24.0,317.0,39.0,231.0,184.0,140.0,71.0,2.0,4.0,961.0,0.0,0.0,4.0,14.0,4.0,10.0,9.0,23.0,238.0,50.0,244.0,133.0,156.0,72.0,4.0,0.0,"Rockford CCD, Spokane County, Washington",063,92816,53
2179.0,1118.0,0.0,0.0,10.0,18.0,14.0,10.0,2.0,23.0,321.0,142.0,81.0,143.0,198.0,34.0,65.0,57.0,1061.0,0.0,0.0,0.0,25.0,0.0,15.0,0.0,18.0,209.0,60.0,117.0,139.0,231.0,164.0,34.0,49.0,"Valleyford CCD, Spokane County, Washington",063,93584,53
10550.0,6589.0,49.0,16.0,43.0,27.0,98.0,89.0,158.0,131.0,2129.0,818.0,1375.0,819.0,561.0,204.0,41.0,31.0,3961.0,47.0,0.0,25.0,28.0,63.0,36.0,69.0,30.0,1044.0,263.0,822.0,654.0,663.0,99.0,52.0,66.0,"Airway Heights CCD, Spokane County, Washington",063,90048,53
7637.0,3800.0,16.0,0.0,17.0,16.0,0.0,40.0,13.0,95.0,975.0,185.0,565.0,563.0,789.0,301.0,132.0,93.0,3837.0,5.0,0.0,5.0,0.0,8.0,104.0,0.0,47.0,787.0,173.0,855.0,457.0,1027.0,231.0,100.0,38.0,"Colbert CCD, Spokane County, Washington",063,90640,53
12342.0,5906.0,11.0,0.0,0.0,0.0,54.0,13.0,35.0,157.0,1180.0,493.0,979.0,662.0,1340.0,557.0,306.0,119.0,6436.0,13.0,0.0,0.0,45.0,12.0,17.0,14.0,116.0,1479.0,427.0,1129.0,898.0,1620.0,431.0,172.0,63.0,"Liberty Lake CCD, Spokane County, Washington",063,91616,53
4332.0,2324.0,12.0,0.0,0.0,12.0,42.0,29.0,2.0,12.0,542.0,285.0,340.0,298.0,483.0,250.0,5.0,12.0,2008.0,13.0,0.0,0.0,37.0,0.0,27.0,0.0,0.0,462.0,252.0,287.0,297.0,371.0,262.0,0.0,0.0,"Mount Spokane CCD, Spokane County, Washington",063,92080,53
2199.0,1134.0,0.0,1.0,29.0,28.0,12.0,44.0,11.0,2.0,285.0,81.0,193.0,174.0,197.0,50.0,13.0,14.0,1065.0,0.0,0.0,2.0,3.0,25.0,27.0,11.0,15.0,300.0,120.0,195.0,82.0,190.0,74.0,15.0,6.0,"Odessa CCD, Lincoln County, Washington",043,92304,53
2050.0,1059.0,10.0,0.0,2.0,2.0,6.0,40.0,15.0,9.0,385.0,72.0,228.0,114.0,129.0,18.0,21.0,8.0,991.0,2.0,11.0,0.0,5.0,31.0,13.0,12.0,11.0,367.0,104.0,212.0,89.0,97.0,37.0,0.0,0.0,"Wilbur CCD, Lincoln County, Washington",043,93760,53
3266.0,1610.0,21.0,0.0,14.0,40.0,10.0,42.0,12.0,18.0,460.0,94.0,313.0,169.0,237.0,112.0,53.0,15.0,1656.0,24.0,0.0,6.0,18.0,12.0,33.0,16.0,26.0,452.0,136.0,273.0,225.0,318.0,90.0,24.0,3.0,"Davenport CCD, Lincoln County, Washington",043,90848,53
