B19001I_001E,B19001I_002E,B19001I_003E,B19001I_004E,B19001I_005E,B19001I_006E,B19001I_007E,B19001I_008E,B19001I_009E,B19001I_010E,B19001I_011E,B19001I_012E,B19001I_013E,B19001I_014E,B19001I_015E,B19001I_016E,B19001I_017E,name,county,county subdivision,state
1670.0,19.0,20.0,85.0,69.0,51.0,127.0,12.0,81.0,6.0,146.0,260.0,456.0,173.0,45.0,65.0,55.0,"District 1, Vansville; Prince George's County; Maryland",033,90064,24
124.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,23.0,11.0,20.0,23.0,4.0,32.0,"District 3, Marlboro; Prince George's County; Maryland",033,90248,24
2019.0,93.0,70.0,55.0,25.0,104.0,42.0,140.0,143.0,35.0,255.0,237.0,208.0,215.0,152.0,143.0,102.0,"District 10, Laurel; Prince George's County; Maryland",033,90892,24
1039.0,27.0,10.0,52.0,19.0,31.0,74.0,28.0,0.0,38.0,172.0,89.0,208.0,84.0,28.0,103.0,76.0,"District 13, Kent; Prince George's County; Maryland",033,91164,24
1236.0,43.0,28.0,72.0,0.0,19.0,22.0,113.0,89.0,45.0,123.0,84.0,203.0,159.0,58.0,167.0,11.0,"District 6, Spauldings; Prince George's County; Maryland",033,90524,24
957.0,11.0,14.0,11.0,9.0,12.0,21.0,0.0,49.0,10.0,43.0,108.0,103.0,117.0,150.0,138.0,161.0,"District 7, Queen Anne; Prince George's County; Maryland",033,90616,24
1481.0,90.0,23.0,25.0,68.0,55.0,63.0,56.0,47.0,74.0,126.0,215.0,417.0,87.0,65.0,56.0,14.0,"District 16, Hyattsville; Prince George's County; Maryland",033,91440,24
2211.0,45.0,80.0,43.0,71.0,162.0,69.0,115.0,76.0,133.0,261.0,438.0,181.0,257.0,132.0,123.0,25.0,"District 20, Lanham; Prince George's County; Maryland",033,91808,24
2446.0,49.0,34.0,75.0,22.0,74.0,91.0,157.0,90.0,141.0,371.0,400.0,276.0,285.0,145.0,106.0,130.0,"District 21, Berwyn; Prince George's County; Maryland",033,91900,24
2168.0,58.0,77.0,45.0,55.0,176.0,91.0,49.0,268.0,103.0,314.0,262.0,325.0,131.0,103.0,100.0,11.0,"District 12, Oxon Hill; Prince George's County; Maryland",033,91072,24
88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,50.0,7.0,0.0,8.0,"District 4, Nottingham; Prince George's County; Maryland",033,90340,24
667.0,37.0,0.0,0.0,0.0,5.0,0.0,31.0,0.0,14.0,91.0,96.0,110.0,37.0,106.0,68.0,72.0,"District 5, Piscataway; Prince George's County; Maryland",033,90432,24
639.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,54.0,78.0,71.0,201.0,68.0,11.0,92.0,33.0,"District 14, Bowie; Prince George's County; Maryland",033,91256,24
180.0,0.0,0.0,7.0,9.0,0.0,8.0,0.0,34.0,0.0,0.0,7.0,15.0,0.0,20.0,32.0,48.0,"District 15, Mellwood; Prince George's County; Maryland",033,91348,24
675.0,23.0,15.0,4.0,35.0,6.0,41.0,40.0,43.0,20.0,99.0,53.0,132.0,82.0,17.0,65.0,0.0,"District 18, Seat Pleasant; Prince George's County; Maryland",033,91624,24
10153.0,240.0,219.0,331.0,369.0,527.0,692.0,611.0,583.0,427.0,1116.0,1323.0,1767.0,802.0,573.0,333.0,240.0,"District 17, Chillum; Prince George's County; Maryland",033,91532,24
1980.0,21.0,105.0,69.0,133.0,104.0,47.0,137.0,158.0,185.0,183.0,230.0,127.0,235.0,90.0,89.0,67.0,"District 19, Riverdale; Prince George's County; Maryland",033,91716,24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"District 8, Aquasco; Prince George's County; Maryland",033,90708,24
1721.0,64.0,31.0,40.0,60.0,167.0,33.0,25.0,27.0,181.0,56.0,188.0,290.0,225.0,100.0,124.0,110.0,"District 1, Anne Arundel County, Maryland",003,90008,24
1837.0,56.0,15.0,43.0,35.0,22.0,72.0,80.0,33.0,167.0,101.0,174.0,302.0,304.0,132.0,159.0,142.0,"District 4, Anne Arundel County, Maryland",003,90284,24
1652.0,48.0,20.0,67.0,30.0,121.0,26.0,0.0,152.0,83.0,317.0,205.0,300.0,105.0,30.0,93.0,55.0,"District 2, Anne Arundel County, Maryland",003,90100,24
2431.0,91.0,97.0,56.0,0.0,230.0,74.0,90.0,90.0,166.0,139.0,383.0,287.0,249.0,70.0,263.0,146.0,"District 6, Anne Arundel County, Maryland",003,90468,24
933.0,0.0,0.0,0.0,0.0,27.0,39.0,21.0,15.0,12.0,67.0,70.0,139.0,228.0,135.0,107.0,73.0,"District 3, Anne Arundel County, Maryland",003,90192,24
637.0,10.0,23.0,0.0,19.0,0.0,17.0,0.0,13.0,48.0,55.0,15.0,78.0,80.0,49.0,151.0,79.0,"District 5, Anne Arundel County, Maryland",003,90376,24
930.0,59.0,0.0,13.0,58.0,14.0,0.0,0.0,0.0,0.0,34.0,281.0,110.0,130.0,42.0,103.0,86.0,"District 7, Anne Arundel County, Maryland",003,90560,24
554.0,53.0,32.0,0.0,19.0,50.0,13.0,0.0,13.0,48.0,67.0,90.0,37.0,62.0,5.0,48.0,17.0,"District 3, Baltimore County, Maryland",005,90196,24
1616.0,74.0,91.0,60.0,113.0,27.0,0.0,298.0,45.0,33.0,115.0,134.0,135.0,231.0,84.0,140.0,36.0,"District 4, Baltimore County, Maryland",005,90288,24
1259.0,89.0,31.0,36.0,57.0,36.0,124.0,0.0,57.0,56.0,105.0,118.0,127.0,154.0,76.0,102.0,91.0,"District 9, Baltimore County, Maryland",005,90748,24
518.0,99.0,0.0,0.0,0.0,32.0,0.0,15.0,26.0,32.0,6.0,33.0,58.0,110.0,34.0,24.0,49.0,"District 11, Baltimore County, Maryland",005,90932,24
23.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,8.0,9.0,0.0,0.0,0.0,0.0,"District 7, Baltimore County, Maryland",005,90564,24
51.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,23.0,0.0,6.0,8.0,0.0,0.0,"District 5, Baltimore County, Maryland",005,90380,24
35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,"District 6, Baltimore County, Maryland",005,90472,24
951.0,46.0,13.0,15.0,107.0,36.0,83.0,32.0,17.0,83.0,189.0,104.0,110.0,58.0,32.0,21.0,5.0,"District 13, Baltimore County, Maryland",005,91112,24
927.0,17.0,13.0,7.0,32.0,0.0,28.0,39.0,63.0,26.0,255.0,177.0,170.0,27.0,27.0,41.0,5.0,"District 14, Baltimore County, Maryland",005,91204,24
1044.0,88.0,0.0,30.0,0.0,71.0,26.0,58.0,49.0,97.0,125.0,141.0,145.0,57.0,16.0,17.0,124.0,"District 8, Baltimore County, Maryland",005,90656,24
64.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,17.0,0.0,10.0,0.0,0.0,27.0,"District 10, Baltimore County, Maryland",005,90840,24
897.0,7.0,16.0,0.0,48.0,52.0,10.0,30.0,74.0,0.0,203.0,144.0,183.0,39.0,68.0,12.0,11.0,"District 1, Baltimore County, Maryland",005,90012,24
745.0,32.0,101.0,40.0,10.0,81.0,10.0,72.0,20.0,67.0,20.0,80.0,64.0,45.0,56.0,42.0,5.0,"District 12, Baltimore County, Maryland",005,91020,24
710.0,56.0,67.0,7.0,31.0,0.0,23.0,23.0,29.0,60.0,22.0,154.0,52.0,66.0,64.0,18.0,38.0,"District 2, Baltimore County, Maryland",005,90104,24
1351.0,27.0,22.0,11.0,25.0,110.0,73.0,36.0,93.0,42.0,51.0,121.0,143.0,157.0,163.0,79.0,198.0,"District 15, Baltimore County, Maryland",005,91296,24
29.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,"District 3, Middletown; Frederick County; Maryland",021,90224,24
26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,10.0,0.0,"District 14, Jefferson; Frederick County; Maryland",021,91232,24
459.0,34.0,0.0,16.0,0.0,0.0,0.0,24.0,0.0,0.0,46.0,66.0,22.0,42.0,43.0,105.0,61.0,"District 9, New Market; Frederick County; Maryland",021,90776,24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"District 10, Hauvers; Frederick County; Maryland",021,90868,24
51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,24.0,4.0,12.0,8.0,"District 16, Jackson; Frederick County; Maryland",021,91416,24
12.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"District 5, Emmitsburg; Frederick County; Maryland",021,90408,24
67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,20.0,0.0,12.0,24.0,"District 13, Mount Pleasant; Frederick County; Maryland",021,91140,24
43.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,10.0,0.0,16.0,6.0,0.0,0.0,0.0,"District 15, Thurmont; Frederick County; Maryland",021,91324,24
138.0,8.0,0.0,0.0,25.0,0.0,20.0,0.0,0.0,10.0,0.0,0.0,13.0,12.0,19.0,31.0,0.0,"District 23, Ballenger; Frederick County; Maryland",021,92060,24
73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,14.0,15.0,0.0,23.0,0.0,0.0,"District 18, Woodville; Frederick County; Maryland",021,91600,24
9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"District 8, Liberty; Frederick County; Maryland",021,90684,24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"District 20, Lewistown; Frederick County; Maryland",021,91784,24
123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,8.0,62.0,3.0,9.0,12.0,"District 21, Tuscarora; Frederick County; Maryland",021,91876,24
67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,9.0,0.0,25.0,14.0,"District 24, Braddock; Frederick County; Maryland",021,92152,24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"District 6, Catoctin; Frederick County; Maryland",021,90500,24
