B25003I_001E,B25003I_002E,B25003I_003E,name,county,county subdivision,state
162.0,25.0,137.0,"Bow CCD, Skagit County, Washington",057,90272,53
26.0,16.0,10.0,"Swinomish Reservation CCD, Skagit County, Washington",057,93360,53
2834.0,1194.0,1640.0,"Mount Vernon CCD, Skagit County, Washington",057,92096,53
924.0,270.0,654.0,"Burlington CCD, Skagit County, Washington",057,90384,53
70.0,39.0,31.0,"Conway CCD, Skagit County, Washington",057,90768,53
51.0,51.0,0.0,"La Conner CCD, Skagit County, Washington",057,91536,53
34.0,15.0,19.0,"Lyman-Hamilton CCD, Skagit County, Washington",057,91776,53
390.0,235.0,155.0,"Sedro-Woolley CCD, Skagit County, Washington",057,92944,53
15.0,4.0,11.0,"Clear Lake CCD, Skagit County, Washington",057,90608,53
236.0,94.0,142.0,"Anacortes CCD, Skagit County, Washington",057,90064,53
61.0,61.0,0.0,"Springdale CCD, Stevens County, Washington",065,93232,53
47.0,17.0,30.0,"Chewelah CCD, Stevens County, Washington",065,90560,53
181.0,105.0,76.0,"Colville CCD, Stevens County, Washington",065,90688,53
26.0,16.0,10.0,"Spokane Reservation CCD, Stevens County, Washington",065,93216,53
77.0,20.0,57.0,"Loon Lake CCD, Stevens County, Washington",065,91680,53
15.0,6.0,9.0,"Kettle Falls CCD, Stevens County, Washington",065,91472,53
5809.0,2125.0,3684.0,"Spokane CCD, Spokane County, Washington",063,93200,53
295.0,234.0,61.0,"Deer Park CCD, Spokane County, Washington",063,90880,53
32.0,4.0,28.0,"Rockford CCD, Spokane County, Washington",063,92816,53
29.0,29.0,0.0,"Valleyford CCD, Spokane County, Washington",063,93584,53
116.0,60.0,56.0,"Airway Heights CCD, Spokane County, Washington",063,90048,53
41.0,41.0,0.0,"Colbert CCD, Spokane County, Washington",063,90640,53
208.0,208.0,0.0,"Liberty Lake CCD, Spokane County, Washington",063,91616,53
32.0,32.0,0.0,"Mount Spokane CCD, Spokane County, Washington",063,92080,53
50.0,18.0,32.0,"Odessa CCD, Lincoln County, Washington",043,92304,53
27.0,24.0,3.0,"Wilbur CCD, Lincoln County, Washington",043,93760,53
63.0,43.0,20.0,"Davenport CCD, Lincoln County, Washington",043,90848,53
2787.0,1396.0,1391.0,"Wenatchee CCD, Chelan County, Washington",007,93712,53
569.0,226.0,343.0,"Cashmere CCD, Chelan County, Washington",007,90448,53
106.0,49.0,57.0,"Leavenworth-Lake Wenatchee CCD, Chelan County, Washington",007,91600,53
0.0,0.0,0.0,"Stehekin CCD, Chelan County, Washington",007,93280,53
438.0,212.0,226.0,"Port Angeles CCD, Clallam County, Washington",009,92592,53
198.0,88.0,110.0,"Forks CCD, Clallam County, Washington",009,91168,53
58.0,21.0,37.0,"Agnew-Carlsborg CCD, Clallam County, Washington",009,90032,53
