B07004H_001E,B07004H_002E,B07004H_003E,B07004H_004E,B07004H_005E,B07004H_006E,name,county,county subdivision,state
42330.0,35548.0,4298.0,1051.0,1356.0,77.0,"Kenai-Cook Inlet census subarea, Kenai Peninsula Borough, Alaska",122,38460,02
5788.0,4715.0,334.0,138.0,601.0,0.0,"Chugach census subarea, Valdez-Cordova Census Area, Alaska",261,14420,02
1890.0,1219.0,70.0,87.0,368.0,146.0,"Denali census subarea, Denali Borough, Alaska",068,18765,02
817.0,619.0,76.0,102.0,20.0,0.0,"Copper River census subarea, Valdez-Cordova Census Area, Alaska",261,17350,02
4229.0,3601.0,245.0,92.0,259.0,32.0,"Seward-Hope census subarea, Kenai Peninsula Borough, Alaska",122,68610,02
167.0,145.0,18.0,2.0,2.0,0.0,"McGrath-Holy Cross census subarea, Yukon-Koyukuk Census Area, Alaska",290,46060,02
280.0,226.0,18.0,20.0,14.0,2.0,"Lake and Peninsula census subarea, Lake and Peninsula Borough, Alaska",164,42780,02
5100.0,4263.0,421.0,247.0,145.0,24.0,"Southeast Fairbanks census subarea, Southeast Fairbanks Census Area, Alaska",240,72030,02
828.0,659.0,47.0,26.0,64.0,32.0,"Koyukuk-Middle Yukon census subarea, Yukon-Koyukuk Census Area, Alaska",290,42080,02
157.0,122.0,5.0,7.0,15.0,8.0,"Yukon Flats census subarea, Yukon-Koyukuk Census Area, Alaska",290,86690,02
174494.0,142970.0,19052.0,2936.0,8440.0,1096.0,"Anchorage census subarea, Anchorage Municipality, Alaska",020,03050,02
516.0,363.0,24.0,46.0,39.0,44.0,"Aleutians East census subarea, Aleutians East Borough, Alaska",013,01598,02
2704.0,2320.0,165.0,61.0,158.0,0.0,"Prince of Wales census subarea, Prince of Wales-Hyder Census Area, Alaska",198,64310,02
807.0,599.0,70.0,49.0,87.0,2.0,"Skagway census subarea, Skagway Municipality, Alaska",230,70810,02
0.0,0.0,0.0,0.0,0.0,0.0,"Hyder census subarea, Prince of Wales-Hyder Census Area, Alaska",198,34575,02
194.0,161.0,27.0,0.0,6.0,0.0,"Metlakatla Indian Community census subarea, Prince of Wales-Hyder Census Area, Alaska",198,48873,02
1588.0,1427.0,79.0,31.0,41.0,10.0,"Wrangell census subarea, Wrangell City and Borough, Alaska",275,86420,02
919.0,777.0,60.0,29.0,53.0,0.0,"Hoonah-Angoon census subarea, Hoonah-Angoon Census Area, Alaska",105,33390,02
7.0,5.0,0.0,2.0,0.0,0.0,"Klukwan census subarea, Hoonah-Angoon Census Area, Alaska",105,40560,02
1421.0,1081.0,106.0,61.0,156.0,17.0,"Aleutians West census subarea, Aleutians West Census Area, Alaska",016,01615,02
461.0,353.0,50.0,25.0,33.0,0.0,"Bristol Bay census subarea, Bristol Bay Borough, Alaska",060,09050,02
6779.0,5547.0,415.0,261.0,476.0,80.0,"Kodiak Island census subarea, Kodiak Island Borough, Alaska",150,41200,02
848.0,577.0,85.0,23.0,159.0,4.0,"Northwest Arctic census subarea, Northwest Arctic Borough, Alaska",188,56270,02
5455.0,4483.0,487.0,164.0,291.0,30.0,"Sitka census subarea, Sitka City and Borough, Alaska",220,70590,02
134.0,120.0,12.0,0.0,2.0,0.0,"Aniak census subarea, Bethel Census Area, Alaska",050,03580,02
1680.0,1382.0,160.0,99.0,37.0,2.0,"Lower Kuskokwim census subarea, Bethel Census Area, Alaska",050,45510,02
3027.0,2420.0,183.0,213.0,193.0,18.0,"North Slope census subarea, North Slope Borough, Alaska",185,55970,02
307.0,164.0,29.0,51.0,62.0,1.0,"Kusilvak census subarea, Kusilvak Census Area, Alaska",158,42185,02
2175.0,1869.0,178.0,53.0,71.0,4.0,"Petersburg census subarea, Petersburg Borough, Alaska",195,60360,02
70032.0,55957.0,7504.0,1017.0,5126.0,428.0,"Fairbanks North Star census subarea, Fairbanks North Star Borough, Alaska",090,24450,02
8761.0,7243.0,790.0,168.0,521.0,39.0,"Ketchikan census subarea, Ketchikan Gateway Borough, Alaska",130,39010,02
79836.0,67979.0,6684.0,2445.0,2495.0,233.0,"Matanuska-Susitna census subarea, Matanuska-Susitna Borough, Alaska",170,47440,02
1425.0,1029.0,106.0,90.0,190.0,10.0,"Nome census subarea, Nome Census Area, Alaska",180,54970,02
803.0,619.0,90.0,37.0,52.0,5.0,"Dillingham census subarea, Dillingham Census Area, Alaska",070,19000,02
1997.0,1741.0,124.0,78.0,35.0,19.0,"Haines census subarea, Haines Borough, Alaska",100,31160,02
297.0,215.0,36.0,5.0,41.0,0.0,"Yakutat census subarea, Yakutat City and Borough, Alaska",282,86498,02
21035.0,17674.0,2144.0,252.0,881.0,84.0,"Juneau census subarea, Juneau City and Borough, Alaska",110,36450,02
