B25003B_001E,B25003B_002E,B25003B_003E,name,county,county subdivision,state
3741.0,1881.0,1860.0,"District 1, Vansville; Prince George's County; Maryland",033,90064,24
6674.0,5330.0,1344.0,"District 3, Marlboro; Prince George's County; Maryland",033,90248,24
12081.0,4832.0,7249.0,"District 10, Laurel; Prince George's County; Maryland",033,90892,24
24074.0,15538.0,8536.0,"District 13, Kent; Prince George's County; Maryland",033,91164,24
31629.0,15269.0,16360.0,"District 6, Spauldings; Prince George's County; Maryland",033,90524,24
14825.0,11924.0,2901.0,"District 7, Queen Anne; Prince George's County; Maryland",033,90616,24
1902.0,864.0,1038.0,"District 16, Hyattsville; Prince George's County; Maryland",033,91440,24
9182.0,6021.0,3161.0,"District 20, Lanham; Prince George's County; Maryland",033,91808,24
9095.0,3544.0,5551.0,"District 21, Berwyn; Prince George's County; Maryland",033,91900,24
20645.0,10289.0,10356.0,"District 12, Oxon Hill; Prince George's County; Maryland",033,91072,24
327.0,319.0,8.0,"District 4, Nottingham; Prince George's County; Maryland",033,90340,24
9768.0,8643.0,1125.0,"District 5, Piscataway; Prince George's County; Maryland",033,90432,24
6535.0,4605.0,1930.0,"District 14, Bowie; Prince George's County; Maryland",033,91256,24
7905.0,6480.0,1425.0,"District 15, Mellwood; Prince George's County; Maryland",033,91348,24
11248.0,7100.0,4148.0,"District 18, Seat Pleasant; Prince George's County; Maryland",033,91624,24
11463.0,3720.0,7743.0,"District 17, Chillum; Prince George's County; Maryland",033,91532,24
1571.0,834.0,737.0,"District 19, Riverdale; Prince George's County; Maryland",033,91716,24
232.0,178.0,54.0,"District 8, Aquasco; Prince George's County; Maryland",033,90708,24
5642.0,3212.0,2430.0,"District 1, Anne Arundel County, Maryland",003,90008,24
9657.0,4757.0,4900.0,"District 4, Anne Arundel County, Maryland",003,90284,24
6851.0,2483.0,4368.0,"District 2, Anne Arundel County, Maryland",003,90100,24
4254.0,1846.0,2408.0,"District 6, Anne Arundel County, Maryland",003,90468,24
1881.0,1587.0,294.0,"District 3, Anne Arundel County, Maryland",003,90192,24
1028.0,807.0,221.0,"District 5, Anne Arundel County, Maryland",003,90376,24
2243.0,1339.0,904.0,"District 7, Anne Arundel County, Maryland",003,90560,24
6304.0,3800.0,2504.0,"District 3, Baltimore County, Maryland",005,90196,24
7125.0,2653.0,4472.0,"District 4, Baltimore County, Maryland",005,90288,24
7066.0,1976.0,5090.0,"District 9, Baltimore County, Maryland",005,90748,24
2737.0,1068.0,1669.0,"District 11, Baltimore County, Maryland",005,90932,24
49.0,30.0,19.0,"District 7, Baltimore County, Maryland",005,90564,24
