B25003I_001E,B25003I_002E,B25003I_003E,name,county,county subdivision,state
701.0,284.0,417.0,"Kenai-Cook Inlet census subarea, Kenai Peninsula Borough, Alaska",122,38460,02
129.0,37.0,92.0,"Chugach census subarea, Valdez-Cordova Census Area, Alaska",261,14420,02
17.0,17.0,0.0,"Denali census subarea, Denali Borough, Alaska",068,18765,02
5.0,3.0,2.0,"Copper River census subarea, Valdez-Cordova Census Area, Alaska",261,17350,02
27.0,5.0,22.0,"Seward-Hope census subarea, Kenai Peninsula Borough, Alaska",122,68610,02
7.0,0.0,7.0,"McGrath-Holy Cross census subarea, Yukon-Koyukuk Census Area, Alaska",290,46060,02
0.0,0.0,0.0,"Lake and Peninsula census subarea, Lake and Peninsula Borough, Alaska",164,42780,02
63.0,14.0,49.0,"Southeast Fairbanks census subarea, Southeast Fairbanks Census Area, Alaska",240,72030,02
9.0,0.0,9.0,"Koyukuk-Middle Yukon census subarea, Yukon-Koyukuk Census Area, Alaska",290,42080,02
11.0,0.0,11.0,"Yukon Flats census subarea, Yukon-Koyukuk Census Area, Alaska",290,86690,02
7616.0,3181.0,4435.0,"Anchorage census subarea, Anchorage Municipality, Alaska",020,03050,02
27.0,3.0,24.0,"Aleutians East census subarea, Aleutians East Borough, Alaska",013,01598,02
29.0,13.0,16.0,"Prince of Wales census subarea, Prince of Wales-Hyder Census Area, Alaska",198,64310,02
27.0,0.0,27.0,"Skagway census subarea, Skagway Municipality, Alaska",230,70810,02
0.0,0.0,0.0,"Hyder census subarea, Prince of Wales-Hyder Census Area, Alaska",198,34575,02
21.0,16.0,5.0,"Metlakatla Indian Community census subarea, Prince of Wales-Hyder Census Area, Alaska",198,48873,02
12.0,0.0,12.0,"Wrangell census subarea, Wrangell City and Borough, Alaska",275,86420,02
28.0,2.0,26.0,"Hoonah-Angoon census subarea, Hoonah-Angoon Census Area, Alaska",105,33390,02
0.0,0.0,0.0,"Klukwan census subarea, Hoonah-Angoon Census Area, Alaska",105,40560,02
68.0,7.0,61.0,"Aleutians West census subarea, Aleutians West Census Area, Alaska",016,01615,02
16.0,3.0,13.0,"Bristol Bay census subarea, Bristol Bay Borough, Alaska",060,09050,02
250.0,170.0,80.0,"Kodiak Island census subarea, Kodiak Island Borough, Alaska",150,41200,02
32.0,20.0,12.0,"Northwest Arctic census subarea, Northwest Arctic Borough, Alaska",188,56270,02
154.0,63.0,91.0,"Sitka census subarea, Sitka City and Borough, Alaska",220,70590,02
2.0,0.0,2.0,"Aniak census subarea, Bethel Census Area, Alaska",050,03580,02
40.0,4.0,36.0,"Lower Kuskokwim census subarea, Bethel Census Area, Alaska",050,45510,02
15.0,8.0,7.0,"North Slope census subarea, North Slope Borough, Alaska",185,55970,02
19.0,15.0,4.0,"Kusilvak census subarea, Kusilvak Census Area, Alaska",158,42185,02
76.0,58.0,18.0,"Petersburg census subarea, Petersburg Borough, Alaska",195,60360,02
2221.0,958.0,1263.0,"Fairbanks North Star census subarea, Fairbanks North Star Borough, Alaska",090,24450,02
245.0,118.0,127.0,"Ketchikan census subarea, Ketchikan Gateway Borough, Alaska",130,39010,02
888.0,641.0,247.0,"Matanuska-Susitna census subarea, Matanuska-Susitna Borough, Alaska",170,47440,02
57.0,27.0,30.0,"Nome census subarea, Nome Census Area, Alaska",180,54970,02
52.0,25.0,27.0,"Dillingham census subarea, Dillingham Census Area, Alaska",070,19000,02
2.0,0.0,2.0,"Haines census subarea, Haines Borough, Alaska",100,31160,02
10.0,6.0,4.0,"Yakutat census subarea, Yakutat City and Borough, Alaska",282,86498,02
585.0,198.0,387.0,"Juneau census subarea, Juneau City and Borough, Alaska",110,36450,02
