B25003D_001E,B25003D_002E,B25003D_003E,name,county,county subdivision,state
0.0,0.0,0.0,"Dixie Valley CCD, Churchill County, Nevada",001,94238,32
135.0,42.0,93.0,"Fallon CCD, Churchill County, Nevada",001,94308,32
0.0,0.0,0.0,"Carson Sink CCD, Churchill County, Nevada",001,94154,32
43.0,31.0,12.0,"Genoa-Jacks Valley CCD, Douglas County, Nevada",005,94378,32
0.0,0.0,0.0,"Pine Nut CCD, Douglas County, Nevada",005,94658,32
43.0,24.0,19.0,"Zephyr Cove CCD, Douglas County, Nevada",005,94952,32
98.0,68.0,30.0,"Gardnerville-Minden CCD, Douglas County, Nevada",005,94364,32
9.0,5.0,4.0,"Topaz Lake CCD, Douglas County, Nevada",005,94826,32
0.0,0.0,0.0,"Battle Mountain CCD, Lander County, Nevada",015,94070,32
0.0,0.0,0.0,"Austin CCD, Lander County, Nevada",015,94042,32
9.0,3.0,6.0,"Lovelock CCD, Pershing County, Nevada",027,94518,32
29.0,29.0,0.0,"Imlay CCD, Pershing County, Nevada",027,94448,32
5.0,5.0,0.0,"McDermitt CCD, Humboldt County, Nevada",013,94546,32
0.0,0.0,0.0,"Goldfield CCD, Esmeralda County, Nevada",009,94420,32
0.0,0.0,0.0,"Beowawe CCD, Eureka County, Nevada",011,94098,32
0.0,0.0,0.0,"Eureka CCD, Eureka County, Nevada",011,94294,32
0.0,0.0,0.0,"Golconda CCD, Humboldt County, Nevada",013,94406,32
0.0,0.0,0.0,"Mina CCD, Mineral County, Nevada",021,94588,32
0.0,0.0,0.0,"Summit Lake CCD, Humboldt County, Nevada",013,94798,32
16.0,2.0,14.0,"Winnemucca CCD, Humboldt County, Nevada",013,94910,32
39.0,0.0,39.0,"Hawthorne CCD, Mineral County, Nevada",021,94434,32
4.0,0.0,4.0,"Walker River CCD, Mineral County, Nevada",021,94868,32
0.0,0.0,0.0,"Cherry Creek CCD, White Pine County, Nevada",033,94168,32
13.0,13.0,0.0,"Ely CCD, White Pine County, Nevada",033,94280,32
0.0,0.0,0.0,"McGill CCD, White Pine County, Nevada",033,94560,32
0.0,0.0,0.0,"Lund CCD, White Pine County, Nevada",033,94532,32
0.0,0.0,0.0,"Ruth CCD, White Pine County, Nevada",033,94742,32
0.0,0.0,0.0,"Baker CCD, White Pine County, Nevada",033,94056,32
3.0,3.0,0.0,"Wells CCD, Elko County, Nevada",007,94882,32
0.0,0.0,0.0,"Jackpot CCD, Elko County, Nevada",007,94476,32
0.0,0.0,0.0,"West Wendover CCD, Elko County, Nevada",007,94896,32
176.0,122.0,54.0,"Elko CCD, Elko County, Nevada",007,94266,32
0.0,0.0,0.0,"Montello CCD, Elko County, Nevada",007,94602,32
0.0,0.0,0.0,"Carlin CCD, Elko County, Nevada",007,94126,32
0.0,0.0,0.0,"Jarbidge CCD, Elko County, Nevada",007,94490,32
12.0,0.0,12.0,"Mountain City CCD, Elko County, Nevada",007,94616,32
0.0,0.0,0.0,"Alamo CCD, Lincoln County, Nevada",017,94014,32
0.0,0.0,0.0,"Caliente CCD, Lincoln County, Nevada",017,94112,32
33.0,33.0,0.0,"Pioche CCD, Lincoln County, Nevada",017,94672,32
0.0,0.0,0.0,"Amargosa Valley CCD, Nye County, Nevada",023,94028,32
0.0,0.0,0.0,"Round Mountain CCD, Nye County, Nevada",023,94728,32
328.0,206.0,122.0,"Pahrump CCD, Nye County, Nevada",023,94644,32
0.0,0.0,0.0,"Yucca Flat CCD, Nye County, Nevada",023,94938,32
0.0,0.0,0.0,"Duckwater CCD, Nye County, Nevada",023,94252,32
14.0,14.0,0.0,"Clark CCD, Storey County, Nevada",029,94196,32
0.0,0.0,0.0,"Gabbs CCD, Nye County, Nevada",023,94350,32
0.0,0.0,0.0,"Beatty CCD, Nye County, Nevada",023,94084,32
0.0,0.0,0.0,"Tonopah CCD, Nye County, Nevada",023,94812,32
0.0,0.0,0.0,"Virginia City CCD, Storey County, Nevada",029,94854,32
0.0,0.0,0.0,"High Desert CCD, Washoe County, Nevada",031,94440,32
203.0,165.0,38.0,"Sun Valley CCD, Washoe County, Nevada",031,94804,32
2012.0,969.0,1043.0,"Reno Southeast CCD, Washoe County, Nevada",031,94709,32
9.0,9.0,0.0,"Pyramid Lake CCD, Washoe County, Nevada",031,94686,32
112.0,112.0,0.0,"Verdi CCD, Washoe County, Nevada",031,94840,32
786.0,612.0,174.0,"Warm Springs-Truckee Canyon CCD, Washoe County, Nevada",031,94871,32
1025.0,672.0,353.0,"Reno Southwest CCD, Washoe County, Nevada",031,94712,32
608.0,465.0,143.0,"North Valleys CCD, Washoe County, Nevada",031,94635,32
1015.0,592.0,423.0,"Sparks CCD, Washoe County, Nevada",031,94794,32
50.0,37.0,13.0,"Washoe Valley CCD, Washoe County, Nevada",031,94874,32
