B07004D_001E,B07004D_002E,B07004D_003E,B07004D_004E,B07004D_005E,B07004D_006E,name,county,county subdivision,state
9.0,9.0,0.0,0.0,0.0,0.0,"Sunburst CCD, Toole County, Montana",101,93402,30
0.0,0.0,0.0,0.0,0.0,0.0,"Glacier National Park CCD, Glacier County, Montana",035,91460,30
0.0,0.0,0.0,0.0,0.0,0.0,"Fort Peck Reservation CCD, Daniels County, Montana",019,91218,30
0.0,0.0,0.0,0.0,0.0,0.0,"Lavina CCD, Golden Valley County, Montana",037,92016,30
20.0,20.0,0.0,0.0,0.0,0.0,"Cut Bank CCD, Glacier County, Montana",035,90777,30
25.0,25.0,0.0,0.0,0.0,0.0,"Baker CCD, Fallon County, Montana",025,90168,30
3.0,3.0,0.0,0.0,0.0,0.0,"Plevna CCD, Fallon County, Montana",025,92730,30
0.0,0.0,0.0,0.0,0.0,0.0,"Ryegate CCD, Golden Valley County, Montana",037,92940,30
0.0,0.0,0.0,0.0,0.0,0.0,"Stanford CCD, Judith Basin County, Montana",045,93318,30
0.0,0.0,0.0,0.0,0.0,0.0,"Geyser CCD, Judith Basin County, Montana",045,91407,30
0.0,0.0,0.0,0.0,0.0,0.0,"Hobson CCD, Judith Basin County, Montana",045,91785,30
267.0,255.0,0.0,0.0,11.0,1.0,"Butte CCD, Silver Bow County, Montana",093,90483,30
0.0,0.0,0.0,0.0,0.0,0.0,"Park City CCD, Stillwater County, Montana",095,92604,30
19.0,19.0,0.0,0.0,0.0,0.0,"Columbus CCD, Stillwater County, Montana",095,90693,30
22.0,22.0,0.0,0.0,0.0,0.0,"Absarokee CCD, Stillwater County, Montana",095,90021,30
0.0,0.0,0.0,0.0,0.0,0.0,"North Stillwater CCD, Stillwater County, Montana",095,92510,30
48.0,48.0,0.0,0.0,0.0,0.0,"Anaconda CCD, Deer Lodge County, Montana",023,90063,30
19.0,19.0,0.0,0.0,0.0,0.0,"Boulder CCD, Jefferson County, Montana",043,90399,30
5.0,5.0,0.0,0.0,0.0,0.0,"Whitehall CCD, Jefferson County, Montana",043,93822,30
2.0,0.0,0.0,0.0,0.0,2.0,"Drummond CCD, Granite County, Montana",039,90945,30
0.0,0.0,0.0,0.0,0.0,0.0,"Philipsburg CCD, Granite County, Montana",039,92625,30
0.0,0.0,0.0,0.0,0.0,0.0,"Circle CCD, McCone County, Montana",055,90630,30
8.0,8.0,0.0,0.0,0.0,0.0,"North McCone CCD, McCone County, Montana",055,92487,30
0.0,0.0,0.0,0.0,0.0,0.0,"Harlowton CCD, Wheatland County, Montana",107,91659,30
0.0,0.0,0.0,0.0,0.0,0.0,"Judith Gap-Shawmut CCD, Wheatland County, Montana",107,91869,30
0.0,0.0,0.0,0.0,0.0,0.0,"Twin Bridges CCD, Madison County, Montana",057,93633,30
3.0,0.0,0.0,0.0,0.0,3.0,"Virginia City CCD, Madison County, Montana",057,93717,30
1.0,0.0,0.0,1.0,0.0,0.0,"Harrison CCD, Madison County, Montana",057,91680,30
4.0,4.0,0.0,0.0,0.0,0.0,"Sheridan CCD, Madison County, Montana",057,93045,30
0.0,0.0,0.0,0.0,0.0,0.0,"Madison Valley CCD, Madison County, Montana",057,92184,30
84.0,52.0,0.0,0.0,17.0,15.0,"Rosebud CCD, Rosebud County, Montana",087,92856,30
0.0,0.0,0.0,0.0,0.0,0.0,"Ashland CCD, Rosebud County, Montana",087,90084,30
0.0,0.0,0.0,0.0,0.0,0.0,"Forsyth CCD, Rosebud County, Montana",087,91155,30
0.0,0.0,0.0,0.0,0.0,0.0,"North of the Yellowstone CCD, Rosebud County, Montana",087,92491,30
0.0,0.0,0.0,0.0,0.0,0.0,"Fort Peck Reservation CCD, Sheridan County, Montana",091,91260,30
27.0,27.0,0.0,0.0,0.0,0.0,"Plentywood CCD, Sheridan County, Montana",091,92709,30
4.0,0.0,0.0,0.0,0.0,4.0,"Westby CCD, Sheridan County, Montana",091,93738,30
0.0,0.0,0.0,0.0,0.0,0.0,"Medicine Lake CCD, Sheridan County, Montana",091,92268,30
0.0,0.0,0.0,0.0,0.0,0.0,"Ekalaka CCD, Carter County, Montana",011,91050,30
32.0,32.0,0.0,0.0,0.0,0.0,"Glendive CCD, Dawson County, Montana",021,91491,30
14.0,9.0,0.0,0.0,5.0,0.0,"Hardin CCD, Big Horn County, Montana",003,91617,30
0.0,0.0,0.0,0.0,0.0,0.0,"Crow Reservation CCD, Big Horn County, Montana",003,90756,30
0.0,0.0,0.0,0.0,0.0,0.0,"Townsend East CCD, Broadwater County, Montana",007,93570,30
0.0,0.0,0.0,0.0,0.0,0.0,"Townsend West CCD, Broadwater County, Montana",007,93591,30
0.0,0.0,0.0,0.0,0.0,0.0,"Wolf Creek CCD, Lewis and Clark County, Montana",049,93990,30
0.0,0.0,0.0,0.0,0.0,0.0,"Augusta CCD, Lewis and Clark County, Montana",049,90105,30
42.0,6.0,34.0,0.0,2.0,0.0,"Lincoln CCD, Lewis and Clark County, Montana",049,92100,30
398.0,259.0,114.0,9.0,16.0,0.0,"Helena CCD, Lewis and Clark County, Montana",049,91722,30
0.0,0.0,0.0,0.0,0.0,0.0,"Valier-Dupuyer CCD, Pondera County, Montana",073,93675,30
11.0,11.0,0.0,0.0,0.0,0.0,"Conrad CCD, Pondera County, Montana",073,90714,30
12.0,12.0,0.0,0.0,0.0,0.0,"Huntley Project CCD, Yellowstone County, Montana",111,91806,30
70.0,24.0,0.0,0.0,43.0,3.0,"South Yellowstone CCD, Yellowstone County, Montana",111,93297,30
55.0,55.0,0.0,0.0,0.0,0.0,"Laurel CCD, Yellowstone County, Montana",111,91995,30
785.0,647.0,9.0,0.0,113.0,16.0,"Billings CCD, Yellowstone County, Montana",111,90315,30
5.0,5.0,0.0,0.0,0.0,0.0,"Northwest Yellowstone CCD, Yellowstone County, Montana",111,92541,30
18.0,18.0,0.0,0.0,0.0,0.0,"Shepherd CCD, Yellowstone County, Montana",111,93024,30
1453.0,1226.0,88.0,8.0,28.0,103.0,"Missoula CCD, Missoula County, Montana",063,92331,30
113.0,113.0,0.0,0.0,0.0,0.0,"Lolo CCD, Missoula County, Montana",063,92142,30
3.0,3.0,0.0,0.0,0.0,0.0,"Seeley Lake-Blackfoot Valley CCD, Missoula County, Montana",063,93003,30
0.0,0.0,0.0,0.0,0.0,0.0,"Darby CCD, Ravalli County, Montana",081,90819,30
0.0,0.0,0.0,0.0,0.0,0.0,"Victor CCD, Ravalli County, Montana",081,93696,30
118.0,118.0,0.0,0.0,0.0,0.0,"Stevensville CCD, Ravalli County, Montana",081,93339,30
132.0,128.0,0.0,0.0,0.0,4.0,"Hamilton CCD, Ravalli County, Montana",081,91575,30
13.0,13.0,0.0,0.0,0.0,0.0,"Glasgow CCD, Valley County, Montana",105,91470,30
5.0,5.0,0.0,0.0,0.0,0.0,"Hinsdale CCD, Valley County, Montana",105,91764,30
0.0,0.0,0.0,0.0,0.0,0.0,"South Valley CCD, Valley County, Montana",105,93276,30
0.0,0.0,0.0,0.0,0.0,0.0,"Opheim CCD, Valley County, Montana",105,92562,30
10.0,8.0,0.0,0.0,0.0,2.0,"Fort Peck Reservation CCD, Valley County, Montana",105,91281,30
7.0,7.0,0.0,0.0,0.0,0.0,"Great Falls North CCD, Cascade County, Montana",013,91554,30
0.0,0.0,0.0,0.0,0.0,0.0,"Belt CCD, Cascade County, Montana",013,90231,30
11.0,11.0,0.0,0.0,0.0,0.0,"Sun River Valley CCD, Cascade County, Montana",013,93423,30
5.0,5.0,0.0,0.0,0.0,0.0,"Cascade CCD, Cascade County, Montana",013,90525,30
0.0,0.0,0.0,0.0,0.0,0.0,"Monarch-Neihart CCD, Cascade County, Montana",013,92373,30
711.0,339.0,199.0,0.0,113.0,60.0,"Great Falls CCD, Cascade County, Montana",013,91533,30
0.0,0.0,0.0,0.0,0.0,0.0,"Eden-Stockett CCD, Cascade County, Montana",013,91029,30
0.0,0.0,0.0,0.0,0.0,0.0,"Sula CCD, Ravalli County, Montana",081,93380,30
8.0,8.0,0.0,0.0,0.0,0.0,"Richey CCD, Dawson County, Montana",021,92782,30
0.0,0.0,0.0,0.0,0.0,0.0,"Flathead Reservation CCD, Flathead County, Montana",029,91118,30
1.0,0.0,0.0,0.0,0.0,1.0,"Lakeside-Somers CCD, Flathead County, Montana",029,91964,30
0.0,0.0,0.0,0.0,0.0,0.0,"Scobey CCD, Daniels County, Montana",019,92992,30
0.0,0.0,0.0,0.0,0.0,0.0,"Blackfeet Reservation East CCD, Pondera County, Montana",073,90357,30
8.0,3.0,0.0,5.0,0.0,0.0,"Blackfeet Reservation West CCD, Pondera County, Montana",073,90378,30
7.0,7.0,0.0,0.0,0.0,0.0,"Livingston CCD, Park County, Montana",067,92131,30
0.0,0.0,0.0,0.0,0.0,0.0,"Yellowstone National Park CCD, Park County, Montana",067,94019,30
12.0,12.0,0.0,0.0,0.0,0.0,"Flathead Reservation CCD, Sanders County, Montana",089,91134,30
20.0,20.0,0.0,0.0,0.0,0.0,"Blackfeet Reservation CCD, Glacier County, Montana",035,90336,30
0.0,0.0,0.0,0.0,0.0,0.0,"Northeast Yellowstone CCD, Yellowstone County, Montana",111,92426,30
0.0,0.0,0.0,0.0,0.0,0.0,"Fort Belknap Reservation CCD, Phillips County, Montana",071,91186,30
0.0,0.0,0.0,0.0,0.0,0.0,"South Phillips CCD, Phillips County, Montana",071,93223,30
0.0,0.0,0.0,0.0,0.0,0.0,"Alzada-Boyes CCD, Carter County, Montana",011,90052,30
20.0,20.0,0.0,0.0,0.0,0.0,"Butte-Silver Bow Northwest CCD, Silver Bow County, Montana",093,90485,30
0.0,0.0,0.0,0.0,0.0,0.0,"Butte-Silver Bow South CCD, Silver Bow County, Montana",093,90487,30
0.0,0.0,0.0,0.0,0.0,0.0,"Flathead Reservation CCD, Missoula County, Montana",063,91128,30
0.0,0.0,0.0,0.0,0.0,0.0,"Hanover CCD, Fergus County, Montana",027,91596,30
