B19001H_001E,B19001H_002E,B19001H_003E,B19001H_004E,B19001H_005E,B19001H_006E,B19001H_007E,B19001H_008E,B19001H_009E,B19001H_010E,B19001H_011E,B19001H_012E,B19001H_013E,B19001H_014E,B19001H_015E,B19001H_016E,B19001H_017E,name,county,county subdivision,state
1362.0,87.0,36.0,27.0,31.0,74.0,56.0,66.0,50.0,63.0,122.0,66.0,241.0,105.0,102.0,141.0,95.0,"Corbett CCD, Multnomah County, Oregon",051,90663,41
1092.0,55.0,44.0,49.0,0.0,24.0,26.0,49.0,49.0,31.0,40.0,124.0,153.0,96.0,91.0,81.0,180.0,"Skyline CCD, Multnomah County, Oregon",051,92975,41
894.0,23.0,30.0,57.0,56.0,40.0,37.0,42.0,37.0,58.0,78.0,93.0,119.0,98.0,55.0,28.0,43.0,"Cove CCD, Union County, Oregon",061,90714,41
55.0,0.0,0.0,0.0,11.0,9.0,0.0,8.0,0.0,0.0,9.0,0.0,0.0,0.0,18.0,0.0,0.0,"Starkey CCD, Union County, Oregon",061,93111,41
1233.0,71.0,71.0,94.0,57.0,130.0,21.0,64.0,83.0,64.0,124.0,159.0,174.0,62.0,21.0,20.0,18.0,"Elgin CCD, Union County, Oregon",061,91037,41
6164.0,548.0,329.0,295.0,443.0,474.0,291.0,257.0,376.0,334.0,387.0,548.0,808.0,453.0,132.0,212.0,277.0,"La Grande CCD, Union County, Oregon",061,91615,41
1185.0,83.0,91.0,131.0,41.0,57.0,69.0,61.0,61.0,50.0,140.0,47.0,172.0,87.0,33.0,27.0,35.0,"Union CCD, Union County, Oregon",061,93281,41
514.0,13.0,34.0,37.0,69.0,20.0,28.0,38.0,26.0,61.0,26.0,65.0,37.0,18.0,4.0,24.0,14.0,"Yonna Valley-Poe Valley CCD, Klamath County, Oregon",035,93594,41
929.0,12.0,59.0,64.0,54.0,42.0,43.0,30.0,71.0,17.0,123.0,65.0,176.0,88.0,40.0,27.0,18.0,"East Marion CCD, Marion County, Oregon",047,90994,41
2456.0,120.0,42.0,106.0,16.0,85.0,70.0,72.0,112.0,53.0,215.0,245.0,339.0,310.0,223.0,230.0,218.0,"Beavercreek CCD, Clackamas County, Oregon",005,90272,41
1619.0,97.0,60.0,50.0,53.0,27.0,38.0,82.0,96.0,65.0,140.0,79.0,319.0,210.0,70.0,149.0,84.0,"Chehalem Mountains CCD, Washington County, Oregon",067,90510,41
533.0,52.0,31.0,25.0,38.0,41.0,41.0,33.0,19.0,20.0,15.0,75.0,60.0,21.0,49.0,5.0,8.0,"Langell Valley CCD, Klamath County, Oregon",035,91651,41
19052.0,627.0,567.0,404.0,580.0,739.0,728.0,616.0,859.0,637.0,1277.0,1812.0,3059.0,2135.0,1111.0,1953.0,1948.0,"Rockcreek CCD, Washington County, Oregon",067,92678,41
793.0,62.0,40.0,44.0,39.0,78.0,29.0,33.0,36.0,51.0,51.0,95.0,111.0,68.0,44.0,9.0,3.0,"Wingville-Haines CCD, Baker County, Oregon",001,93555,41
2038.0,107.0,24.0,64.0,160.0,128.0,27.0,118.0,126.0,107.0,219.0,156.0,300.0,109.0,181.0,99.0,113.0,"McKenzie River CCD, Lane County, Oregon",039,91719,41
850.0,71.0,77.0,61.0,62.0,44.0,53.0,64.0,36.0,22.0,69.0,54.0,111.0,74.0,22.0,12.0,18.0,"Middle Siuslaw River-Triangle Lake CCD, Lane County, Oregon",039,91889,41
5648.0,500.0,402.0,408.0,588.0,424.0,429.0,276.0,364.0,221.0,314.0,605.0,511.0,200.0,107.0,168.0,131.0,"Florence CCD, Lane County, Oregon",039,91147,41
1097.0,63.0,95.0,81.0,60.0,60.0,34.0,33.0,73.0,52.0,82.0,155.0,95.0,60.0,78.0,48.0,28.0,"Dunes City CCD, Lane County, Oregon",039,90943,41
8667.0,725.0,441.0,509.0,338.0,566.0,356.0,440.0,420.0,360.0,1010.0,940.0,1030.0,722.0,461.0,188.0,161.0,"Hermiston-Umatilla CCD, Umatilla County, Oregon",059,91334,41
565.0,11.0,5.0,21.0,8.0,56.0,24.0,7.0,13.0,45.0,47.0,73.0,69.0,100.0,34.0,32.0,20.0,"Upper Siuslaw River CCD, Lane County, Oregon",039,93300,41
5859.0,422.0,408.0,391.0,505.0,494.0,648.0,286.0,277.0,210.0,366.0,505.0,551.0,385.0,181.0,175.0,55.0,"Prineville CCD, Crook County, Oregon",013,92592,41
4945.0,368.0,290.0,352.0,353.0,347.0,279.0,280.0,241.0,212.0,376.0,468.0,623.0,318.0,197.0,134.0,107.0,"Newport CCD, Lincoln County, Oregon",041,92133,41
4758.0,348.0,469.0,271.0,416.0,344.0,345.0,221.0,267.0,173.0,502.0,438.0,445.0,186.0,136.0,111.0,86.0,"Lincoln City CCD, Lincoln County, Oregon",041,91674,41
