B19013I_001E,name,county,county subdivision,state
-666666666.0,"Green township, Lawrence County, Missouri",109,28972,29
-666666666.0,"Colfax township, Harrison County, Missouri",081,15508,29
-666666666.0,"Fox Creek township, Harrison County, Missouri",081,25455,29
-666666666.0,"Jefferson township, Daviess County, Missouri",061,36782,29
-666666666.0,"Liberty township, Daviess County, Missouri",061,42104,29
-666666666.0,"Union township, Daviess County, Missouri",061,74590,29
-666666666.0,"Grant township, Harrison County, Missouri",081,28486,29
-666666666.0,"Madison township, Harrison County, Missouri",081,45398,29
-666666666.0,"Cypress township, Harrison County, Missouri",081,17956,29
-666666666.0,"Marion township, Harrison County, Missouri",081,46046,29
-666666666.0,"Sugar Creek township, Harrison County, Missouri",081,71350,29
-666666666.0,"Union township, Harrison County, Missouri",081,74662,29
-666666666.0,"Dover township, Lafayette County, Missouri",107,19936,29
-666666666.0,"Sni-A-Bar township, Lafayette County, Missouri",107,68456,29
-666666666.0,"Davis township, Lafayette County, Missouri",107,18406,29
-666666666.0,"Washington township, Lafayette County, Missouri",107,77560,29
-666666666.0,"Clay township, Lafayette County, Missouri",107,14428,29
-666666666.0,"Middleton township, Lafayette County, Missouri",107,47882,29
-666666666.0,"Lexington township, Lafayette County, Missouri",107,41888,29
-666666666.0,"Freedom township, Lafayette County, Missouri",107,25858,29
-666666666.0,"Chalk Level township, St. Clair County, Missouri",185,13024,29
-666666666.0,"Speedwell township, St. Clair County, Missouri",185,69356,29
-666666666.0,"Taber township, St. Clair County, Missouri",185,72124,29
-666666666.0,"Roscoe township, St. Clair County, Missouri",185,63092,29
-666666666.0,"Collins township, St. Clair County, Missouri",185,15580,29
-666666666.0,"Monegaw township, St. Clair County, Missouri",185,49142,29
-666666666.0,"Appleton township, St. Clair County, Missouri",185,01504,29
-666666666.0,"Doyal township, St. Clair County, Missouri",185,20008,29
-666666666.0,"Jackson township, St. Clair County, Missouri",185,36080,29
65130.0,"Liberty township, Pulaski County, Missouri",169,42266,29
39648.0,"Cullen township, Pulaski County, Missouri",169,17740,29
-666666666.0,"Roubidoux township, Pulaski County, Missouri",169,63254,29
-666666666.0,"Union township, Pulaski County, Missouri",169,74878,29
-666666666.0,"Piney township, Pulaski County, Missouri",169,57872,29
-666666666.0,"Sherman township, Putnam County, Missouri",171,67466,29
-666666666.0,"Wilson township, Putnam County, Missouri",171,80242,29
-666666666.0,"Grant township, Putnam County, Missouri",171,28522,29
-666666666.0,"Richland township, Putnam County, Missouri",171,61580,29
-666666666.0,"Union township, Putnam County, Missouri",171,74896,29
-666666666.0,"Lincoln township, Putnam County, Missouri",171,42842,29
-666666666.0,"Elm township, Putnam County, Missouri",171,21952,29
-666666666.0,"Jackson township, Putnam County, Missouri",171,36026,29
-666666666.0,"Liberty township, Putnam County, Missouri",171,42284,29
-666666666.0,"York township, Putnam County, Missouri",171,81340,29
-666666666.0,"Medicine township, Putnam County, Missouri",171,47126,29
-666666666.0,"Cedar Creek township, Taney County, Missouri",213,12286,29
-666666666.0,"Scott township, Taney County, Missouri",213,66350,29
27447.0,"Branson township, Taney County, Missouri",213,07984,29
51500.0,"Swan township, Taney County, Missouri",213,71818,29
-666666666.0,"Tavern township, Pulaski County, Missouri",169,72448,29
26250.0,"Jasper township, Taney County, Missouri",213,36584,29
-666666666.0,"Beaver township, Taney County, Missouri",213,03808,29
-666666666.0,"Big Creek township, Taney County, Missouri",213,05446,29
-666666666.0,"Oliver township, Taney County, Missouri",213,54632,29
-666666666.0,"Carroll township, Texas County, Missouri",215,11548,29
-666666666.0,"Jackson township, Texas County, Missouri",215,36170,29
-666666666.0,"Lynch township, Texas County, Missouri",215,44660,29
-666666666.0,"Roubidoux township, Texas County, Missouri",215,63290,29
-666666666.0,"Morris township, Texas County, Missouri",215,50042,29
70556.0,"Piney township, Texas County, Missouri",215,57890,29
-666666666.0,"Sherrill township, Texas County, Missouri",215,67520,29
-666666666.0,"Current township, Texas County, Missouri",215,17848,29
-666666666.0,"Cass township, Texas County, Missouri",215,11854,29
-666666666.0,"Clinton township, Texas County, Missouri",215,15022,29
-666666666.0,"Date township, Texas County, Missouri",215,18334,29
-666666666.0,"Upton township, Texas County, Missouri",215,75292,29
-666666666.0,"Dallas township, St. Clair County, Missouri",185,18100,29
-666666666.0,"Center township, St. Clair County, Missouri",185,12628,29
-666666666.0,"Butler township, St. Clair County, Missouri",185,10108,29
-666666666.0,"Washington township, St. Clair County, Missouri",185,77686,29
-666666666.0,"Polk township, St. Clair County, Missouri",185,58862,29
-666666666.0,"Osage township, St. Clair County, Missouri",185,55208,29
-666666666.0,"Osceola township, St. Clair County, Missouri",185,55406,29
-666666666.0,"Wilson township, Adair County, Missouri",001,80134,29
-666666666.0,"Clay township, Adair County, Missouri",001,14248,29
-666666666.0,"Salt River township, Adair County, Missouri",001,65540,29
-666666666.0,"Liberty township, Adair County, Missouri",001,41924,29
-666666666.0,"Pettis township, Adair County, Missouri",001,57224,29
-666666666.0,"Polk township, Adair County, Missouri",001,58682,29
13977.0,"Benton township, Adair County, Missouri",001,04546,29
-666666666.0,"Walnut township, Adair County, Missouri",001,76786,29
-666666666.0,"Morrow township, Adair County, Missouri",001,50096,29
-666666666.0,"Nineveh township, Adair County, Missouri",001,52526,29
-666666666.0,"Glenwood township, Schuyler County, Missouri",197,27532,29
-666666666.0,"Prairie township, Schuyler County, Missouri",197,59672,29
-666666666.0,"Fabius township, Schuyler County, Missouri",197,23194,29
-666666666.0,"Salt River township, Schuyler County, Missouri",197,65648,29
-666666666.0,"Chariton township, Schuyler County, Missouri",197,13294,29
-666666666.0,"Liberty township, Schuyler County, Missouri",197,42338,29
-666666666.0,"Independence township, Schuyler County, Missouri",197,35054,29
-666666666.0,"Union township, Scotland County, Missouri",199,74986,29
-666666666.0,"Miller township, Scotland County, Missouri",199,48314,29
-666666666.0,"Mount Pleasant township, Scotland County, Missouri",199,50618,29
-666666666.0,"Sand Hill township, Scotland County, Missouri",199,65828,29
-666666666.0,"Thomson township, Scotland County, Missouri",199,73060,29
-666666666.0,"Tobin township, Scotland County, Missouri",199,73492,29
-666666666.0,"Jefferson township, Scotland County, Missouri",199,36980,29
-666666666.0,"Johnson township, Scotland County, Missouri",199,37466,29
-666666666.0,"Harrison township, Scotland County, Missouri",199,30574,29
-666666666.0,"Vest township, Scotland County, Missouri",199,75958,29
-666666666.0,"Pleasant Hill township, Sullivan County, Missouri",211,58430,29
-666666666.0,"Buchanan township, Sullivan County, Missouri",211,09280,29
-666666666.0,"Burdine township, Texas County, Missouri",215,09766,29
-666666666.0,"Pierce township, Texas County, Missouri",215,57476,29
-666666666.0,"Ozark township, Texas County, Missouri",215,55820,29
-666666666.0,"Sargent township, Texas County, Missouri",215,66026,29
-666666666.0,"Boone township, Texas County, Missouri",215,07246,29
-666666666.0,"Rush township, Buchanan County, Missouri",021,63542,29
46202.0,"Washington township, Buchanan County, Missouri",021,77236,29
-666666666.0,"Center township, Buchanan County, Missouri",021,12484,29
-666666666.0,"Marion township, Buchanan County, Missouri",021,45938,29
-666666666.0,"Wayne township, Buchanan County, Missouri",021,77974,29
65893.0,"Agency township, Buchanan County, Missouri",021,00316,29
-666666666.0,"Bloomington township, Buchanan County, Missouri",021,06418,29
-666666666.0,"Platte township, Buchanan County, Missouri",021,58124,29
-666666666.0,"Crawford township, Buchanan County, Missouri",021,17110,29
-666666666.0,"Lake township, Buchanan County, Missouri",021,39800,29
-666666666.0,"Jackson township, Buchanan County, Missouri",021,35594,29
-666666666.0,"Tremont township, Buchanan County, Missouri",021,73798,29
-666666666.0,"Gomer township, Caldwell County, Missouri",025,27784,29
-666666666.0,"Grant township, Caldwell County, Missouri",025,28396,29
-666666666.0,"Kidder township, Caldwell County, Missouri",025,38540,29
-666666666.0,"Fairview township, Caldwell County, Missouri",025,23464,29
69167.0,"Rockford township, Caldwell County, Missouri",025,62624,29
-666666666.0,"Hamilton township, Caldwell County, Missouri",025,30052,29
-666666666.0,"Breckenridge township, Caldwell County, Missouri",025,08146,29
-666666666.0,"Kingston township, Caldwell County, Missouri",025,38864,29
-666666666.0,"Lincoln township, Caldwell County, Missouri",025,42626,29
61563.0,"Mirabile township, Caldwell County, Missouri",025,48872,29
-666666666.0,"New York township, Caldwell County, Missouri",025,52400,29
-666666666.0,"Davis township, Caldwell County, Missouri",025,18370,29
-666666666.0,"Bourbon township, Callaway County, Missouri",027,07516,29
-666666666.0,"Caldwell township, Callaway County, Missouri",027,10414,29
-666666666.0,"Cote Sans Dessein township, Callaway County, Missouri",027,16642,29
-666666666.0,"East Fulton township, Callaway County, Missouri",027,20854,29
-666666666.0,"McCredie township, Callaway County, Missouri",027,44876,29
-666666666.0,"Nine Mile Prairie township, Callaway County, Missouri",027,52508,29
-666666666.0,"Calwood township, Callaway County, Missouri",027,10666,29
-666666666.0,"Union township, Sullivan County, Missouri",211,75022,29
-666666666.0,"Duncan township, Sullivan County, Missouri",211,20386,29
-666666666.0,"Morris township, Sullivan County, Missouri",211,50024,29
-666666666.0,"Clay township, Sullivan County, Missouri",211,14536,29
-666666666.0,"Jackson township, Sullivan County, Missouri",211,36152,29
-666666666.0,"Taylor township, Sullivan County, Missouri",211,72538,29
-666666666.0,"Bowman township, Sullivan County, Missouri",211,07678,29
-666666666.0,"Forbes township, Holt County, Missouri",087,24976,29
-666666666.0,"Clay township, Holt County, Missouri",087,14410,29
-666666666.0,"Lincoln township, Holt County, Missouri",087,42770,29
-666666666.0,"Lewis township, Holt County, Missouri",087,41798,29
-666666666.0,"Shelton township, Knox County, Missouri",103,67286,29
-666666666.0,"Benton township, Knox County, Missouri",103,04708,29
-666666666.0,"Liberty township, Knox County, Missouri",103,42176,29
-666666666.0,"Salt River township, Knox County, Missouri",103,65576,29
-666666666.0,"Fabius township, Knox County, Missouri",103,23158,29
-666666666.0,"Myrtle township, Knox County, Missouri",103,51032,29
-666666666.0,"Colony township, Knox County, Missouri",103,15652,29
-666666666.0,"Greensburg township, Knox County, Missouri",103,29386,29
-666666666.0,"Jeddo township, Knox County, Missouri",103,36660,29
-666666666.0,"Lyon township, Knox County, Missouri",103,44732,29
-666666666.0,"Center township, Knox County, Missouri",103,12556,29
-666666666.0,"Bourbon township, Knox County, Missouri",103,07552,29
-666666666.0,"Bee Ridge township, Knox County, Missouri",103,03988,29
-666666666.0,"Fabius township, Marion County, Missouri",127,23176,29
-666666666.0,"Round Grove township, Marion County, Missouri",127,63344,29
-666666666.0,"Union township, Marion County, Missouri",127,74788,29
-666666666.0,"Miller township, Marion County, Missouri",127,48278,29
-666666666.0,"Liberty township, Marion County, Missouri",127,42230,29
-666666666.0,"Mason township, Marion County, Missouri",127,46658,29
-666666666.0,"Warren township, Marion County, Missouri",127,77074,29
-666666666.0,"South River township, Marion County, Missouri",127,69050,29
-666666666.0,"Upper Loutre township, Montgomery County, Missouri",139,75256,29
-666666666.0,"Bear Creek township, Montgomery County, Missouri",139,03754,29
-666666666.0,"Danville township, Montgomery County, Missouri",139,18208,29
-666666666.0,"Montgomery township, Montgomery County, Missouri",139,49520,29
-666666666.0,"Liberty township, Sullivan County, Missouri",211,42374,29
-666666666.0,"Penn township, Sullivan County, Missouri",211,56918,29
65417.0,"Polk township, Sullivan County, Missouri",211,58880,29
-666666666.0,"Niangua township, Camden County, Missouri",029,52410,29
-666666666.0,"Jackson township, Camden County, Missouri",029,35630,29
-666666666.0,"Osage township, Camden County, Missouri",029,55046,29
-666666666.0,"Pawhuska township, Camden County, Missouri",029,56596,29
-666666666.0,"Russell township, Camden County, Missouri",029,63668,29
-666666666.0,"Adair township, Camden County, Missouri",029,00190,29
-666666666.0,"Kiheka township, Camden County, Missouri",029,38585,29
-666666666.0,"Osceola township, Camden County, Missouri",029,55378,29
-666666666.0,"Auglaize township, Camden County, Missouri",029,02476,29
-666666666.0,"Warren township, Camden County, Missouri",029,77038,29
-666666666.0,"Jasper township, Camden County, Missouri",029,36476,29
-666666666.0,"Clay township, Clark County, Missouri",045,14302,29
-666666666.0,"Union township, Clark County, Missouri",045,74554,29
-666666666.0,"Wyaconda township, Clark County, Missouri",045,81160,29
-666666666.0,"Washington township, Clark County, Missouri",045,77290,29
-666666666.0,"Sweet Home township, Clark County, Missouri",045,71872,29
-666666666.0,"Jackson township, Clark County, Missouri",045,35684,29
-666666666.0,"Vernon township, Clark County, Missouri",045,75868,29
-666666666.0,"Des Moines township, Clark County, Missouri",045,19234,29
-666666666.0,"Folker township, Clark County, Missouri",045,24922,29
-666666666.0,"Grant township, Clark County, Missouri",045,28414,29
-666666666.0,"Lincoln township, Clark County, Missouri",045,42662,29
-666666666.0,"Madison township, Clark County, Missouri",045,45362,29
-666666666.0,"Jefferson township, Clark County, Missouri",045,36746,29
-666666666.0,"Sheridan township, Jasper County, Missouri",097,67340,29
-666666666.0,"Duval township, Jasper County, Missouri",097,20602,29
74397.0,"Joplin township, Jasper County, Missouri",097,37610,29
-666666666.0,"St. Aubert township, Callaway County, Missouri",027,64010,29
-666666666.0,"Liberty township, Callaway County, Missouri",027,41996,29
-666666666.0,"Round Prairie township, Callaway County, Missouri",027,63362,29
-666666666.0,"Summit township, Callaway County, Missouri",027,71548,29
-666666666.0,"Cedar township, Callaway County, Missouri",027,12160,29
-666666666.0,"Guthrie township, Callaway County, Missouri",027,29800,29
-666666666.0,"Jackson township, Callaway County, Missouri",027,35612,29
-666666666.0,"Auxvasse township, Callaway County, Missouri",027,02656,29
-666666666.0,"Cleveland township, Callaway County, Missouri",027,14752,29
-666666666.0,"Index township, Cass County, Missouri",037,35072,29
-666666666.0,"Shamrock township, Callaway County, Missouri",027,66962,29
-666666666.0,"West Fulton township, Callaway County, Missouri",027,78766,29
-666666666.0,"Austin township, Cass County, Missouri",037,02620,29
-666666666.0,"Peculiar township, Cass County, Missouri",037,56774,29
84150.0,"Raymore township, Cass County, Missouri",037,60770,29
-666666666.0,"West Dolan township, Cass County, Missouri",037,78694,29
-666666666.0,"West Peculiar township, Cass County, Missouri",037,78892,29
-666666666.0,"Camp Branch township, Cass County, Missouri",037,10936,29
-666666666.0,"Dayton township, Cass County, Missouri",037,18604,29
-666666666.0,"Dolan township, Cass County, Missouri",037,19738,29
-666666666.0,"Everett township, Cass County, Missouri",037,22942,29
-666666666.0,"Pleasant Hill township, Cass County, Missouri",037,58412,29
-666666666.0,"Big Creek township, Cass County, Missouri",037,05374,29
-666666666.0,"Coldwater township, Cass County, Missouri",037,15382,29
92083.0,"Union township, Cass County, Missouri",037,74536,29
50808.0,"Mount Pleasant township, Cass County, Missouri",037,50564,29
-666666666.0,"Polk township, Cass County, Missouri",037,58718,29
-666666666.0,"Sherman township, Cass County, Missouri",037,67394,29
-666666666.0,"Grand River township, Cass County, Missouri",037,28252,29
79500.0,"Hardin township, Clinton County, Missouri",049,30304,29
-666666666.0,"Concord township, Clinton County, Missouri",049,15976,29
-666666666.0,"Lafayette township, Clinton County, Missouri",049,39674,29
-666666666.0,"Clinton township, Clinton County, Missouri",049,14950,29
46979.0,"Shoal township, Clinton County, Missouri",049,67592,29
-666666666.0,"Platte township, Clinton County, Missouri",049,58160,29
-666666666.0,"Lathrop township, Clinton County, Missouri",049,40844,29
-666666666.0,"Atchison township, Clinton County, Missouri",049,02332,29
-666666666.0,"Union township, Jasper County, Missouri",097,74716,29
-666666666.0,"Lincoln township, Jasper County, Missouri",097,42788,29
27132.0,"Marion township, Jasper County, Missouri",097,46064,29
72548.0,"Jackson township, Jasper County, Missouri",097,35828,29
30978.0,"Galena township, Jasper County, Missouri",097,26236,29
37500.0,"McDonald township, Jasper County, Missouri",097,44930,29
-666666666.0,"Sarcoxie township, Jasper County, Missouri",097,66008,29
-666666666.0,"Twin Groves township, Jasper County, Missouri",097,74266,29
