B07004B_001E,B07004B_002E,B07004B_003E,B07004B_004E,B07004B_005E,B07004B_006E,name,county,county subdivision,state
0.0,0.0,0.0,0.0,0.0,0.0,"East Terrell CCD, Terrell County, Texas",443,91140,48
34.0,34.0,0.0,0.0,0.0,0.0,"Colmesneil-Chester CCD, Tyler County, Texas",457,90785,48
157.0,157.0,0.0,0.0,0.0,0.0,"Warren CCD, Tyler County, Texas",457,94075,48
2006.0,1608.0,161.0,226.0,11.0,0.0,"Woodville CCD, Tyler County, Texas",457,94285,48
150.0,78.0,72.0,0.0,0.0,0.0,"Spurger CCD, Tyler County, Texas",457,93710,48
0.0,0.0,0.0,0.0,0.0,0.0,"Sabinal CCD, Uvalde County, Texas",463,93375,48
62.0,56.0,4.0,2.0,0.0,0.0,"Uvalde CCD, Uvalde County, Texas",463,93980,48
151.0,94.0,45.0,12.0,0.0,0.0,"Shamrock CCD, Wheeler County, Texas",483,93545,48
11.0,2.0,9.0,0.0,0.0,0.0,"Wheeler CCD, Wheeler County, Texas",483,94190,48
0.0,0.0,0.0,0.0,0.0,0.0,"Dalby Springs-Simms CCD, Bowie County, Texas",037,90950,48
626.0,460.0,115.0,47.0,4.0,0.0,"De Kalb CCD, Bowie County, Texas",037,90980,48
592.0,458.0,99.0,10.0,25.0,0.0,"Hooks CCD, Bowie County, Texas",037,91830,48
2143.0,1936.0,0.0,207.0,0.0,0.0,"New Boston CCD, Bowie County, Texas",037,92725,48
18378.0,15642.0,1203.0,316.0,1201.0,16.0,"Texarkana CCD, Bowie County, Texas",037,93875,48
70.0,68.0,2.0,0.0,0.0,0.0,"Archer City CCD, Archer County, Texas",009,90130,48
36.0,34.0,2.0,0.0,0.0,0.0,"Holliday CCD, Archer County, Texas",009,91815,48
0.0,0.0,0.0,0.0,0.0,0.0,"Marathon CCD, Brewster County, Texas",043,92390,48
13.0,7.0,6.0,0.0,0.0,0.0,"Alpine CCD, Brewster County, Texas",043,90040,48
6.0,3.0,0.0,3.0,0.0,0.0,"Jayton South CCD, Kent County, Texas",263,91930,48
0.0,0.0,0.0,0.0,0.0,0.0,"Jayton North CCD, Kent County, Texas",263,91925,48
455.0,297.0,158.0,0.0,0.0,0.0,"Mission CCD, Hidalgo County, Texas",215,92600,48
0.0,0.0,0.0,0.0,0.0,0.0,"Puerto Rico-San Manuel CCD, Hidalgo County, Texas",215,93155,48
598.0,527.0,15.0,1.0,55.0,0.0,"Southeast Hidalgo CCD, Hidalgo County, Texas",215,93650,48
104.0,85.0,9.0,0.0,0.0,10.0,"Edcouch-Elsa CCD, Hidalgo County, Texas",215,91155,48
1227.0,876.0,36.0,302.0,13.0,0.0,"McAllen-Pharr CCD, Hidalgo County, Texas",215,92340,48
29.0,29.0,0.0,0.0,0.0,0.0,"Sullivan City CCD, Hidalgo County, Texas",215,93785,48
2325.0,1669.0,125.0,527.0,4.0,0.0,"Edinburg CCD, Hidalgo County, Texas",215,91170,48
0.0,0.0,0.0,0.0,0.0,0.0,"Hargill CCD, Hidalgo County, Texas",215,91710,48
2764.0,2603.0,139.0,22.0,0.0,0.0,"Bullard CCD, Smith County, Texas",423,90515,48
26863.0,21571.0,3584.0,1210.0,412.0,86.0,"Tyler CCD, Smith County, Texas",423,93970,48
626.0,262.0,83.0,281.0,0.0,0.0,"Stephenville CCD, Erath County, Texas",143,93735,48
64.0,62.0,0.0,1.0,1.0,0.0,"Dublin CCD, Erath County, Texas",143,91085,48
0.0,0.0,0.0,0.0,0.0,0.0,"Morgan Mill-Bluff Dale CCD, Erath County, Texas",143,92645,48
29424.0,26432.0,939.0,1405.0,536.0,112.0,"Alvin-Pearland CCD, Brazoria County, Texas",039,90055,48
3737.0,3369.0,192.0,168.0,8.0,0.0,"Brazoria-West Columbia CCD, Brazoria County, Texas",039,90410,48
2192.0,1604.0,372.0,1.0,215.0,0.0,"Whitehouse CCD, Smith County, Texas",423,94205,48
1327.0,1251.0,42.0,22.0,12.0,0.0,"Troup-Arp CCD, Smith County, Texas",423,93950,48
632.0,630.0,1.0,1.0,0.0,0.0,"Winona CCD, Smith County, Texas",423,94260,48
3451.0,2758.0,117.0,421.0,124.0,31.0,"Tyler East CCD, Smith County, Texas",423,93975,48
1398.0,1124.0,20.0,226.0,28.0,0.0,"Lindale CCD, Smith County, Texas",423,92210,48
51.0,39.0,0.0,12.0,0.0,0.0,"Glen Rose CCD, Somervell County, Texas",425,91535,48
35.0,20.0,11.0,4.0,0.0,0.0,"East Crockett CCD, Crockett County, Texas",105,91120,48
0.0,0.0,0.0,0.0,0.0,0.0,"West Crockett CCD, Crockett County, Texas",105,94160,48
171.0,88.0,6.0,3.0,74.0,0.0,"Sour Lake CCD, Hardin County, Texas",199,93625,48
2167.0,1843.0,224.0,100.0,0.0,0.0,"Silsbee CCD, Hardin County, Texas",199,93570,48
6.0,6.0,0.0,0.0,0.0,0.0,"Saratoga-Batson CCD, Hardin County, Texas",199,93460,48
12.0,12.0,0.0,0.0,0.0,0.0,"Rule CCD, Haskell County, Texas",207,93360,48
745.0,658.0,0.0,86.0,1.0,0.0,"Kountze CCD, Hardin County, Texas",199,92055,48
61.0,55.0,0.0,6.0,0.0,0.0,"Rochester CCD, Haskell County, Texas",207,93285,48
16.0,8.0,0.0,8.0,0.0,0.0,"Sagerton CCD, Haskell County, Texas",207,93390,48
2039.0,1436.0,456.0,105.0,30.0,12.0,"Big Spring CCD, Howard County, Texas",227,90300,48
0.0,0.0,0.0,0.0,0.0,0.0,"Weinert CCD, Haskell County, Texas",207,94125,48
94.0,0.0,12.0,82.0,0.0,0.0,"Haskell CCD, Haskell County, Texas",207,91735,48
38.0,9.0,29.0,0.0,0.0,0.0,"Big Spring North CCD, Howard County, Texas",227,90305,48
2.0,2.0,0.0,0.0,0.0,0.0,"Coahoma CCD, Howard County, Texas",227,90770,48
621.0,570.0,13.0,38.0,0.0,0.0,"Centerville CCD, Leon County, Texas",289,90680,48
121.0,103.0,7.0,11.0,0.0,0.0,"Normangee CCD, Leon County, Texas",289,92775,48
300.0,186.0,97.0,17.0,0.0,0.0,"Buffalo CCD, Leon County, Texas",289,90510,48
189.0,183.0,0.0,6.0,0.0,0.0,"Oakwood CCD, Leon County, Texas",289,92870,48
11.0,6.0,1.0,4.0,0.0,0.0,"Mullin-Priddy CCD, Mills County, Texas",333,92690,48
0.0,0.0,0.0,0.0,0.0,0.0,"Goldthwaite CCD, Mills County, Texas",333,91550,48
18.0,6.0,0.0,12.0,0.0,0.0,"Nocona CCD, Montague County, Texas",337,92765,48
9.0,5.0,0.0,4.0,0.0,0.0,"Montague-Forestburg CCD, Montague County, Texas",337,92610,48
0.0,0.0,0.0,0.0,0.0,0.0,"Bowie CCD, Montague County, Texas",337,90390,48
14.0,14.0,0.0,0.0,0.0,0.0,"St. Jo CCD, Montague County, Texas",337,93395,48
4834.0,4024.0,672.0,137.0,1.0,0.0,"Brazosport CCD, Brazoria County, Texas",039,90415,48
0.0,0.0,0.0,0.0,0.0,0.0,"Hedley CCD, Donley County, Texas",129,91760,48
129.0,101.0,6.0,20.0,2.0,0.0,"Clarendon CCD, Donley County, Texas",129,90730,48
6.0,4.0,1.0,1.0,0.0,0.0,"Jourdanton CCD, Atascosa County, Texas",013,91955,48
0.0,0.0,0.0,0.0,0.0,0.0,"Campbellton CCD, Atascosa County, Texas",013,90595,48
256.0,256.0,0.0,0.0,0.0,0.0,"Pleasanton CCD, Atascosa County, Texas",013,93070,48
74.0,74.0,0.0,0.0,0.0,0.0,"Poteet CCD, Atascosa County, Texas",013,93120,48
17.0,4.0,13.0,0.0,0.0,0.0,"Charlotte CCD, Atascosa County, Texas",013,90695,48
0.0,0.0,0.0,0.0,0.0,0.0,"Talpa CCD, Coleman County, Texas",083,93830,48
0.0,0.0,0.0,0.0,0.0,0.0,"Novice CCD, Coleman County, Texas",083,92865,48
135.0,135.0,0.0,0.0,0.0,0.0,"Santa Anna CCD, Coleman County, Texas",083,93450,48
96.0,94.0,0.0,1.0,1.0,0.0,"Coleman CCD, Coleman County, Texas",083,90780,48
754.0,541.0,11.0,58.0,144.0,0.0,"Sweetwater CCD, Nolan County, Texas",353,93810,48
0.0,0.0,0.0,0.0,0.0,0.0,"Blackwell-Nolan CCD, Nolan County, Texas",353,90325,48
0.0,0.0,0.0,0.0,0.0,0.0,"Roscoe CCD, Nolan County, Texas",353,93325,48
27.0,27.0,0.0,0.0,0.0,0.0,"Fort Hancock CCD, Hudspeth County, Texas",229,91360,48
40.0,0.0,0.0,0.0,0.0,40.0,"Sierra Blanca CCD, Hudspeth County, Texas",229,93565,48
0.0,0.0,0.0,0.0,0.0,0.0,"Dell City CCD, Hudspeth County, Texas",229,90990,48
0.0,0.0,0.0,0.0,0.0,0.0,"D'Hanis CCD, Medina County, Texas",325,91040,48
258.0,170.0,74.0,0.0,14.0,0.0,"Castroville-LaCoste CCD, Medina County, Texas",325,90645,48
807.0,433.0,0.0,374.0,0.0,0.0,"Hondo CCD, Medina County, Texas",325,91820,48
155.0,68.0,40.0,41.0,6.0,0.0,"Devine-Natalia CCD, Medina County, Texas",325,91030,48
1.0,1.0,0.0,0.0,0.0,0.0,"Grandfalls CCD, Ward County, Texas",475,91615,48
6.0,2.0,1.0,2.0,1.0,0.0,"Barstow-Pyote CCD, Ward County, Texas",475,90205,48
618.0,374.0,104.0,116.0,24.0,0.0,"Monahans CCD, Ward County, Texas",475,92605,48
2283.0,1840.0,323.0,92.0,28.0,0.0,"Athens CCD, Henderson County, Texas",213,90155,48
1767.0,1453.0,112.0,198.0,4.0,0.0,"Cedar Creek Lake CCD, Henderson County, Texas",213,90652,48
436.0,436.0,0.0,0.0,0.0,0.0,"Call CCD, Newton County, Texas",351,90575,48
282.0,282.0,0.0,0.0,0.0,0.0,"Burkeville CCD, Newton County, Texas",351,90530,48
0.0,0.0,0.0,0.0,0.0,0.0,"Deweyville CCD, Newton County, Texas",351,91035,48
2285.0,2199.0,82.0,1.0,3.0,0.0,"Newton CCD, Newton County, Texas",351,92750,48
2495.0,1699.0,509.0,262.0,20.0,5.0,"Carthage CCD, Panola County, Texas",365,90640,48
319.0,255.0,37.0,27.0,0.0,0.0,"Beckville CCD, Panola County, Texas",365,90235,48
53.0,47.0,0.0,6.0,0.0,0.0,"Gary City CCD, Panola County, Texas",365,91475,48
121.0,111.0,10.0,0.0,0.0,0.0,"Long Branch-Dotson CCD, Panola County, Texas",365,92265,48
863.0,863.0,0.0,0.0,0.0,0.0,"De Berry-Deadwood CCD, Panola County, Texas",365,90970,48
721.0,601.0,44.0,57.0,19.0,0.0,"Pecos CCD, Reeves County, Texas",389,92990,48
0.0,0.0,0.0,0.0,0.0,0.0,"Balmorhea CCD, Reeves County, Texas",389,90190,48
205.0,205.0,0.0,0.0,0.0,0.0,"Milam CCD, Sabine County, Texas",403,92580,48
264.0,178.0,86.0,0.0,0.0,0.0,"Pineland CCD, Sabine County, Texas",403,93045,48
325.0,325.0,0.0,0.0,0.0,0.0,"Hemphill CCD, Sabine County, Texas",403,91765,48
13.0,13.0,0.0,0.0,0.0,0.0,"Happy CCD, Swisher County, Texas",437,91700,48
59.0,59.0,0.0,0.0,0.0,0.0,"Kress CCD, Swisher County, Texas",437,92060,48
368.0,225.0,49.0,94.0,0.0,0.0,"Tulia CCD, Swisher County, Texas",437,93955,48
126.0,91.0,35.0,0.0,0.0,0.0,"Celeste CCD, Hunt County, Texas",231,90660,48
255.0,216.0,31.0,8.0,0.0,0.0,"Caddo Mills CCD, Hunt County, Texas",231,90565,48
46.0,35.0,11.0,0.0,0.0,0.0,"Lone Oak CCD, Hunt County, Texas",231,92260,48
254.0,168.0,86.0,0.0,0.0,0.0,"Wolfe City CCD, Hunt County, Texas",231,94270,48
3878.0,2897.0,565.0,404.0,12.0,0.0,"Greenville CCD, Hunt County, Texas",231,91640,48
2219.0,1636.0,91.0,455.0,21.0,16.0,"Commerce CCD, Hunt County, Texas",231,90820,48
221.0,136.0,32.0,0.0,53.0,0.0,"Quinlan CCD, Hunt County, Texas",231,93170,48
