B25003I_001E,B25003I_002E,B25003I_003E,name,county,county subdivision,state
316.0,126.0,190.0,"Rio Vista CCD, Solano County, California",095,92610,06
6377.0,3252.0,3125.0,"Vacaville CCD, Solano County, California",095,93520,06
9166.0,5086.0,4080.0,"Vallejo CCD, Solano County, California",095,93530,06
37.0,32.0,5.0,"Klamath CCD, Del Norte County, California",015,91490,06
191.0,65.0,126.0,"Smith River-Gasquet CCD, Del Norte County, California",015,93040,06
674.0,336.0,338.0,"Crescent City CCD, Del Norte County, California",015,90620,06
1923.0,1143.0,780.0,"Central Colusa CCD, Colusa County, California",011,90430,06
36.0,21.0,15.0,"West Colusa CCD, Colusa County, California",011,93610,06
1182.0,518.0,664.0,"East Colusa CCD, Colusa County, California",011,90770,06
2256.0,1151.0,1105.0,"Orland CCD, Glenn County, California",021,92280,06
892.0,343.0,549.0,"Willows CCD, Glenn County, California",021,93750,06
1158.0,548.0,610.0,"Gridley CCD, Butte County, California",007,91180,06
139.0,116.0,23.0,"Feather Falls CCD, Butte County, California",007,90970,06
247.0,142.0,105.0,"Biggs CCD, Butte County, California",007,90230,06
5315.0,1654.0,3661.0,"Chico CCD, Butte County, California",007,90470,06
558.0,363.0,195.0,"Palermo CCD, Butte County, California",007,92330,06
931.0,634.0,297.0,"Paradise CCD, Butte County, California",007,92380,06
240.0,101.0,139.0,"Durham CCD, Butte County, California",007,90750,06
1206.0,680.0,526.0,"Oroville CCD, Butte County, California",007,92300,06
3063.0,1360.0,1703.0,"Corcoran CCD, Kings County, California",031,90570,06
254.0,70.0,184.0,"Hanford Northeast CCD, Kings County, California",031,91230,06
3828.0,1354.0,2474.0,"Lemoore CCD, Kings County, California",031,91590,06
686.0,348.0,338.0,"Stratford CCD, Kings County, California",031,93250,06
1989.0,909.0,1080.0,"Avenal CCD, Kings County, California",031,90170,06
9065.0,4321.0,4744.0,"Hanford CCD, Kings County, California",031,91220,06
39.0,34.0,5.0,"Graeagle CCD, Plumas County, California",063,91135,06
209.0,154.0,55.0,"Quincy CCD, Plumas County, California",063,92540,06
73.0,64.0,9.0,"Greenville CCD, Plumas County, California",063,91170,06
60.0,4.0,56.0,"Chester CCD, Plumas County, California",063,90460,06
160.0,123.0,37.0,"Portola CCD, Plumas County, California",063,92530,06
4436.0,1647.0,2789.0,"Paso Robles CCD, San Luis Obispo County, California",079,92410,06
2806.0,483.0,2323.0,"San Luis Obispo CCD, San Luis Obispo County, California",079,92860,06
5427.0,2424.0,3003.0,"Arroyo Grande CCD, San Luis Obispo County, California",079,90120,06
1857.0,727.0,1130.0,"North Coast CCD, San Luis Obispo County, California",079,92160,06
1923.0,975.0,948.0,"Atascadero CCD, San Luis Obispo County, California",079,90140,06
1685.0,562.0,1123.0,"Caruthers-Raisin City CCD, Fresno County, California",019,90390,06
570.0,253.0,317.0,"Laton CCD, Fresno County, California",019,91570,06
6326.0,3321.0,3005.0,"Sanger CCD, Fresno County, California",019,92800,06
2407.0,967.0,1440.0,"Firebaugh CCD, Fresno County, California",019,91000,06
737.0,590.0,147.0,"Sierra CCD, Fresno County, California",019,93010,06
4349.0,2069.0,2280.0,"Kerman CCD, Fresno County, California",019,91460,06
1474.0,902.0,572.0,"Kingsburg CCD, Fresno County, California",019,91480,06
1578.0,567.0,1011.0,"San Joaquin-Tranquillity CCD, Fresno County, California",019,92820,06
2889.0,1011.0,1878.0,"Mendota CCD, Fresno County, California",019,91950,06
5365.0,2936.0,2429.0,"Reedley CCD, Fresno County, California",019,92600,06
2503.0,938.0,1565.0,"Orange Cove CCD, Fresno County, California",019,92270,06
6095.0,3001.0,3094.0,"Selma CCD, Fresno County, California",019,92990,06
2307.0,1189.0,1118.0,"Coalinga CCD, Fresno County, California",019,90530,06
1882.0,867.0,1015.0,"Fowler CCD, Fresno County, California",019,91060,06
83624.0,34976.0,48648.0,"Fresno CCD, Fresno County, California",019,91080,06
1957.0,514.0,1443.0,"Huron CCD, Fresno County, California",019,91360,06
7315.0,5227.0,2088.0,"Greenfield-Panama CCD, Kern County, California",029,91160,06
867.0,438.0,429.0,"Riverdale CCD, Fresno County, California",019,92630,06
4653.0,2068.0,2585.0,"Parlier-Del Rey CCD, Fresno County, California",019,92390,06
56362.0,25394.0,30968.0,"Bakersfield CCD, Kern County, California",029,90180,06
503.0,155.0,348.0,"Lake Isabella CCD, Kern County, California",029,91520,06
9116.0,3889.0,5227.0,"Arvin-Lamont CCD, Kern County, California",029,90130,06
1913.0,1125.0,788.0,"Tehachapi CCD, Kern County, California",029,93320,06
5149.0,2517.0,2632.0,"Wasco CCD, Kern County, California",029,93570,06
4120.0,1919.0,2201.0,"Shafter CCD, Kern County, California",029,93000,06
5738.0,3108.0,2630.0,"East Kern CCD, Kern County, California",029,90800,06
580.0,280.0,300.0,"Buttonwillow CCD, Kern County, California",029,90300,06
5043.0,3637.0,1406.0,"Rosedale CCD, Kern County, California",029,92650,06
177796.0,68091.0,109705.0,"Anaheim-Santa Ana-Garden Grove CCD, Orange County, California",059,90050,06
19786.0,7824.0,11962.0,"North Coast CCD, Orange County, California",059,92150,06
2843.0,1680.0,1163.0,"Moorpark CCD, Ventura County, California",111,92020,06
14172.0,3358.0,10814.0,"Central Coast CCD, Orange County, California",059,90420,06
15138.0,6763.0,8375.0,"South Coast CCD, Orange County, California",059,93110,06
21.0,21.0,0.0,"Los Padres CCD, Ventura County, California",111,91770,06
10543.0,4217.0,6326.0,"Ventura CCD, Ventura County, California",111,93550,06
366.0,74.0,292.0,"Las Posas CCD, Ventura County, California",111,91560,06
4301.0,2400.0,1901.0,"Camarillo CCD, Ventura County, California",111,90350,06
