B07004D_001E,B07004D_002E,B07004D_003E,B07004D_004E,B07004D_005E,B07004D_006E,name,county,county subdivision,state
0.0,0.0,0.0,0.0,0.0,0.0,"Mount Carmel CCD, McCormick County, South Carolina",065,92262,45
95.0,28.0,24.0,0.0,6.0,37.0,"Clinton CCD, Laurens County, South Carolina",059,90663,45
75.0,53.0,22.0,0.0,0.0,0.0,"Laurens CCD, Laurens County, South Carolina",059,91924,45
7.0,7.0,0.0,0.0,0.0,0.0,"Joanna CCD, Laurens County, South Carolina",059,91690,45
0.0,0.0,0.0,0.0,0.0,0.0,"Parksville CCD, McCormick County, South Carolina",065,92561,45
35.0,35.0,0.0,0.0,0.0,0.0,"McCormick CCD, McCormick County, South Carolina",065,92119,45
441.0,145.0,119.0,130.0,26.0,21.0,"Central CCD, Pickens County, South Carolina",077,90533,45
463.0,370.0,75.0,18.0,0.0,0.0,"Easley CCD, Pickens County, South Carolina",077,90936,45
0.0,0.0,0.0,0.0,0.0,0.0,"Pickens CCD, Pickens County, South Carolina",077,92639,45
55.0,55.0,0.0,0.0,0.0,0.0,"Easley East CCD, Pickens County, South Carolina",077,90949,45
19.0,10.0,9.0,0.0,0.0,0.0,"Six Mile CCD, Pickens County, South Carolina",077,93146,45
1141.0,372.0,335.0,122.0,227.0,85.0,"Clemson CCD, Pickens County, South Carolina",077,90650,45
35.0,12.0,2.0,13.0,8.0,0.0,"Liberty CCD, Pickens County, South Carolina",077,91950,45
0.0,0.0,0.0,0.0,0.0,0.0,"Jonesville CCD, Union County, South Carolina",087,91742,45
0.0,0.0,0.0,0.0,0.0,0.0,"Carlisle CCD, Union County, South Carolina",087,90507,45
0.0,0.0,0.0,0.0,0.0,0.0,"Cross Keys CCD, Union County, South Carolina",087,90832,45
0.0,0.0,0.0,0.0,0.0,0.0,"West Springs CCD, Union County, South Carolina",087,93679,45
0.0,0.0,0.0,0.0,0.0,0.0,"Lockhart CCD, Union County, South Carolina",087,91989,45
0.0,0.0,0.0,0.0,0.0,0.0,"Union CCD, Union County, South Carolina",087,93497,45
0.0,0.0,0.0,0.0,0.0,0.0,"Hemingway CCD, Williamsburg County, South Carolina",089,91495,45
0.0,0.0,0.0,0.0,0.0,0.0,"Trio CCD, Williamsburg County, South Carolina",089,93458,45
0.0,0.0,0.0,0.0,0.0,0.0,"Greeleyville CCD, Williamsburg County, South Carolina",089,91339,45
111.0,13.0,0.0,0.0,0.0,98.0,"Kingstree CCD, Williamsburg County, South Carolina",089,91768,45
29.0,29.0,0.0,0.0,0.0,0.0,"Nesmith CCD, Williamsburg County, South Carolina",089,92353,45
0.0,0.0,0.0,0.0,0.0,0.0,"Lane CCD, Williamsburg County, South Carolina",089,91898,45
1063.0,587.0,417.0,0.0,0.0,59.0,"Aiken CCD, Aiken County, South Carolina",003,90026,45
8.0,8.0,0.0,0.0,0.0,0.0,"Jackson CCD, Aiken County, South Carolina",003,91651,45
14.0,14.0,0.0,0.0,0.0,0.0,"Beech Island CCD, Aiken County, South Carolina",003,90208,45
0.0,0.0,0.0,0.0,0.0,0.0,"New Ellenton CCD, Aiken County, South Carolina",003,92379,45
496.0,281.0,14.0,60.0,141.0,0.0,"North Augusta CCD, Aiken County, South Carolina",003,92418,45
22.0,22.0,0.0,0.0,0.0,0.0,"Salley CCD, Aiken County, South Carolina",003,92977,45
8.0,8.0,0.0,0.0,0.0,0.0,"Wagener CCD, Aiken County, South Carolina",003,93562,45
24.0,24.0,0.0,0.0,0.0,0.0,"Monetta CCD, Aiken County, South Carolina",003,92223,45
23.0,23.0,0.0,0.0,0.0,0.0,"Windsor CCD, Aiken County, South Carolina",003,93744,45
0.0,0.0,0.0,0.0,0.0,0.0,"Fairfax CCD, Allendale County, South Carolina",005,91092,45
0.0,0.0,0.0,0.0,0.0,0.0,"Millett CCD, Allendale County, South Carolina",005,92197,45
0.0,0.0,0.0,0.0,0.0,0.0,"Allendale CCD, Allendale County, South Carolina",005,90052,45
0.0,0.0,0.0,0.0,0.0,0.0,"Sycamore CCD, Allendale County, South Carolina",005,93367,45
17.0,17.0,0.0,0.0,0.0,0.0,"Whitmire CCD, Newberry County, South Carolina",071,93705,45
34.0,34.0,0.0,0.0,0.0,0.0,"Newberry CCD, Newberry County, South Carolina",071,92366,45
0.0,0.0,0.0,0.0,0.0,0.0,"Pomaria CCD, Newberry County, South Carolina",071,92704,45
32.0,32.0,0.0,0.0,0.0,0.0,"Barnwell CCD, Barnwell County, South Carolina",011,90143,45
0.0,0.0,0.0,0.0,0.0,0.0,"Mountain Rest CCD, Oconee County, South Carolina",073,92249,45
109.0,109.0,0.0,0.0,0.0,0.0,"Walhalla CCD, Oconee County, South Carolina",073,93575,45
38.0,38.0,0.0,0.0,0.0,0.0,"Salem CCD, Oconee County, South Carolina",073,92964,45
81.0,30.0,51.0,0.0,0.0,0.0,"Oakway CCD, Oconee County, South Carolina",073,92457,45
0.0,0.0,0.0,0.0,0.0,0.0,"Cades CCD, Williamsburg County, South Carolina",089,90442,45
12.0,12.0,0.0,0.0,0.0,0.0,"Blackville CCD, Barnwell County, South Carolina",011,90286,45
53.0,53.0,0.0,0.0,0.0,0.0,"Williston CCD, Barnwell County, South Carolina",011,93731,45
15.0,15.0,0.0,0.0,0.0,0.0,"Kline-Snelling CCD, Barnwell County, South Carolina",011,91794,45
4267.0,3653.0,269.0,47.0,237.0,61.0,"Goose Creek-Hanahan CCD, Berkeley County, South Carolina",015,91274,45
0.0,0.0,0.0,0.0,0.0,0.0,"Edisto Island CCD, Charleston County, South Carolina",019,90988,45
