B15002_001E,B15002_002E,B15002_003E,B15002_004E,B15002_005E,B15002_006E,B15002_007E,B15002_008E,B15002_009E,B15002_010E,B15002_011E,B15002_012E,B15002_013E,B15002_014E,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_019E,B15002_020E,B15002_021E,B15002_022E,B15002_023E,B15002_024E,B15002_025E,B15002_026E,B15002_027E,B15002_028E,B15002_029E,B15002_030E,B15002_031E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,name,county,county subdivision,state
818.0,415.0,0.0,0.0,0.0,0.0,3.0,17.0,3.0,3.0,155.0,14.0,58.0,43.0,58.0,54.0,0.0,7.0,403.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,93.0,13.0,39.0,50.0,92.0,85.0,3.0,21.0,"Goshen town, Hampshire County, Massachusetts",015,26290,25
919.0,441.0,4.0,0.0,0.0,0.0,4.0,39.0,12.0,5.0,145.0,21.0,43.0,51.0,65.0,23.0,6.0,23.0,478.0,0.0,0.0,0.0,0.0,12.0,0.0,6.0,0.0,118.0,15.0,40.0,47.0,133.0,84.0,6.0,17.0,"Chesterfield town, Hampshire County, Massachusetts",015,13590,25
4185.0,1773.0,0.0,0.0,0.0,4.0,0.0,4.0,19.0,0.0,486.0,133.0,206.0,132.0,435.0,202.0,35.0,117.0,2412.0,15.0,30.0,5.0,9.0,0.0,16.0,34.0,19.0,635.0,89.0,256.0,221.0,536.0,393.0,37.0,117.0,"Hadley town, Hampshire County, Massachusetts",015,27690,25
1458.0,705.0,3.0,0.0,0.0,6.0,0.0,10.0,7.0,9.0,309.0,64.0,93.0,94.0,79.0,19.0,5.0,7.0,753.0,0.0,0.0,0.0,5.0,0.0,9.0,18.0,18.0,186.0,45.0,112.0,94.0,194.0,61.0,0.0,11.0,"Huntington town, Hampshire County, Massachusetts",015,31785,25
966.0,414.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,98.0,19.0,28.0,9.0,106.0,62.0,28.0,54.0,552.0,0.0,0.0,0.0,4.0,0.0,1.0,7.0,0.0,62.0,16.0,54.0,61.0,139.0,151.0,21.0,36.0,"Pelham town, Hampshire County, Massachusetts",015,52560,25
11794.0,5347.0,7.0,0.0,8.0,54.0,39.0,65.0,92.0,84.0,1485.0,378.0,579.0,543.0,1107.0,496.0,103.0,307.0,6447.0,29.0,71.0,51.0,31.0,30.0,110.0,22.0,70.0,1279.0,438.0,673.0,869.0,1319.0,1201.0,119.0,135.0,"South Hadley town, Hampshire County, Massachusetts",015,64145,25
10062.0,4641.0,1.0,0.0,0.0,116.0,0.0,63.0,29.0,112.0,1284.0,279.0,543.0,488.0,869.0,609.0,116.0,132.0,5421.0,14.0,13.0,0.0,45.0,0.0,45.0,74.0,132.0,1123.0,272.0,457.0,479.0,1554.0,918.0,103.0,192.0,"Belchertown town, Hampshire County, Massachusetts",015,04825,25
393.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,9.0,45.0,18.0,38.0,9.0,0.0,0.0,216.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,71.0,6.0,61.0,14.0,25.0,28.0,0.0,2.0,"Middlefield town, Hampshire County, Massachusetts",015,40990,25
4526.0,2273.0,0.0,0.0,0.0,15.0,15.0,16.0,61.0,82.0,692.0,145.0,280.0,197.0,365.0,280.0,66.0,59.0,2253.0,0.0,0.0,0.0,0.0,27.0,0.0,21.0,17.0,662.0,93.0,246.0,248.0,481.0,431.0,27.0,0.0,"Southampton town, Hampshire County, Massachusetts",015,62745,25
667.0,330.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,126.0,11.0,59.0,7.0,79.0,29.0,10.0,2.0,337.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,76.0,25.0,43.0,16.0,90.0,56.0,7.0,15.0,"Cummington town, Hampshire County, Massachusetts",015,16040,25
