B19001D_001E,B19001D_002E,B19001D_003E,B19001D_004E,B19001D_005E,B19001D_006E,B19001D_007E,B19001D_008E,B19001D_009E,B19001D_010E,B19001D_011E,B19001D_012E,B19001D_013E,B19001D_014E,B19001D_015E,B19001D_016E,B19001D_017E,name,county,county subdivision,state
16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,"Little Compton town, Newport County, Rhode Island",005,42400,44
135.0,6.0,8.0,0.0,15.0,8.0,31.0,0.0,9.0,0.0,0.0,14.0,16.0,19.0,0.0,9.0,0.0,"Middletown town, Newport County, Rhode Island",005,45460,44
95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,72.0,0.0,4.0,0.0,"Newport city, Newport County, Rhode Island",005,49960,44
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"County subdivisions not defined, Newport County, Rhode Island",005,00000,44
67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,8.0,0.0,"Jamestown town, Newport County, Rhode Island",005,36820,44
107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,32.0,0.0,0.0,65.0,"Portsmouth town, Newport County, Rhode Island",005,57880,44
6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Tiverton town, Newport County, Rhode Island",005,70880,44
664.0,22.0,15.0,8.0,10.0,4.0,38.0,16.0,15.0,8.0,50.0,56.0,102.0,99.0,124.0,87.0,10.0,"Warwick city, Kent County, Rhode Island",003,74300,44
109.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,14.0,38.0,0.0,0.0,"Coventry town, Kent County, Rhode Island",003,18640,44
257.0,13.0,0.0,14.0,0.0,0.0,27.0,34.0,0.0,0.0,18.0,0.0,46.0,42.0,25.0,0.0,38.0,"West Warwick town, Kent County, Rhode Island",003,78440,44
96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,44.0,17.0,0.0,0.0,16.0,"West Greenwich town, Kent County, Rhode Island",003,77720,44
164.0,13.0,0.0,0.0,20.0,21.0,0.0,0.0,0.0,8.0,0.0,0.0,10.0,10.0,10.0,45.0,27.0,"East Greenwich town, Kent County, Rhode Island",003,22240,44
287.0,0.0,12.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,39.0,39.0,57.0,72.0,0.0,"Cumberland town, Providence County, Rhode Island",007,20080,44
872.0,40.0,12.0,37.0,0.0,28.0,36.0,106.0,11.0,10.0,123.0,182.0,107.0,52.0,92.0,24.0,12.0,"Woonsocket city, Providence County, Rhode Island",007,80780,44
486.0,0.0,0.0,12.0,0.0,0.0,0.0,7.0,82.0,0.0,17.0,123.0,103.0,52.0,28.0,29.0,33.0,"North Providence town, Providence County, Rhode Island",007,51760,44
265.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,53.0,0.0,0.0,0.0,78.0,19.0,11.0,50.0,42.0,"Lincoln town, Providence County, Rhode Island",007,41500,44
546.0,121.0,8.0,25.0,0.0,0.0,0.0,16.0,19.0,34.0,0.0,87.0,112.0,32.0,0.0,35.0,57.0,"East Providence city, Providence County, Rhode Island",007,22960,44
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Glocester town, Providence County, Rhode Island",007,30340,44
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,"North Smithfield town, Providence County, Rhode Island",007,52480,44
29.0,8.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,"Central Falls city, Providence County, Rhode Island",007,14140,44
130.0,0.0,8.0,0.0,8.0,20.0,0.0,0.0,0.0,0.0,0.0,9.0,48.0,0.0,0.0,12.0,25.0,"Smithfield town, Providence County, Rhode Island",007,66200,44
399.0,0.0,31.0,34.0,6.0,0.0,27.0,12.0,13.0,0.0,30.0,120.0,23.0,37.0,16.0,37.0,13.0,"Pawtucket city, Providence County, Rhode Island",007,54640,44
3259.0,675.0,150.0,110.0,209.0,182.0,30.0,154.0,86.0,51.0,283.0,227.0,434.0,158.0,69.0,166.0,275.0,"Providence city, Providence County, Rhode Island",007,59000,44
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Foster town, Providence County, Rhode Island",007,27460,44
196.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,38.0,15.0,22.0,52.0,11.0,18.0,13.0,"Johnston town, Providence County, Rhode Island",007,37720,44
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,"Scituate town, Providence County, Rhode Island",007,64220,44
