B25003B_001E,B25003B_002E,B25003B_003E,name,county,county subdivision,state
0.0,0.0,0.0,"Underhill town, Chittenden County, Vermont",007,73975,50
49.0,9.0,40.0,"Williston town, Chittenden County, Vermont",007,84475,50
0.0,0.0,0.0,"Belvidere town, Lamoille County, Vermont",015,04375,50
0.0,0.0,0.0,"Stowe town, Lamoille County, Vermont",015,70525,50
0.0,0.0,0.0,"Morristown town, Lamoille County, Vermont",015,46675,50
6.0,6.0,0.0,"Waterville town, Lamoille County, Vermont",015,77425,50
5.0,0.0,5.0,"Cambridge town, Lamoille County, Vermont",015,11500,50
0.0,0.0,0.0,"Wolcott town, Lamoille County, Vermont",015,85375,50
0.0,0.0,0.0,"Eden town, Lamoille County, Vermont",015,23500,50
0.0,0.0,0.0,"Johnson town, Lamoille County, Vermont",015,37075,50
4.0,4.0,0.0,"Elmore town, Lamoille County, Vermont",015,23725,50
0.0,0.0,0.0,"Hyde Park town, Lamoille County, Vermont",015,35050,50
5.0,0.0,5.0,"Ludlow town, Windsor County, Vermont",027,41275,50
0.0,0.0,0.0,"Cavendish town, Windsor County, Vermont",027,12250,50
20.0,0.0,20.0,"Royalton town, Windsor County, Vermont",027,60850,50
0.0,0.0,0.0,"Weston town, Windsor County, Vermont",027,82000,50
0.0,0.0,0.0,"Woodstock town, Windsor County, Vermont",027,85975,50
0.0,0.0,0.0,"Andover town, Windsor County, Vermont",027,01300,50
12.0,12.0,0.0,"Springfield town, Windsor County, Vermont",027,69550,50
0.0,0.0,0.0,"Weathersfield town, Windsor County, Vermont",027,77500,50
0.0,0.0,0.0,"Stockbridge town, Windsor County, Vermont",027,70375,50
7.0,7.0,0.0,"Norwich town, Windsor County, Vermont",027,52900,50
0.0,0.0,0.0,"Pomfret town, Windsor County, Vermont",027,56350,50
3.0,0.0,3.0,"Sharon town, Windsor County, Vermont",027,63775,50
0.0,0.0,0.0,"West Windsor town, Windsor County, Vermont",027,83050,50
0.0,0.0,0.0,"Baltimore town, Windsor County, Vermont",027,02575,50
0.0,0.0,0.0,"Barnard town, Windsor County, Vermont",027,02725,50
8.0,0.0,8.0,"Hartland town, Windsor County, Vermont",027,32425,50
49.0,13.0,36.0,"Hartford town, Windsor County, Vermont",027,32275,50
0.0,0.0,0.0,"Reading town, Windsor County, Vermont",027,58375,50
43.0,0.0,43.0,"Windsor town, Windsor County, Vermont",027,84925,50
0.0,0.0,0.0,"Plymouth town, Windsor County, Vermont",027,56050,50
0.0,0.0,0.0,"Bridgewater town, Windsor County, Vermont",027,08275,50
0.0,0.0,0.0,"Chester town, Windsor County, Vermont",027,13675,50
0.0,0.0,0.0,"Rochester town, Windsor County, Vermont",027,60100,50
9.0,0.0,9.0,"Bethel town, Windsor County, Vermont",027,05800,50
0.0,0.0,0.0,"Fletcher town, Franklin County, Vermont",011,26500,50
0.0,0.0,0.0,"Bakersfield town, Franklin County, Vermont",011,02500,50
0.0,0.0,0.0,"Fairfax town, Franklin County, Vermont",011,24925,50
0.0,0.0,0.0,"Georgia town, Franklin County, Vermont",011,27700,50
0.0,0.0,0.0,"Swanton town, Franklin County, Vermont",011,71725,50
36.0,36.0,0.0,"St. Albans town, Franklin County, Vermont",011,61750,50
0.0,0.0,0.0,"Berkshire town, Franklin County, Vermont",011,05425,50
65.0,10.0,55.0,"St. Albans city, Franklin County, Vermont",011,61675,50
0.0,0.0,0.0,"Franklin town, Franklin County, Vermont",011,27100,50
0.0,0.0,0.0,"Montgomery town, Franklin County, Vermont",011,45850,50
0.0,0.0,0.0,"Sheldon town, Franklin County, Vermont",011,64600,50
0.0,0.0,0.0,"Highgate town, Franklin County, Vermont",011,33025,50
0.0,0.0,0.0,"Richford town, Franklin County, Vermont",011,59125,50
0.0,0.0,0.0,"Fairfield town, Franklin County, Vermont",011,25225,50
18.0,0.0,18.0,"Hardwick town, Caledonia County, Vermont",005,31825,50
0.0,0.0,0.0,"Sutton town, Caledonia County, Vermont",005,71575,50
7.0,0.0,7.0,"Danville town, Caledonia County, Vermont",005,17125,50
0.0,0.0,0.0,"Ryegate town, Caledonia County, Vermont",005,61525,50
0.0,0.0,0.0,"St. Johnsbury town, Caledonia County, Vermont",005,62200,50
0.0,0.0,0.0,"Waterford town, Caledonia County, Vermont",005,77125,50
0.0,0.0,0.0,"Peacham town, Caledonia County, Vermont",005,54400,50
0.0,0.0,0.0,"Walden town, Caledonia County, Vermont",005,75700,50
0.0,0.0,0.0,"Lyndon town, Caledonia County, Vermont",005,41725,50
0.0,0.0,0.0,"Newark town, Caledonia County, Vermont",005,47725,50
0.0,0.0,0.0,"Groton town, Caledonia County, Vermont",005,30550,50
0.0,0.0,0.0,"Kirby town, Caledonia County, Vermont",005,37900,50
0.0,0.0,0.0,"Stannard town, Caledonia County, Vermont",005,69925,50
0.0,0.0,0.0,"Wheelock town, Caledonia County, Vermont",005,83500,50
0.0,0.0,0.0,"Barnet town, Caledonia County, Vermont",005,02875,50
0.0,0.0,0.0,"Burke town, Caledonia County, Vermont",005,10450,50
0.0,0.0,0.0,"Sheffield town, Caledonia County, Vermont",005,64075,50
37.0,0.0,37.0,"Rockingham town, Windham County, Vermont",025,60250,50
0.0,0.0,0.0,"Vernon town, Windham County, Vermont",025,74800,50
0.0,0.0,0.0,"Jamaica town, Windham County, Vermont",025,36175,50
35.0,0.0,35.0,"Brattleboro town, Windham County, Vermont",025,07900,50
7.0,7.0,0.0,"Guilford town, Windham County, Vermont",025,30925,50
0.0,0.0,0.0,"Halifax town, Windham County, Vermont",025,31150,50
0.0,0.0,0.0,"Marlboro town, Windham County, Vermont",025,43375,50
12.0,12.0,0.0,"Wardsboro town, Windham County, Vermont",025,76225,50
2.0,0.0,2.0,"Whitingham town, Windham County, Vermont",025,83950,50
5.0,0.0,5.0,"Dover town, Windham County, Vermont",025,17875,50
0.0,0.0,0.0,"Brookline town, Windham County, Vermont",025,09475,50
0.0,0.0,0.0,"Athens town, Windham County, Vermont",025,01900,50
0.0,0.0,0.0,"Windham town, Windham County, Vermont",025,84850,50
0.0,0.0,0.0,"Dummerston town, Windham County, Vermont",025,18325,50
0.0,0.0,0.0,"Grafton town, Windham County, Vermont",025,28900,50
0.0,0.0,0.0,"Londonderry town, Windham County, Vermont",025,40225,50
0.0,0.0,0.0,"Newfane town, Windham County, Vermont",025,48400,50
23.0,5.0,18.0,"Putney town, Windham County, Vermont",025,57700,50
0.0,0.0,0.0,"Westminster town, Windham County, Vermont",025,81400,50
0.0,0.0,0.0,"Townshend town, Windham County, Vermont",025,73300,50
0.0,0.0,0.0,"Stratton town, Windham County, Vermont",025,70750,50
0.0,0.0,0.0,"Wilmington town, Windham County, Vermont",025,84700,50
0.0,0.0,0.0,"Somerset town, Windham County, Vermont",025,65762,50
0.0,0.0,0.0,"Peru town, Bennington County, Vermont",003,55000,50
0.0,0.0,0.0,"Rupert town, Bennington County, Vermont",003,61000,50
0.0,0.0,0.0,"Glastenbury town, Bennington County, Vermont",003,27962,50
0.0,0.0,0.0,"Sandgate town, Bennington County, Vermont",003,62875,50
0.0,0.0,0.0,"Woodford town, Bennington County, Vermont",003,85675,50
0.0,0.0,0.0,"Winhall town, Bennington County, Vermont",003,85075,50
0.0,0.0,0.0,"Arlington town, Bennington County, Vermont",003,01450,50
0.0,0.0,0.0,"Landgrove town, Bennington County, Vermont",003,39025,50
