B15002_001E,B15002_002E,B15002_003E,B15002_004E,B15002_005E,B15002_006E,B15002_007E,B15002_008E,B15002_009E,B15002_010E,B15002_011E,B15002_012E,B15002_013E,B15002_014E,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_019E,B15002_020E,B15002_021E,B15002_022E,B15002_023E,B15002_024E,B15002_025E,B15002_026E,B15002_027E,B15002_028E,B15002_029E,B15002_030E,B15002_031E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,name,county,county subdivision,state
91.0,44.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,12.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,"Mina CCD, Mineral County, Nevada",021,94588,32
113.0,55.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,58.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,"Summit Lake CCD, Humboldt County, Nevada",013,94798,32
8783.0,4644.0,66.0,34.0,199.0,99.0,71.0,135.0,72.0,135.0,1803.0,259.0,847.0,312.0,371.0,161.0,51.0,29.0,4139.0,28.0,80.0,97.0,63.0,37.0,133.0,29.0,100.0,1249.0,505.0,592.0,423.0,462.0,207.0,134.0,0.0,"Winnemucca CCD, Humboldt County, Nevada",013,94910,32
2568.0,1265.0,7.0,0.0,0.0,0.0,41.0,77.0,18.0,0.0,361.0,115.0,245.0,131.0,175.0,82.0,0.0,13.0,1303.0,0.0,0.0,0.0,20.0,0.0,34.0,96.0,36.0,500.0,84.0,242.0,148.0,85.0,58.0,0.0,0.0,"Hawthorne CCD, Mineral County, Nevada",021,94434,32
631.0,292.0,0.0,0.0,5.0,2.0,17.0,2.0,22.0,8.0,111.0,31.0,62.0,21.0,11.0,0.0,0.0,0.0,339.0,4.0,0.0,0.0,3.0,27.0,5.0,15.0,0.0,126.0,31.0,64.0,27.0,32.0,5.0,0.0,0.0,"Walker River CCD, Mineral County, Nevada",021,94868,32
19.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Cherry Creek CCD, White Pine County, Nevada",033,94168,32
3998.0,2067.0,6.0,52.0,49.0,53.0,24.0,55.0,68.0,35.0,693.0,176.0,318.0,214.0,271.0,41.0,7.0,5.0,1931.0,5.0,3.0,36.0,34.0,7.0,34.0,48.0,4.0,698.0,200.0,309.0,245.0,177.0,101.0,5.0,25.0,"Ely CCD, White Pine County, Nevada",033,94280,32
1088.0,547.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,21.0,235.0,16.0,109.0,57.0,63.0,29.0,0.0,0.0,541.0,0.0,0.0,0.0,21.0,37.0,16.0,26.0,0.0,114.0,41.0,111.0,10.0,103.0,62.0,0.0,0.0,"McGill CCD, White Pine County, Nevada",033,94560,32
307.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,32.0,0.0,67.0,11.0,0.0,0.0,0.0,0.0,174.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,70.0,13.0,19.0,35.0,0.0,17.0,0.0,0.0,"Lund CCD, White Pine County, Nevada",033,94532,32
1502.0,1322.0,0.0,4.0,8.0,32.0,43.0,86.0,129.0,37.0,598.0,15.0,284.0,52.0,4.0,30.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,0.0,61.0,17.0,59.0,0.0,24.0,0.0,0.0,0.0,"Ruth CCD, White Pine County, Nevada",033,94742,32
108.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,4.0,5.0,9.0,0.0,20.0,9.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,9.0,31.0,0.0,0.0,0.0,"Baker CCD, White Pine County, Nevada",033,94056,32
1487.0,822.0,0.0,11.0,21.0,0.0,39.0,35.0,36.0,4.0,233.0,50.0,169.0,101.0,102.0,13.0,8.0,0.0,665.0,0.0,32.0,10.0,0.0,24.0,6.0,2.0,0.0,186.0,44.0,139.0,106.0,101.0,15.0,0.0,0.0,"Wells CCD, Elko County, Nevada",007,94882,32
969.0,467.0,95.0,26.0,88.0,0.0,27.0,9.0,0.0,0.0,110.0,56.0,29.0,27.0,0.0,0.0,0.0,0.0,502.0,98.0,32.0,35.0,0.0,52.0,0.0,86.0,25.0,8.0,28.0,138.0,0.0,0.0,0.0,0.0,0.0,"Jackpot CCD, Elko County, Nevada",007,94476,32
2444.0,1225.0,0.0,15.0,294.0,37.0,68.0,102.0,78.0,41.0,312.0,0.0,170.0,51.0,0.0,57.0,0.0,0.0,1219.0,0.0,6.0,163.0,26.0,33.0,87.0,92.0,57.0,382.0,0.0,249.0,25.0,34.0,34.0,31.0,0.0,"West Wendover CCD, Elko County, Nevada",007,94896,32
25488.0,13258.0,81.0,160.0,148.0,215.0,148.0,260.0,443.0,326.0,4196.0,1088.0,2414.0,1128.0,1542.0,909.0,176.0,24.0,12230.0,100.0,49.0,163.0,166.0,160.0,179.0,370.0,195.0,3035.0,928.0,3001.0,1343.0,1875.0,596.0,32.0,38.0,"Elko CCD, Elko County, Nevada",007,94266,32
123.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,9.0,41.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,0.0,9.0,0.0,0.0,0.0,"Montello CCD, Elko County, Nevada",007,94602,32
1657.0,836.0,0.0,0.0,1.0,2.0,21.0,38.0,33.0,0.0,335.0,40.0,291.0,25.0,37.0,13.0,0.0,0.0,821.0,0.0,0.0,0.0,0.0,25.0,48.0,30.0,13.0,290.0,38.0,311.0,39.0,10.0,17.0,0.0,0.0,"Carlin CCD, Elko County, Nevada",007,94126,32
49.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Jarbidge CCD, Elko County, Nevada",007,94490,32
859.0,428.0,0.0,2.0,3.0,6.0,7.0,9.0,8.0,13.0,116.0,40.0,112.0,37.0,59.0,16.0,0.0,0.0,431.0,0.0,8.0,0.0,0.0,0.0,21.0,12.0,15.0,130.0,4.0,129.0,22.0,79.0,7.0,0.0,4.0,"Mountain City CCD, Elko County, Nevada",007,94616,32
854.0,515.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,25.0,130.0,0.0,155.0,15.0,112.0,67.0,0.0,0.0,339.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,134.0,32.0,0.0,72.0,71.0,0.0,0.0,0.0,"Alamo CCD, Lincoln County, Nevada",017,94014,32
764.0,392.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,101.0,77.0,78.0,37.0,51.0,47.0,0.0,0.0,372.0,0.0,0.0,2.0,3.0,0.0,35.0,0.0,23.0,90.0,12.0,99.0,32.0,19.0,46.0,0.0,11.0,"Caliente CCD, Lincoln County, Nevada",017,94112,32
2025.0,1175.0,0.0,6.0,0.0,47.0,46.0,65.0,73.0,19.0,439.0,21.0,226.0,55.0,129.0,49.0,0.0,0.0,850.0,0.0,0.0,0.0,0.0,10.0,0.0,34.0,0.0,309.0,49.0,151.0,107.0,128.0,62.0,0.0,0.0,"Pioche CCD, Lincoln County, Nevada",017,94672,32
785.0,464.0,19.0,57.0,41.0,54.0,73.0,7.0,0.0,21.0,73.0,8.0,67.0,0.0,13.0,12.0,10.0,9.0,321.0,0.0,0.0,13.0,0.0,38.0,11.0,0.0,13.0,146.0,44.0,38.0,9.0,0.0,0.0,9.0,0.0,"Amargosa Valley CCD, Nye County, Nevada",023,94028,32
1274.0,767.0,0.0,11.0,0.0,39.0,0.0,0.0,33.0,0.0,383.0,65.0,101.0,57.0,56.0,22.0,0.0,0.0,507.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,220.0,54.0,99.0,34.0,77.0,13.0,0.0,0.0,"Round Mountain CCD, Nye County, Nevada",023,94728,32
28344.0,13745.0,142.0,20.0,161.0,68.0,222.0,363.0,464.0,449.0,5031.0,1235.0,2607.0,1332.0,1150.0,432.0,30.0,39.0,14599.0,240.0,12.0,60.0,92.0,181.0,379.0,690.0,560.0,5091.0,1651.0,2605.0,1375.0,1279.0,267.0,104.0,13.0,"Pahrump CCD, Nye County, Nevada",023,94644,32
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Yucca Flat CCD, Nye County, Nevada",023,94938,32
247.0,139.0,0.0,0.0,4.0,0.0,2.0,0.0,15.0,11.0,61.0,13.0,24.0,4.0,2.0,3.0,0.0,0.0,108.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,44.0,8.0,23.0,21.0,4.0,0.0,0.0,0.0,"Duckwater CCD, Nye County, Nevada",023,94252,32
1038.0,477.0,0.0,0.0,5.0,0.0,7.0,0.0,7.0,24.0,166.0,50.0,98.0,14.0,106.0,0.0,0.0,0.0,561.0,0.0,0.0,0.0,0.0,6.0,33.0,0.0,4.0,149.0,159.0,122.0,52.0,25.0,11.0,0.0,0.0,"Clark CCD, Storey County, Nevada",029,94196,32
296.0,167.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,104.0,12.0,16.0,23.0,0.0,0.0,0.0,0.0,129.0,24.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,50.0,19.0,26.0,0.0,0.0,0.0,0.0,0.0,"Gabbs CCD, Nye County, Nevada",023,94350,32
573.0,355.0,0.0,0.0,34.0,0.0,0.0,26.0,29.0,0.0,61.0,0.0,147.0,8.0,34.0,16.0,0.0,0.0,218.0,0.0,0.0,26.0,0.0,0.0,0.0,57.0,0.0,72.0,0.0,30.0,0.0,16.0,17.0,0.0,0.0,"Beatty CCD, Nye County, Nevada",023,94084,32
1788.0,980.0,0.0,0.0,2.0,9.0,0.0,16.0,28.0,15.0,517.0,23.0,120.0,152.0,44.0,46.0,8.0,0.0,808.0,0.0,0.0,0.0,0.0,0.0,53.0,2.0,0.0,336.0,144.0,130.0,42.0,91.0,10.0,0.0,0.0,"Tonopah CCD, Nye County, Nevada",023,94812,32
2190.0,1142.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,20.0,389.0,114.0,186.0,56.0,259.0,45.0,37.0,27.0,1048.0,0.0,0.0,0.0,0.0,0.0,7.0,38.0,11.0,311.0,108.0,291.0,53.0,141.0,59.0,0.0,29.0,"Virginia City CCD, Storey County, Nevada",029,94854,32
275.0,156.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,63.0,9.0,8.0,0.0,37.0,29.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,15.0,0.0,28.0,0.0,0.0,0.0,"High Desert CCD, Washoe County, Nevada",031,94440,32
14611.0,7427.0,288.0,46.0,398.0,149.0,224.0,270.0,241.0,565.0,2444.0,604.0,1145.0,433.0,456.0,78.0,49.0,37.0,7184.0,264.0,80.0,247.0,274.0,243.0,190.0,254.0,273.0,2122.0,738.0,1163.0,515.0,616.0,181.0,16.0,8.0,"Sun Valley CCD, Washoe County, Nevada",031,94804,32
51639.0,26544.0,370.0,287.0,1062.0,376.0,702.0,449.0,606.0,833.0,6131.0,2117.0,4296.0,1772.0,4993.0,1592.0,510.0,448.0,25095.0,374.0,271.0,956.0,397.0,515.0,601.0,543.0,572.0,5662.0,2023.0,3934.0,2155.0,4764.0,1809.0,248.0,271.0,"Reno Southeast CCD, Washoe County, Nevada",031,94709,32
1027.0,468.0,0.0,4.0,0.0,10.0,0.0,12.0,25.0,7.0,232.0,14.0,87.0,31.0,35.0,7.0,4.0,0.0,559.0,2.0,4.0,9.0,0.0,15.0,29.0,25.0,10.0,205.0,42.0,115.0,40.0,58.0,0.0,5.0,0.0,"Pyramid Lake CCD, Washoe County, Nevada",031,94686,32
6509.0,3005.0,12.0,8.0,0.0,20.0,0.0,16.0,0.0,32.0,336.0,105.0,504.0,280.0,990.0,441.0,135.0,126.0,3504.0,5.0,0.0,16.0,0.0,17.0,25.0,0.0,48.0,474.0,180.0,781.0,264.0,946.0,577.0,137.0,34.0,"Verdi CCD, Washoe County, Nevada",031,94840,32
38818.0,19100.0,147.0,26.0,18.0,112.0,207.0,217.0,141.0,373.0,4381.0,1603.0,4636.0,1722.0,3690.0,1302.0,297.0,228.0,19718.0,148.0,168.0,152.0,124.0,176.0,143.0,172.0,288.0,4349.0,1851.0,4074.0,2244.0,3619.0,1939.0,176.0,95.0,"Warm Springs-Truckee Canyon CCD, Washoe County, Nevada",031,94871,32
44402.0,21358.0,123.0,0.0,148.0,59.0,230.0,159.0,277.0,266.0,2848.0,1167.0,3520.0,1302.0,6277.0,2351.0,1691.0,940.0,23044.0,151.0,37.0,168.0,80.0,142.0,133.0,243.0,204.0,2993.0,1634.0,4202.0,1922.0,6392.0,3091.0,880.0,772.0,"Reno Southwest CCD, Washoe County, Nevada",031,94712,32
36415.0,18443.0,387.0,155.0,275.0,336.0,179.0,379.0,285.0,656.0,6251.0,1460.0,3632.0,1645.0,2060.0,561.0,92.0,90.0,17972.0,207.0,148.0,315.0,149.0,253.0,232.0,523.0,432.0,5340.0,1606.0,3707.0,1733.0,2261.0,842.0,155.0,69.0,"North Valleys CCD, Washoe County, Nevada",031,94635,32
40161.0,19624.0,410.0,108.0,733.0,298.0,351.0,384.0,544.0,499.0,6556.0,1476.0,3354.0,1500.0,2613.0,500.0,197.0,101.0,20537.0,316.0,144.0,694.0,265.0,547.0,480.0,483.0,458.0,6031.0,1871.0,3750.0,2142.0,2303.0,873.0,147.0,33.0,"Sparks CCD, Washoe County, Nevada",031,94794,32
10033.0,4997.0,27.0,0.0,0.0,53.0,11.0,89.0,12.0,69.0,1055.0,422.0,759.0,359.0,1187.0,499.0,198.0,257.0,5036.0,16.0,0.0,1.0,74.0,18.0,10.0,28.0,32.0,911.0,502.0,868.0,460.0,1377.0,542.0,152.0,45.0,"Washoe Valley CCD, Washoe County, Nevada",031,94874,32
54410.0,27637.0,459.0,201.0,503.0,403.0,383.0,396.0,719.0,524.0,7334.0,1827.0,4772.0,1696.0,5190.0,1936.0,538.0,756.0,26773.0,574.0,122.0,563.0,278.0,279.0,586.0,491.0,494.0,5978.0,1899.0,4887.0,2442.0,5121.0,2276.0,378.0,405.0,"Reno North CCD, Washoe County, Nevada",031,94703,32
6749.0,3465.0,13.0,15.0,85.0,42.0,51.0,44.0,10.0,58.0,357.0,172.0,481.0,241.0,1058.0,581.0,159.0,98.0,3284.0,0.0,13.0,35.0,30.0,35.0,0.0,33.0,62.0,351.0,81.0,516.0,303.0,1155.0,479.0,99.0,92.0,"Incline Village CCD, Washoe County, Nevada",031,94462,32
1278634.0,631907.0,10951.0,5197.0,17445.0,8327.0,12542.0,10022.0,14642.0,18793.0,188534.0,43692.0,117548.0,45537.0,92712.0,29574.0,11366.0,5025.0,646727.0,11880.0,6241.0,16421.0,9589.0,12301.0,11196.0,14798.0,17874.0,187719.0,47918.0,113133.0,53032.0,97425.0,36117.0,7150.0,3933.0,"Las Vegas CCD, Clark County, Nevada",003,94504,32
150236.0,75087.0,637.0,284.0,677.0,478.0,693.0,1115.0,1334.0,1109.0,17691.0,4934.0,14304.0,6828.0,15967.0,5454.0,2170.0,1412.0,75149.0,729.0,511.0,623.0,270.0,295.0,844.0,1197.0,1379.0,17863.0,5286.0,14783.0,6921.0,15947.0,6430.0,1396.0,675.0,"Clark CCD, Clark County, Nevada",003,94182,32
38664.0,19776.0,272.0,105.0,486.0,157.0,276.0,428.0,651.0,628.0,5545.0,1826.0,3322.0,1480.0,2586.0,1319.0,380.0,315.0,18888.0,149.0,30.0,153.0,113.0,293.0,535.0,421.0,319.0,5586.0,1884.0,3773.0,1892.0,2420.0,876.0,327.0,117.0,"Carson City CCD, Carson City, Nevada",510,94140,32
11694.0,5885.0,145.0,0.0,53.0,183.0,93.0,103.0,220.0,111.0,1663.0,444.0,1249.0,769.0,573.0,205.0,34.0,40.0,5809.0,32.0,41.0,62.0,88.0,86.0,34.0,93.0,170.0,1810.0,527.0,953.0,758.0,716.0,383.0,48.0,8.0,"Dayton CCD, Lyon County, Nevada",019,94224,32
5605.0,2792.0,14.0,0.0,7.0,105.0,29.0,57.0,68.0,122.0,960.0,172.0,607.0,312.0,200.0,136.0,3.0,0.0,2813.0,9.0,0.0,0.0,17.0,51.0,116.0,129.0,52.0,849.0,357.0,598.0,328.0,221.0,78.0,0.0,8.0,"Silver Springs CCD, Lyon County, Nevada",019,94777,32
1261.0,664.0,12.0,0.0,0.0,0.0,0.0,0.0,7.0,57.0,162.0,29.0,231.0,56.0,70.0,40.0,0.0,0.0,597.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,36.0,166.0,140.0,90.0,47.0,0.0,43.0,"Smith Valley CCD, Lyon County, Nevada",019,94784,32
13276.0,6797.0,29.0,0.0,47.0,79.0,100.0,128.0,202.0,116.0,2582.0,609.0,1421.0,627.0,562.0,229.0,33.0,33.0,6479.0,54.0,90.0,54.0,170.0,74.0,235.0,211.0,108.0,1802.0,584.0,1505.0,497.0,722.0,342.0,11.0,20.0,"Fernley CCD, Lyon County, Nevada",019,94322,32
5461.0,2631.0,73.0,130.0,99.0,44.0,28.0,54.0,177.0,138.0,887.0,303.0,370.0,50.0,209.0,69.0,0.0,0.0,2830.0,33.0,50.0,53.0,5.0,58.0,42.0,135.0,224.0,997.0,328.0,425.0,182.0,217.0,50.0,31.0,0.0,"Yerington CCD, Lyon County, Nevada",019,94924,32
55.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,"Ralston Valley CCD, Nye County, Nevada",023,94701,32
409.0,186.0,0.0,0.0,6.0,8.0,0.0,13.0,3.0,0.0,55.0,10.0,28.0,17.0,27.0,5.0,7.0,7.0,223.0,0.0,0.0,0.0,14.0,0.0,6.0,7.0,0.0,91.0,0.0,59.0,8.0,33.0,5.0,0.0,0.0,"Silver Peak CCD, Esmeralda County, Nevada",009,94770,32
