B07003_001E,B07003_002E,B07003_003E,B07003_004E,B07003_005E,B07003_006E,B07003_007E,B07003_008E,B07003_009E,B07003_010E,B07003_011E,B07003_012E,B07003_013E,B07003_014E,B07003_015E,B07003_016E,B07003_017E,B07003_018E,name,county,county subdivision,state
3059.0,1449.0,1610.0,2784.0,1315.0,1469.0,69.0,35.0,34.0,206.0,99.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,"District 1, Jasper County, Mississippi",061,90279,28
3934.0,1796.0,2138.0,3771.0,1713.0,2058.0,59.0,13.0,46.0,73.0,49.0,24.0,28.0,21.0,7.0,3.0,0.0,3.0,"District 3, Jasper County, Mississippi",061,91755,28
13141.0,6393.0,6748.0,12727.0,6160.0,6567.0,243.0,163.0,80.0,171.0,70.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,"District 3, Jones County, Mississippi",067,91782,28
14726.0,7388.0,7338.0,13524.0,6825.0,6699.0,791.0,385.0,406.0,297.0,109.0,188.0,114.0,69.0,45.0,0.0,0.0,0.0,"District 2, Jones County, Mississippi",067,91044,28
2623.0,1089.0,1534.0,2321.0,894.0,1427.0,73.0,31.0,42.0,218.0,157.0,61.0,11.0,7.0,4.0,0.0,0.0,0.0,"District 2, Walthall County, Mississippi",147,91404,28
15965.0,7511.0,8454.0,14775.0,6878.0,7897.0,582.0,268.0,314.0,481.0,282.0,199.0,119.0,75.0,44.0,8.0,8.0,0.0,"District 4, Jones County, Mississippi",067,92520,28
12981.0,6385.0,6596.0,11614.0,5620.0,5994.0,1041.0,562.0,479.0,316.0,193.0,123.0,10.0,10.0,0.0,0.0,0.0,0.0,"District 1, Jones County, Mississippi",067,90306,28
10429.0,4940.0,5489.0,9685.0,4606.0,5079.0,701.0,312.0,389.0,35.0,14.0,21.0,8.0,8.0,0.0,0.0,0.0,0.0,"District 5, Jones County, Mississippi",067,93258,28
2491.0,1342.0,1149.0,2321.0,1239.0,1082.0,63.0,40.0,23.0,46.0,24.0,22.0,61.0,39.0,22.0,0.0,0.0,0.0,"District 1, Walthall County, Mississippi",147,90666,28
2996.0,1451.0,1545.0,2647.0,1237.0,1410.0,229.0,129.0,100.0,18.0,14.0,4.0,102.0,71.0,31.0,0.0,0.0,0.0,"District 3, Walthall County, Mississippi",147,92142,28
2629.0,1414.0,1215.0,2539.0,1349.0,1190.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,65.0,25.0,0.0,0.0,0.0,"District 5, Walthall County, Mississippi",147,93618,28
3657.0,1787.0,1870.0,3200.0,1696.0,1504.0,193.0,23.0,170.0,56.0,38.0,18.0,208.0,30.0,178.0,0.0,0.0,0.0,"District 4, Walthall County, Mississippi",147,92880,28
6894.0,3363.0,3531.0,6278.0,3080.0,3198.0,325.0,154.0,171.0,260.0,110.0,150.0,13.0,10.0,3.0,18.0,9.0,9.0,"District 3, Monroe County, Mississippi",095,91908,28
6381.0,3172.0,3209.0,5974.0,2947.0,3027.0,229.0,110.0,119.0,136.0,92.0,44.0,23.0,15.0,8.0,19.0,8.0,11.0,"District 4, Monroe County, Mississippi",095,92646,28
7149.0,3439.0,3710.0,6158.0,2832.0,3326.0,488.0,250.0,238.0,449.0,309.0,140.0,54.0,48.0,6.0,0.0,0.0,0.0,"District 5, Monroe County, Mississippi",095,93384,28
7224.0,3306.0,3918.0,6527.0,2940.0,3587.0,579.0,319.0,260.0,61.0,20.0,41.0,57.0,27.0,30.0,0.0,0.0,0.0,"District 2, Monroe County, Mississippi",095,91170,28
7871.0,3659.0,4212.0,7455.0,3429.0,4026.0,244.0,113.0,131.0,153.0,107.0,46.0,19.0,10.0,9.0,0.0,0.0,0.0,"District 1, Monroe County, Mississippi",095,90432,28
5427.0,2503.0,2924.0,4792.0,2199.0,2593.0,411.0,175.0,236.0,206.0,120.0,86.0,18.0,9.0,9.0,0.0,0.0,0.0,"District 4, Pontotoc County, Mississippi",115,92736,28
6048.0,2737.0,3311.0,5156.0,2381.0,2775.0,677.0,283.0,394.0,47.0,25.0,22.0,149.0,39.0,110.0,19.0,9.0,10.0,"District 3, Pontotoc County, Mississippi",115,91998,28
4531.0,2109.0,2422.0,4120.0,1911.0,2209.0,335.0,161.0,174.0,62.0,33.0,29.0,14.0,4.0,10.0,0.0,0.0,0.0,"District 2, Sunflower County, Mississippi",133,91341,28
4933.0,2625.0,2308.0,4119.0,2187.0,1932.0,213.0,160.0,53.0,202.0,83.0,119.0,399.0,195.0,204.0,0.0,0.0,0.0,"District 5, Pontotoc County, Mississippi",115,93474,28
6492.0,3250.0,3242.0,5597.0,2769.0,2828.0,578.0,329.0,249.0,223.0,116.0,107.0,94.0,36.0,58.0,0.0,0.0,0.0,"District 1, Pontotoc County, Mississippi",115,90522,28
7695.0,4041.0,3654.0,5670.0,2936.0,2734.0,1119.0,585.0,534.0,807.0,502.0,305.0,81.0,0.0,81.0,18.0,18.0,0.0,"District 2, Pontotoc County, Mississippi",115,91260,28
4885.0,2142.0,2743.0,4380.0,1912.0,2468.0,399.0,165.0,234.0,68.0,31.0,37.0,38.0,34.0,4.0,0.0,0.0,0.0,"District 4, Sunflower County, Mississippi",133,92817,28
7671.0,5312.0,2359.0,6046.0,3956.0,2090.0,256.0,142.0,114.0,1272.0,1133.0,139.0,87.0,71.0,16.0,10.0,10.0,0.0,"District 5, Sunflower County, Mississippi",133,93555,28
4812.0,2220.0,2592.0,4310.0,1996.0,2314.0,362.0,146.0,216.0,60.0,42.0,18.0,67.0,29.0,38.0,13.0,7.0,6.0,"District 3, Sunflower County, Mississippi",133,92079,28
4658.0,2161.0,2497.0,4366.0,2006.0,2360.0,136.0,54.0,82.0,132.0,85.0,47.0,24.0,16.0,8.0,0.0,0.0,0.0,"District 1, Sunflower County, Mississippi",133,90603,28
2251.0,1110.0,1141.0,2187.0,1064.0,1123.0,40.0,25.0,15.0,22.0,19.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,"District 5, Webster County, Mississippi",155,93654,28
2063.0,977.0,1086.0,1477.0,673.0,804.0,435.0,238.0,197.0,114.0,66.0,48.0,37.0,0.0,37.0,0.0,0.0,0.0,"District 3, Webster County, Mississippi",155,92178,28
2033.0,957.0,1076.0,1886.0,889.0,997.0,18.0,8.0,10.0,119.0,50.0,69.0,10.0,10.0,0.0,0.0,0.0,0.0,"District 4, Webster County, Mississippi",155,92916,28
1695.0,807.0,888.0,1609.0,747.0,862.0,36.0,24.0,12.0,31.0,31.0,0.0,19.0,5.0,14.0,0.0,0.0,0.0,"District 1, Webster County, Mississippi",155,90702,28
1702.0,885.0,817.0,1288.0,643.0,645.0,172.0,93.0,79.0,73.0,14.0,59.0,169.0,135.0,34.0,0.0,0.0,0.0,"District 2, Webster County, Mississippi",155,91440,28
6777.0,3332.0,3445.0,5941.0,2882.0,3059.0,391.0,168.0,223.0,154.0,103.0,51.0,291.0,179.0,112.0,0.0,0.0,0.0,"District 2, Alcorn County, Mississippi",003,90756,28
