B19013H_001E,name,county,county subdivision,state
62216.0,"Overfield township, Wyoming County, Pennsylvania",131,57408,42
43068.0,"Tunkhannock borough, Wyoming County, Pennsylvania",131,77784,42
63939.0,"Tunkhannock township, Wyoming County, Pennsylvania",131,77792,42
52400.0,"Factoryville borough, Wyoming County, Pennsylvania",131,24488,42
78043.0,"Hamilton township, Adams County, Pennsylvania",001,32144,42
66161.0,"Berwick township, Adams County, Pennsylvania",001,05880,42
71591.0,"Germany township, Adams County, Pennsylvania",001,28936,42
74196.0,"Highland township, Adams County, Pennsylvania",001,34424,42
71800.0,"Reading township, Adams County, Pennsylvania",001,63616,42
52989.0,"Tyrone township, Adams County, Pennsylvania",001,78160,42
66000.0,"York Springs borough, Adams County, Pennsylvania",001,87136,42
86875.0,"Carroll Valley borough, Adams County, Pennsylvania",001,11472,42
62344.0,"Arendtsville borough, Adams County, Pennsylvania",001,02928,42
64588.0,"Conewago township, Adams County, Pennsylvania",001,15632,42
74926.0,"Mount Pleasant township, Adams County, Pennsylvania",001,51776,42
65982.0,"Cumberland township, Adams County, Pennsylvania",001,17640,42
61442.0,"Abbottstown borough, Adams County, Pennsylvania",001,00116,42
78281.0,"Freedom township, Adams County, Pennsylvania",001,27704,42
74788.0,"Latimore township, Adams County, Pennsylvania",001,41672,42
59779.0,"Littlestown borough, Adams County, Pennsylvania",001,43944,42
53750.0,"Fairfield borough, Adams County, Pennsylvania",001,24560,42
61845.0,"Huntington township, Adams County, Pennsylvania",001,36424,42
80300.0,"Bendersville borough, Adams County, Pennsylvania",001,05536,42
66216.0,"Butler township, Adams County, Pennsylvania",001,10456,42
60577.0,"East Berlin borough, Adams County, Pennsylvania",001,20792,42
38792.0,"Gettysburg borough, Adams County, Pennsylvania",001,28960,42
75729.0,"Liberty township, Adams County, Pennsylvania",001,43056,42
66128.0,"Straban township, Adams County, Pennsylvania",001,74680,42
68750.0,"Biglerville borough, Adams County, Pennsylvania",001,06296,42
68177.0,"Franklin township, Adams County, Pennsylvania",001,27320,42
70000.0,"Menallen township, Adams County, Pennsylvania",001,48608,42
49375.0,"New Oxford borough, Adams County, Pennsylvania",001,53920,42
49921.0,"Bonneauville borough, Adams County, Pennsylvania",001,07560,42
63264.0,"Hamiltonban township, Adams County, Pennsylvania",001,32200,42
41746.0,"McSherrystown borough, Adams County, Pennsylvania",001,46376,42
58194.0,"Oxford township, Adams County, Pennsylvania",001,57472,42
73661.0,"Union township, Adams County, Pennsylvania",001,78264,42
75547.0,"Mount Joy township, Adams County, Pennsylvania",001,51640,42
71810.0,"Hatboro borough, Montgomery County, Pennsylvania",091,33088,42
76554.0,"Marlborough township, Montgomery County, Pennsylvania",091,47592,42
53924.0,"Norristown borough, Montgomery County, Pennsylvania",091,54656,42
56250.0,"Red Hill borough, Montgomery County, Pennsylvania",091,63808,42
55625.0,"Schwenksville borough, Montgomery County, Pennsylvania",091,68328,42
104408.0,"Skippack township, Montgomery County, Pennsylvania",091,71016,42
72157.0,"Upper Moreland township, Montgomery County, Pennsylvania",091,79176,42
91786.0,"Upper Pottsgrove township, Montgomery County, Pennsylvania",091,79240,42
54107.0,"West Pottsgrove township, Montgomery County, Pennsylvania",091,83912,42
89954.0,"Abington township, Montgomery County, Pennsylvania",091,00156,42
52772.0,"Bridgeport borough, Montgomery County, Pennsylvania",091,08568,42
63107.0,"Lansdale borough, Montgomery County, Pennsylvania",091,41432,42
82750.0,"Conshohocken borough, Montgomery County, Pennsylvania",091,15848,42
89238.0,"Franconia township, Montgomery County, Pennsylvania",091,27280,42
102643.0,"Lower Gwynedd township, Montgomery County, Pennsylvania",091,44920,42
82670.0,"Upper Hanover township, Montgomery County, Pennsylvania",091,79064,42
71443.0,"Hatfield township, Montgomery County, Pennsylvania",091,33120,42
44500.0,"Burnside borough, Clearfield County, Pennsylvania",033,10280,42
53333.0,"Grampian borough, Clearfield County, Pennsylvania",033,30280,42
45137.0,"Lawrence township, Clearfield County, Pennsylvania",033,41952,42
42969.0,"Pike township, Clearfield County, Pennsylvania",033,60192,42
48125.0,"Bloom township, Clearfield County, Pennsylvania",033,07008,42
35750.0,"Goshen township, Clearfield County, Pennsylvania",033,30152,42
52500.0,"Huston township, Clearfield County, Pennsylvania",033,36512,42
53611.0,"Mahaffey borough, Clearfield County, Pennsylvania",033,46568,42
49643.0,"Ramey borough, Clearfield County, Pennsylvania",033,63360,42
48750.0,"Girard township, Clearfield County, Pennsylvania",033,29224,42
23500.0,"Newburg borough, Clearfield County, Pennsylvania",033,53336,42
46250.0,"Osceola Mills borough, Clearfield County, Pennsylvania",033,57232,42
44205.0,"Youngsville borough, Warren County, Pennsylvania",123,87224,42
59792.0,"Elk township, Warren County, Pennsylvania",123,23064,42
58980.0,"Pine Grove township, Warren County, Pennsylvania",123,60480,42
60938.0,"Watson township, Warren County, Pennsylvania",123,81584,42
51875.0,"Pittsfield township, Warren County, Pennsylvania",123,61040,42
32917.0,"Triumph township, Warren County, Pennsylvania",123,77512,42
39185.0,"Brokenstraw township, Warren County, Pennsylvania",123,09024,42
46250.0,"Cherry Grove township, Warren County, Pennsylvania",123,13056,42
47868.0,"Columbus township, Warren County, Pennsylvania",123,15408,42
54844.0,"Deerfield township, Warren County, Pennsylvania",123,18560,42
36000.0,"Bear Lake borough, Warren County, Pennsylvania",123,04608,42
49286.0,"Mead township, Warren County, Pennsylvania",123,48272,42
32000.0,"Eldred township, Warren County, Pennsylvania",123,22920,42
65132.0,"Farmington township, Warren County, Pennsylvania",123,25304,42
30938.0,"Tidioute borough, Warren County, Pennsylvania",123,76696,42
40433.0,"Warren city, Warren County, Pennsylvania",123,81000,42
40978.0,"Spring Creek township, Warren County, Pennsylvania",123,72952,42
58229.0,"Glade township, Warren County, Pennsylvania",123,29328,42
59063.0,"Sugar Grove borough, Warren County, Pennsylvania",123,75024,42
53542.0,"Limestone township, Warren County, Pennsylvania",123,43372,42
36667.0,"Clarendon borough, Warren County, Pennsylvania",123,13776,42
41569.0,"Sheffield township, Warren County, Pennsylvania",123,69992,42
43056.0,"Sugar Grove township, Warren County, Pennsylvania",123,75032,42
62634.0,"Madison township, Columbia County, Pennsylvania",037,46472,42
54235.0,"Scott township, Columbia County, Pennsylvania",037,68392,42
41324.0,"South Centre township, Columbia County, Pennsylvania",037,72040,42
42375.0,"Stillwater borough, Columbia County, Pennsylvania",037,74184,42
57404.0,"Beaver township, Columbia County, Pennsylvania",037,04704,42
54338.0,"Mifflin township, Columbia County, Pennsylvania",037,49256,42
54375.0,"Jackson township, Columbia County, Pennsylvania",037,37360,42
116653.0,"Adams township, Butler County, Pennsylvania",019,00300,42
47404.0,"Concord township, Butler County, Pennsylvania",019,15480,42
63317.0,"Donegal township, Butler County, Pennsylvania",019,19456,42
65357.0,"Fairview borough, Butler County, Pennsylvania",019,24832,42
30325.0,"Butler city, Butler County, Pennsylvania",019,10464,42
62708.0,"Clay township, Butler County, Pennsylvania",019,13936,42
48750.0,"Evans City borough, Butler County, Pennsylvania",019,24248,42
51304.0,"Marion township, Butler County, Pennsylvania",019,47448,42
74605.0,"Middlesex township, Butler County, Pennsylvania",019,49056,42
49583.0,"Parker township, Butler County, Pennsylvania",019,57984,42
49000.0,"Winfield township, Butler County, Pennsylvania",019,85784,42
48611.0,"Worth township, Butler County, Pennsylvania",019,86536,42
51968.0,"Zelienople borough, Butler County, Pennsylvania",019,87272,42
58542.0,"West Sunbury borough, Butler County, Pennsylvania",019,84064,42
52750.0,"Eau Claire borough, Butler County, Pennsylvania",019,22128,42
52926.0,"Clearfield township, Butler County, Pennsylvania",019,14048,42
81742.0,"Clinton township, Butler County, Pennsylvania",019,14320,42
67768.0,"Connoquenessing borough, Butler County, Pennsylvania",019,15808,42
60772.0,"Connoquenessing township, Butler County, Pennsylvania",019,15816,42
71477.0,"Harmony borough, Butler County, Pennsylvania",019,32688,42
31429.0,"Karns City borough, Butler County, Pennsylvania",019,38768,42
40372.0,"Slippery Rock borough, Butler County, Pennsylvania",019,71184,42
50208.0,"Valencia borough, Butler County, Pennsylvania",019,79504,42
47857.0,"Allegheny township, Butler County, Pennsylvania",019,00860,42
80143.0,"Buffalo township, Butler County, Pennsylvania",019,10000,42
