B07004I_001E,B07004I_002E,B07004I_003E,B07004I_004E,B07004I_005E,B07004I_006E,name,county,county subdivision,state
6.0,6.0,0.0,0.0,0.0,0.0,"Springfield township, Huntingdon County, Pennsylvania",061,73072,42
17.0,17.0,0.0,0.0,0.0,0.0,"Porter township, Huntingdon County, Pennsylvania",061,62160,42
1.0,1.0,0.0,0.0,0.0,0.0,"Warriors Mark township, Huntingdon County, Pennsylvania",061,81104,42
16.0,16.0,0.0,0.0,0.0,0.0,"Franklin township, Huntingdon County, Pennsylvania",061,27416,42
0.0,0.0,0.0,0.0,0.0,0.0,"Ernest borough, Indiana County, Pennsylvania",063,24040,42
0.0,0.0,0.0,0.0,0.0,0.0,"Blairsville borough, Indiana County, Pennsylvania",063,06904,42
50.0,33.0,14.0,0.0,3.0,0.0,"Cherryhill township, Indiana County, Pennsylvania",063,13072,42
206.0,188.0,18.0,0.0,0.0,0.0,"Burrell township, Indiana County, Pennsylvania",063,10352,42
0.0,0.0,0.0,0.0,0.0,0.0,"Cherry Tree borough, Indiana County, Pennsylvania",063,13120,42
0.0,0.0,0.0,0.0,0.0,0.0,"Armstrong township, Indiana County, Pennsylvania",063,03064,42
3.0,0.0,3.0,0.0,0.0,0.0,"Conemaugh township, Indiana County, Pennsylvania",063,15560,42
0.0,0.0,0.0,0.0,0.0,0.0,"Creekside borough, Indiana County, Pennsylvania",063,17024,42
0.0,0.0,0.0,0.0,0.0,0.0,"East Mahoning township, Indiana County, Pennsylvania",063,21456,42
0.0,0.0,0.0,0.0,0.0,0.0,"Rayne township, Indiana County, Pennsylvania",063,63584,42
290.0,215.0,5.0,21.0,33.0,16.0,"White township, Indiana County, Pennsylvania",063,84472,42
35.0,35.0,0.0,0.0,0.0,0.0,"East Wheatfield township, Indiana County, Pennsylvania",063,22048,42
0.0,0.0,0.0,0.0,0.0,0.0,"Canoe township, Indiana County, Pennsylvania",063,11120,42
281.0,17.0,133.0,115.0,16.0,0.0,"Indiana borough, Indiana County, Pennsylvania",063,36816,42
0.0,0.0,0.0,0.0,0.0,0.0,"Marion Center borough, Indiana County, Pennsylvania",063,47472,42
9.0,9.0,0.0,0.0,0.0,0.0,"Black Lick township, Indiana County, Pennsylvania",063,06752,42
34.0,33.0,1.0,0.0,0.0,0.0,"Green township, Indiana County, Pennsylvania",063,30816,42
0.0,0.0,0.0,0.0,0.0,0.0,"Plumville borough, Indiana County, Pennsylvania",063,61632,42
0.0,0.0,0.0,0.0,0.0,0.0,"Saltsburg borough, Indiana County, Pennsylvania",063,67648,42
0.0,0.0,0.0,0.0,0.0,0.0,"Shelocta borough, Indiana County, Pennsylvania",063,70040,42
2.0,2.0,0.0,0.0,0.0,0.0,"Armagh borough, Indiana County, Pennsylvania",063,03032,42
24.0,24.0,0.0,0.0,0.0,0.0,"Brush Valley township, Indiana County, Pennsylvania",063,09624,42
6.0,0.0,6.0,0.0,0.0,0.0,"Buffington township, Indiana County, Pennsylvania",063,10104,42
11.0,11.0,0.0,0.0,0.0,0.0,"Young township, Indiana County, Pennsylvania",063,87160,42
0.0,0.0,0.0,0.0,0.0,0.0,"Banks township, Indiana County, Pennsylvania",063,04056,42
0.0,0.0,0.0,0.0,0.0,0.0,"Center township, Indiana County, Pennsylvania",063,12040,42
26.0,26.0,0.0,0.0,0.0,0.0,"Clymer borough, Indiana County, Pennsylvania",063,14520,42
4.0,4.0,0.0,0.0,0.0,0.0,"Montgomery township, Indiana County, Pennsylvania",063,50624,42
17.0,17.0,0.0,0.0,0.0,0.0,"North Mahoning township, Indiana County, Pennsylvania",063,55184,42
0.0,0.0,0.0,0.0,0.0,0.0,"Pine township, Indiana County, Pennsylvania",063,60320,42
3.0,3.0,0.0,0.0,0.0,0.0,"Overfield township, Wyoming County, Pennsylvania",131,57408,42
22.0,17.0,4.0,1.0,0.0,0.0,"Tunkhannock borough, Wyoming County, Pennsylvania",131,77784,42
43.0,24.0,19.0,0.0,0.0,0.0,"Tunkhannock township, Wyoming County, Pennsylvania",131,77792,42
48.0,24.0,0.0,7.0,17.0,0.0,"Factoryville borough, Wyoming County, Pennsylvania",131,24488,42
23.0,23.0,0.0,0.0,0.0,0.0,"Hamilton township, Adams County, Pennsylvania",001,32144,42
139.0,110.0,0.0,29.0,0.0,0.0,"Berwick township, Adams County, Pennsylvania",001,05880,42
9.0,9.0,0.0,0.0,0.0,0.0,"Germany township, Adams County, Pennsylvania",001,28936,42
26.0,26.0,0.0,0.0,0.0,0.0,"Highland township, Adams County, Pennsylvania",001,34424,42
403.0,390.0,0.0,13.0,0.0,0.0,"Reading township, Adams County, Pennsylvania",001,63616,42
292.0,213.0,0.0,0.0,79.0,0.0,"Tyrone township, Adams County, Pennsylvania",001,78160,42
447.0,384.0,47.0,3.0,7.0,6.0,"York Springs borough, Adams County, Pennsylvania",001,87136,42
285.0,199.0,86.0,0.0,0.0,0.0,"Carroll Valley borough, Adams County, Pennsylvania",001,11472,42
294.0,248.0,39.0,0.0,7.0,0.0,"Arendtsville borough, Adams County, Pennsylvania",001,02928,42
206.0,142.0,34.0,0.0,30.0,0.0,"Conewago township, Adams County, Pennsylvania",001,15632,42
127.0,127.0,0.0,0.0,0.0,0.0,"Mount Pleasant township, Adams County, Pennsylvania",001,51776,42
433.0,413.0,0.0,0.0,20.0,0.0,"Cumberland township, Adams County, Pennsylvania",001,17640,42
110.0,92.0,18.0,0.0,0.0,0.0,"Abbottstown borough, Adams County, Pennsylvania",001,00116,42
5.0,5.0,0.0,0.0,0.0,0.0,"Freedom township, Adams County, Pennsylvania",001,27704,42
62.0,62.0,0.0,0.0,0.0,0.0,"Latimore township, Adams County, Pennsylvania",001,41672,42
146.0,146.0,0.0,0.0,0.0,0.0,"Littlestown borough, Adams County, Pennsylvania",001,43944,42
3.0,3.0,0.0,0.0,0.0,0.0,"Fairfield borough, Adams County, Pennsylvania",001,24560,42
102.0,102.0,0.0,0.0,0.0,0.0,"Huntington township, Adams County, Pennsylvania",001,36424,42
163.0,134.0,29.0,0.0,0.0,0.0,"Bendersville borough, Adams County, Pennsylvania",001,05536,42
